award_key,scope,season_id,division,person_id,person_name,value,formula,source_urls
best_newcomer,season,season_001,,person_present,PresentLP,69.3,weighted_rating_debut_min5,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
champion,season,season_001,,person_present,PresentLP,,sourced_title,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
giant_slayer,season,season_001,Regular Season,person_shiro,Shiro,1677,beat_highest_rated,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
holzloeffel,season,season_001,Regular Season,person_morbolth,Morbolth,12,last_place,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
kill_leader,season,season_001,Regular Season,person_present,PresentLP,126,season_kills,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
mvp,season,season_001,Regular Season,person_present,PresentLP,69.3,weighted_rating_min5,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
upset_of_season,season,season_001,Regular Season,person_morbolth,Morbolth,25,min_pregame_win_chance,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
best_newcomer,season,season_002,,person_parsifani,Parsifani,61.0,weighted_rating_debut_min5,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
champion,season,season_002,,person_steveparker,SteveParker,,sourced_title,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
giant_slayer,season,season_002,Regular Season,person_surskittv,SurskitTV,1665,beat_highest_rated,https://docs.google.com/spreadsheets/d/16wGz0QnHeyqfcAhKdYvDqUZAvKxXKuAHchszJjhpp-o/edit#gid=0
holzloeffel,season,season_002,Regular Season,person_fnupa,Cabgolord,14,last_place,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
holzloeffel,season,season_002,Liga 2,person_zant,Zant,14,last_place,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
kill_leader,season,season_002,Liga 2,person_parsifani,Parsifani,140,season_kills,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
mvp,season,season_002,Liga 2,person_parsifani,Parsifani,61.0,weighted_rating_min5,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
upset_of_season,season,season_002,Liga 2,person_wolvx,WolvX,17,min_pregame_win_chance,https://docs.google.com/spreadsheets/d/1Jc6mBqbU8wYKfz3WxfpxsWbj_6xaZB6OmoCRPGzGJLM/edit#gid=0
best_newcomer,season,season_003,,person_crowdcontroller,CrowdController,55.4,weighted_rating_debut_min5,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
champion,season,season_003,,person_present,PresentLP,,sourced_title,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
giant_slayer,season,season_003,Liga 1,person_captaincrinch,CaptainCrinch,1672,beat_highest_rated,https://docs.google.com/spreadsheets/d/15MPuuKWiOBeqO8JbrOYulUHFDzWbid6_pYZLHiWVzrk/edit#gid=0
holzloeffel,season,season_003,Liga 1,person_surskittv,SurskitTV,14,last_place,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
holzloeffel,season,season_003,Liga 2,person_themiifii,TheMiiFii,14,last_place,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
kill_leader,season,season_003,Liga 1,person_present,PresentLP,145,season_kills,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
mvp,season,season_003,Liga 2,person_lightgaming,LightGaming,58.2,weighted_rating_min5,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
mvp,season,season_003,Liga 1,person_present,PresentLP,58.2,weighted_rating_min5,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
upset_of_season,season,season_003,Liga 2,person_fnupa,Cabgolord,18,min_pregame_win_chance,https://docs.google.com/spreadsheets/d/16r_khFZJxguj1o1wSrDQO4vlJhSDhIdN8AbUJQbnDq0/edit#gid=0
