season_id,champion_name,champion_person_id,champion_team,evidence_type,data_status,notes,source_urls
season_001,PresentLP,person_present,Prekani,final_standings_rank_1,source_evidenced,"Rank 1 in the final standings, using the user-provided season rule.",https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_002,SteveParker,person_steveparker,ToxicBlast,final_standings_rank_1,source_evidenced,"Rank 1 in the main final standings, using the user-provided season rule.",https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_003,PresentLP,person_present,Prekani,final_standings_rank_1,source_evidenced,"Rank 1 in the main final standings, using the user-provided season rule.",https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_004,Bene,person_bene,Ritter der Tapukokosnuss,final_standings_rank_1,source_evidenced,"Rank 1 in the main final standings, using the user-provided season rule.",https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_005,Lauris,person_lauris,Shockwaving Magearnas,final_standings_rank_1,source_evidenced,Liga 1 first place in the final standings.,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_006,Barry D. Sin of Speed,person_barry_d_sin_of_speed,,playoff_final_score,source_evidenced,Winner of the sourced playoff final row.,https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=892995759
season_007,Nestfloh,person_nestfloh,Flutschige Zäpfchen,final_standings_rank_1,source_evidenced,Available S7 CSV evidence has Nestfloh rank 1 in the final table; no separate playoff bracket or final-result row is present in the loaded raw data.,https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=1953934700
season_008,Bene,person_bene,Victini Bottom,final_standings_rank_1,source_evidenced,Liga 1 first place in the final standings.,https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700
season_009,BelmontGabriel,person_belmontgabriel,Victory Instinct,user_provided_tag_team_controller_stint,user_provided,User-provided correction: BelmontGabriel led the Victory Instinct Singles side before El Scizor joined for the second half.,https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1953155019
season_009,El Scizor,person_el_scizor,Victory Instinct,final_standings_rank_1_tag_team,source_evidenced,Rank 1 in the overall tag-team final standings; split per team coach.,https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1953155019
season_009,Bene,person_bene,Victory Instinct,final_standings_rank_1_tag_team,source_evidenced,Rank 1 in the overall tag-team final standings; split per team coach.,https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1953155019
season_010,Bene,person_bene,Wackel Backel,playoff_final_kader_status,source_evidenced,Ergebnisse identifies Bene vs Raizor as the championship final from the semifinal winners; Playoffs Kader marks Bene with Fin=S and Raizor with Fin=N.,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464
