season_id,match_id,division,stage,week,player_a,player_b,score,winner,video_count,view_peak,view_total,view_median,view_multiplier_peak,views_percentile_peak,views_z_score_peak,view_expected_peak,view_trend_multiplier_peak,views_trend_percentile_peak,views_trend_z_score_peak,view_expected_total,view_trend_multiplier_match,views_trend_percentile_match,views_trend_z_score_match,views_total_percentile_match,like_peak,comment_peak,engagement_rate_peak,engagement_multiplier_peak,engagement_percentile_peak,engagement_z_score_peak,peak_perspective,both_sides_spiked,close_match,playoff_match,highlight_score,highlight_reasons,video_urls,source_urls,stats_fetched_at
season_004,season_004_schedule_0250,Liga 2,regular_season,11. Spieltag - Mittwoch der 24.05.2017,Glebber,Tabasco TV,0 - 6,Tabasco TV,2,24310,32342,16171,4.45,1,13.13,5552.8,4.38,1,7.8,9461.8,3.42,1,9.79,0.99,1263,358,81.41,0.92,0.27,-0.61,Tabasco TV,1,0,0,100,Match-Ausreißer 3.4x; beide Perspektiven über Erwartung; mehrere Perspektiven; Top 5% matchbereinigt; Match-Z-Score 9.8; Top 5% Reichweite; starke Einzelperspektive,https://www.youtube.com/watch?v=vfvNjSHFboQ;https://www.youtube.com/watch?v=1t9f2nYGEP4,https://www.youtube.com/watch?v=vfvNjSHFboQ;https://www.youtube.com/channel/UCUVf_aqw8yfVOjuF2K6x4dw;https://www.youtube.com/user/Glebber;https://www.youtube.com/user/glebber;https://www.youtube.com/watch?v=1t9f2nYGEP4;https://www.youtube.com/channel/UCIgpF-qa1qagv0Xg2O5_6RQ;https://docs.google.com/spreadsheets/d/1NKXigWOr5wX73nBCnJrqO0_OprQy7Q5ncRmxnsQencI/edit#gid=2071855674,2026-06-19T11:59:12Z
season_004,season_004_schedule_0038,Regular Season,regular_season,8. Spieltag - Sonntag der 30.04.2017,RegiBang,Bene,0 - 2,Bene,3,22449,32028,8567,2.15,0.96,1.9,4711.6,1.82,0.99,3.01,29205.2,1.1,0.81,0.87,0.99,1282,515,187.93,3.14,1,4.24,Bene,0,0,0,94.53,Story-Kontext; mehrere Perspektiven; Engagement-Ausreißer 3.1x; Community-Magnet; Top 5% Reichweite; starke Einzelperspektive,https://www.youtube.com/watch?v=nof9K-YGHfc;https://www.youtube.com/watch?v=s5L0xHna3g8;https://www.youtube.com/watch?v=-5-EMs77cWA,https://www.youtube.com/watch?v=nof9K-YGHfc;https://www.youtube.com/@Bene;https://www.youtube.com/user/FullLifeGames;https://www.youtube.com/watch?v=s5L0xHna3g8;https://www.youtube.com/watch?v=-5-EMs77cWA;https://www.youtube.com/user/RegiBang;https://docs.google.com/spreadsheets/d/1u8AORkPkqIxR4GblUqU5faeTfuuKGjKrllUxnnUdRz0/edit#gid=992181004,2026-06-19T11:59:12Z
season_005,season_005_schedule_0105,Liga 1,regular_season,5. Spieltag - Sonntag der 08.04.2018,Bene,Cabgolord,0 - 6,Cabgolord,2,5790,10809,5404.5,2.42,0.96,1.93,2730.9,1.84,0.99,3.43,6457.2,1.67,0.99,4.19,0.85,345,120,101.04,1.39,0.91,2.13,Cabgolord,1,0,0,76.63,über Match-Erwartung 1.7x; beide Perspektiven über Erwartung; mehrere Perspektiven; Engagement-Ausreißer 1.4x; Top 5% matchbereinigt; Match-Z-Score 4.2; starke Einzelperspektive,https://www.youtube.com/watch?v=sNDSpyhntgs;https://www.youtube.com/watch?v=V_2KtEcR72M,https://www.youtube.com/watch?v=sNDSpyhntgs;https://www.youtube.com/@Bene;https://www.youtube.com/user/FullLifeGames;https://www.youtube.com/watch?v=V_2KtEcR72M;https://www.youtube.com/c/Cabgolord;https://www.youtube.com/channel/UCYdaMHNraDfWMxVTlrlnK6w;https://www.youtube.com/user/Cabgolord;https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997,2026-06-19T11:59:12Z
season_004,season_004_schedule_0058,Regular Season,regular_season,9. Spieltag - Sonntag der 07.05.2017,RegiBang,CrowdController,1 - 0,RegiBang,2,24573,29573,14786.5,2.31,1,1.76,2533.2,1.97,1,3.4,23484.3,1.26,0.93,1.96,0.98,1283,177,83.6,1.55,0.91,1.53,CrowdController,0,1,0,70.7,knapper Kampf; mehrere Perspektiven; Engagement-Ausreißer 1.6x; Top 10% matchbereinigt; Top 5% Reichweite,https://www.youtube.com/watch?v=uKl5sdctIQw;https://www.youtube.com/watch?v=NcJcHuaz6M4,https://www.youtube.com/watch?v=uKl5sdctIQw;https://www.youtube.com/user/CrowdController;https://www.youtube.com/user/CrowdControllerLP;https://www.youtube.com/watch?v=NcJcHuaz6M4;https://www.youtube.com/user/RegiBang;https://docs.google.com/spreadsheets/d/1u8AORkPkqIxR4GblUqU5faeTfuuKGjKrllUxnnUdRz0/edit#gid=992181004,2026-06-19T11:59:12Z
season_001,season_001_schedule_0100,Regular Season,regular_season,5. Spieltag - Sonntag der 12.10.2014 [12:00 -17:00],Raizor,Cabgolord,6 - 0,Raizor,2,9662,12175,6087.5,4.6,1,5.51,693.3,3.62,1,9.15,8595.8,1.42,0.97,2.88,0.88,546,93,75.76,1.5,1,3.79,Cabgolord,0,0,0,66.48,mehrere Perspektiven; Engagement-Ausreißer 1.5x; Top 5% matchbereinigt; Match-Z-Score 2.9,https://www.youtube.com/watch?v=x2tbctdPqpY;https://www.youtube.com/watch?v=3JEuDMKjasc,https://www.youtube.com/watch?v=x2tbctdPqpY;https://www.youtube.com/user/Fnupa;https://www.youtube.com/user/Fnupa/;https://www.youtube.com/watch?v=3JEuDMKjasc;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt;https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0,2026-06-19T11:59:12Z
season_008,season_008_schedule_0090,Liga 2,regular_season,3. Spieltag - Mittwoch der 05.05.2021,OGDNZ,Maxi von Vogel,0 - 1,Maxi von Vogel,2,4469,6473,3236.5,1.57,0.94,1.06,3723.5,1.2,0.91,1.19,3723.5,1.74,0.99,4.48,0.68,508,44,129.34,1.29,0.81,1.82,Maxi von Vogel,0,1,0,65.94,über Match-Erwartung 1.7x; knapper Kampf; mehrere Perspektiven; Top 5% matchbereinigt; Match-Z-Score 4.5,https://www.youtube.com/watch?v=ENcD0Jc1jB0;https://www.youtube.com/watch?v=jEUG3t8s1W8,https://www.youtube.com/watch?v=ENcD0Jc1jB0;https://www.youtube.com/channel/UCz2BGM4qej7NxsEDSNr6f1A;https://www.youtube.com/user/MaxiVonVogel;https://www.youtube.com/watch?v=jEUG3t8s1W8;https://www.youtube.com/watch?v=oqQjSZLxF7c;https://www.youtube.com/@OGDeniz96;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=306702305,2026-06-19T11:59:12Z;2026-06-24T13:22:45Z
season_005,season_005_schedule_0130,Liga 1,regular_season,17. Spieltag - Sonntag der 08.07.2018,Cabgolord,Raizor,0 - 1,Raizor,2,9022,10627,5313.5,1.2,0.91,0.89,5934.8,1.52,0.96,2.39,7558.2,1.41,0.97,2.82,0.85,504,78,74.77,1.02,0.61,0.1,Raizor,0,1,0,62.56,knapper Kampf; mehrere Perspektiven; Top 5% matchbereinigt; Match-Z-Score 2.8; starke Einzelperspektive,https://www.youtube.com/watch?v=tXkkfsy-MSM;https://www.youtube.com/watch?v=yKoNpvEYuZI,https://www.youtube.com/watch?v=tXkkfsy-MSM;https://www.youtube.com/c/Cabgolord;https://www.youtube.com/channel/UCYdaMHNraDfWMxVTlrlnK6w;https://www.youtube.com/user/Cabgolord;https://www.youtube.com/watch?v=yKoNpvEYuZI;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt;https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997,2026-06-19T11:59:12Z
season_004,season_004_schedule_0161,Liga 2,regular_season,2. Spieltag - Mittwoch der 22.03.2017,Suishomaru,BlackLink,1 - 0,Suishomaru,2,41324,47713,23856.5,5.55,1,3.91,2542.2,2.51,1,4.93,36125.6,1.32,0.94,2.33,1,1911,149,53.46,0.91,0.27,-0.72,BlackLink,0,1,0,61.34,knapper Kampf; mehrere Perspektiven; Top 10% matchbereinigt; Top 5% Reichweite,https://www.youtube.com/watch?v=TIJgp9zL4m4;https://www.youtube.com/watch?v=HMQ3pO4-MkI,https://www.youtube.com/watch?v=TIJgp9zL4m4;https://www.youtube.com/c/BlackLink;https://www.youtube.com/user/BlackLink;https://www.youtube.com/user/BlackLink1996;https://www.youtube.com/watch?v=HMQ3pO4-MkI;https://www.youtube.com/user/Suishomaru;https://docs.google.com/spreadsheets/d/1NKXigWOr5wX73nBCnJrqO0_OprQy7Q5ncRmxnsQencI/edit#gid=2071855674,2026-06-19T11:59:12Z
season_009,season_009_schedule_0019,Tag Team,regular_season,3. Spieltag - Sonntag der 01.05.2022,PresentLP,Barry D. Sin of Speed,1 - 0,PresentLP,2,17626,21104,10552,1.85,0.93,2.02,2361.6,1.47,0.97,2.99,18856.7,1.12,0.84,1.03,0.96,1617,200,114.43,1.37,1,3.96,Barry D. Sin of Speed,0,1,0,59.36,knapper Kampf; mehrere Perspektiven; Engagement-Ausreißer 1.4x; Top 5% Reichweite,https://www.youtube.com/watch?v=WelAyD9Bx1Q;https://www.youtube.com/watch?v=7sckBbuMaEY,https://www.youtube.com/watch?v=WelAyD9Bx1Q;https://www.youtube.com/c/BarryDSinOfSpeed;https://www.youtube.com/channel/UC88v-X5lbES2qHLWkFjQAEg;https://www.youtube.com/watch?v=7sckBbuMaEY;https://www.youtube.com/user/Present;https://www.youtube.com/user/PresentLP;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1037187549,2026-06-19T11:59:12Z
season_003,season_003_schedule_0037,Regular Season,regular_season,2. Spieltag - Sonntag der 07.02.2016,Lauris,Oktopaul,0 - 1,Oktopaul,2,2365,3340,1670,3.34,1,6.15,1060.2,2.23,0.99,4.42,2035.2,1.64,0.99,4.03,0.41,64,31,106.67,1.55,1,1.47,Lauris,0,1,0,58.66,über Match-Erwartung 1.6x; knapper Kampf; mehrere Perspektiven; Engagement-Ausreißer 1.6x; Top 5% matchbereinigt; Match-Z-Score 4.0; starke Einzelperspektive,https://www.youtube.com/watch?v=HJ38XV4ewlE;https://www.youtube.com/watch?v=7x4fceSSIN8,https://www.youtube.com/watch?v=HJ38XV4ewlE;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP;https://www.youtube.com/watch?v=7x4fceSSIN8;https://www.youtube.com/c/LaurisEnteitainment;https://www.youtube.com/channel/UCShFh4OGH23GfshxfIfvcjA;https://docs.google.com/spreadsheets/d/15MPuuKWiOBeqO8JbrOYulUHFDzWbid6_pYZLHiWVzrk/edit#gid=0,2026-06-19T11:59:12Z
