season_id,match_id,division,stage,week,player_a,player_b,score,video_id,video_url,video_title,video_type,perspective_person,opponent,confidence,match_basis,confidence_explanation,channel_title,channel_url,view_count,like_count,comment_count,duration,duration_seconds,stats_fetched_at,views_baseline_median,views_multiplier,views_percentile,views_z_score,video_highlight_reasons,views_week_factor,views_opponent_factor,views_expected,views_trend_multiplier,views_trend_percentile,views_trend_z_score,views_trend_highlight_reasons,source_urls
season_001,season_001_schedule_0001,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],DaumenkinoLP,SurskitTV,4 - 3,1XaPObu2Qhg,https://www.youtube.com/watch?v=1XaPObu2Qhg,GPL ★ Spieltag 1 - VS. Surstars : Rotom muss weg!,game,DaumenkinoLP,SurskitTV,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies DaumenkinoLP; title names SurskitTV as opponent; channel and title identify opposite sides,DaumenkinoLP,https://www.youtube.com/c/DaumenkinoLP,3661,71,19,PT45M24S,2724,2026-06-19T11:59:12Z,746.5,4.9,1,3.44,View-Ausreißer 4.9x; Top 5% der Person/Saison; robuster Z-Score 3.4,4.9,1.1,4028.3,0.91,0.32,-0.61,,https://www.youtube.com/watch?v=1XaPObu2Qhg;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP
season_001,season_001_schedule_0001,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],DaumenkinoLP,SurskitTV,4 - 3,Y9J6aYZX-6w,https://www.youtube.com/watch?v=Y9J6aYZX-6w,GPL - Spieltag 1 - vs. Melting Mamoswines : Lasst die Spiele beginnen!,game,SurskitTV,DaumenkinoLP,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies SurskitTV; title names DaumenkinoLP as opponent; channel and title identify opposite sides,SurskitTV,https://www.youtube.com/user/SurskitTV,5553,124,19,PT42M56S,2576,2026-06-19T11:59:12Z,1440,3.86,1,4.24,View-Ausreißer 3.9x; Top 5% der Person/Saison; robuster Z-Score 4.2,4.9,1.03,7257,0.77,0.12,-1.83,,https://www.youtube.com/watch?v=Y9J6aYZX-6w;https://www.youtube.com/user/SurskitTV
season_001,season_001_schedule_0005,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],Cabgolord,DiaSwordPlay,0 - 3,36NOn-qcwws,https://www.youtube.com/watch?v=36NOn-qcwws,GPL - Spieltag 1 - vs. DiaSlashPlay: Schwert gegen Klinge,game,Cabgolord,DiaSwordPlay,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies Cabgolord; title names DiaSwordPlay as opponent; channel and title identify opposite sides,Fnupa,https://www.youtube.com/user/Fnupa,1695,35,5,PT9M12S,552,2026-06-19T11:59:12Z,554,3.06,0.95,3.94,View-Ausreißer 3.1x; Top 5% der Person/Saison; robuster Z-Score 3.9,4.9,1,2716.9,0.62,0.07,-3.28,,https://www.youtube.com/watch?v=36NOn-qcwws;https://www.youtube.com/user/Fnupa;https://www.youtube.com/user/Fnupa/
season_001,season_001_schedule_0009,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],Art'n'Gaming,Silva,0 - 2,ZPRTTMv_2oA,https://www.youtube.com/watch?v=ZPRTTMv_2oA,GPL - Spieltag 1 - vs. ARBOK DUEL UNION: Die ARMY zieht ins erste Gefecht!,game,Silva,Art'n'Gaming,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies Silva; title names Art'n'Gaming as opponent; channel and title identify opposite sides,Silva,https://www.youtube.com/user/FinaALFaNtAsyLP,2830,98,16,PT27M28S,1648,2026-06-19T11:59:12Z,672,4.21,1,5.95,View-Ausreißer 4.2x; Top 5% der Person/Saison; robuster Z-Score 5.9,4.9,1,3295.6,0.86,0.25,-1.01,,https://www.youtube.com/watch?v=ZPRTTMv_2oA;https://www.youtube.com/user/FinaALFaNtAsyLP
season_001,season_001_schedule_0017,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],DirtyD64,Raizor,4 - 0,eQclMGoJf-Q,https://www.youtube.com/watch?v=eQclMGoJf-Q,GPL - Spieltag 1 - vs. Lucky Luxray : KING-STEIN!!!,game,Raizor,DirtyD64,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies Raizor; title names DirtyD64 as opponent; channel and title identify opposite sides,Raizor,https://www.youtube.com/c/Raizor,12213,423,69,PT23M40S,1420,2026-06-19T11:59:12Z,6206.5,1.97,1,3.98,über Baseline 2.0x; Top 5% der Person/Saison; robuster Z-Score 4.0,4.9,1,30438,0.4,0.01,-6.42,,https://www.youtube.com/watch?v=eQclMGoJf-Q;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt
season_001,season_001_schedule_0021,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],Morbolth,PresentLP,0 - 4,Dri89Vr84Ng,https://www.youtube.com/watch?v=Dri89Vr84Ng,GPL - Spieltag 1 - vs. Mortox: Ein wässriger Start!,game,PresentLP,Morbolth,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies PresentLP; title names Morbolth as opponent; channel and title identify opposite sides,Present,https://www.youtube.com/user/Present,6814,161,46,PT16M5S,965,2026-06-19T11:59:12Z,1589,4.29,1,21.18,View-Ausreißer 4.3x; Top 5% der Person/Saison; robuster Z-Score 21.2,4.9,1,7825.5,0.87,0.28,-0.92,,https://www.youtube.com/watch?v=Dri89Vr84Ng;https://www.youtube.com/user/Present;https://www.youtube.com/user/PresentLP
season_001,season_001_schedule_0074,Regular Season,regular_season,10. Spieltag - Sonntag der 16.11.2014 [12:00 -17:00],SurskitTV,Silva,0 - 2,Q7Wx6db9zE8,https://www.youtube.com/watch?v=Q7Wx6db9zE8,GPL - Spieltag 10 - vs. SURSTARS: Schon wieder ein CRIT!,game,Silva,SurskitTV,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 10; channel identifies Silva; title names SurskitTV as opponent; channel and title identify opposite sides,Silva,https://www.youtube.com/user/FinaALFaNtAsyLP,618,36,14,PT15M26S,926,2026-06-19T11:59:12Z,672,0.92,0.32,-0.35,,0.93,1.1,687.7,0.9,0.3,-0.69,,https://www.youtube.com/watch?v=Q7Wx6db9zE8;https://www.youtube.com/user/FinaALFaNtAsyLP
season_001,season_001_schedule_0074,Regular Season,regular_season,10. Spieltag - Sonntag der 16.11.2014 [12:00 -17:00],SurskitTV,Silva,0 - 2,ltZzSMtP7A0,https://www.youtube.com/watch?v=ltZzSMtP7A0,GPL - Spieltag 10 - vs. Diggersby Army : Die Overpredigt!,game,SurskitTV,Silva,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 10; channel identifies SurskitTV; title names Silva as opponent; channel and title identify opposite sides,SurskitTV,https://www.youtube.com/user/SurskitTV,1348,61,8,PT40M52S,2452,2026-06-19T11:59:12Z,1440,0.94,0.47,-0.21,,0.93,1.01,1357.6,0.99,0.52,0.02,,https://www.youtube.com/watch?v=ltZzSMtP7A0;https://www.youtube.com/user/SurskitTV
season_001,season_001_schedule_0080,Regular Season,regular_season,10. Spieltag - Sonntag der 16.11.2014 [12:00 -17:00],DaumenkinoLP,Raizor,0 - 4,wMCUp5ZwLaE,https://www.youtube.com/watch?v=wMCUp5ZwLaE,GPL ★ Spieltag 10 - VS. Raizoroark : ES IST EIN ZOROARK!!!,game,DaumenkinoLP,Raizor,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 10; channel identifies DaumenkinoLP; title names Raizor as opponent; channel and title identify opposite sides,DaumenkinoLP,https://www.youtube.com/c/DaumenkinoLP,2077,102,22,PT27M51S,1671,2026-06-19T11:59:12Z,746.5,2.78,0.95,2.21,View-Ausreißer 2.8x; Top 5% der Person/Saison,0.93,1,694.2,2.99,0.99,7.85,Trend-Ausreißer 3.0x; Top 5% trendbereinigt; Trend-Z-Score 7.9,https://www.youtube.com/watch?v=wMCUp5ZwLaE;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP
season_001,season_001_schedule_0080,Regular Season,regular_season,10. Spieltag - Sonntag der 16.11.2014 [12:00 -17:00],DaumenkinoLP,Raizor,0 - 4,0Kjk8zP_MIc,https://www.youtube.com/watch?v=0Kjk8zP_MIc,GPL - Spieltag 10 - vs. Melting Mamoswines : Die Attacke hat keine Wirkung,game,Raizor,DaumenkinoLP,100,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 10; channel identifies Raizor; title names DaumenkinoLP as opponent; channel and title identify opposite sides,Raizor,https://www.youtube.com/c/Raizor,6027,238,49,PT12M22S,742,2026-06-19T11:59:12Z,6206.5,0.97,0.5,-0.17,,0.93,1.03,5931.2,1.02,0.66,0.18,,https://www.youtube.com/watch?v=0Kjk8zP_MIc;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt
