season_id,match_id,division,stage,week,player_a,player_b,team_a,team_b,score_a,score_b,winner,video_id,video_title,video_url,data_status,source_urls
season_001,season_001_schedule_0001,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],DaumenkinoLP,SurskitTV,,,4,3,DaumenkinoLP,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0002,Regular Season,regular_season,7. Spieltag - Sonntag der 26.10.2014 [12:00 -17:00],PresentLP,SurskitTV,,,3,0,PresentLP,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0003,Regular Season,regular_season,12. Spieltag – Sonntag der 07.12.2014 [12:00 -17:00],DaumenkinoLP,SurskitTV,,,2,0,DaumenkinoLP,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0004,Regular Season,regular_season,18. Spieltag – Sonntag der 18.01.2015 [12:00 -17:00],PresentLP,SurskitTV,,,2,0,PresentLP,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0005,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],Cabgolord,DiaSwordPlay,,,0,3,DiaSwordPlay,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0006,Regular Season,regular_season,7. Spieltag - Sonntag der 26.10.2014 [12:00 -17:00],Raizor,Morbolth,,,3,0,Raizor,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0007,Regular Season,regular_season,12. Spieltag – Sonntag der 07.12.2014 [12:00 -17:00],Cabgolord,DiaSwordPlay,,,0,4,DiaSwordPlay,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0008,Regular Season,regular_season,18. Spieltag – Sonntag der 18.01.2015 [12:00 -17:00],Raizor,Morbolth,,,0,0,,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0009,Regular Season,regular_season,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],Art'n'Gaming,Silva,,,0,2,Silva,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,season_001_schedule_0010,Regular Season,regular_season,7. Spieltag - Sonntag der 26.10.2014 [12:00 -17:00],Shiro,DirtyD64,,,0,5,DirtyD64,,,,sheet_extracted,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
