season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,stage,rank,start_week,end_week,matches,wins,losses,draws,points,kills,deaths,differential,data_status,notes,source_urls
season_001,person_present,PresentLP,present,season_001_prekani,Prekani,prekani,Regular Season,full_season,1,,,22,20,2,0,60,126,69,57,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_silva,Silva,silva,season_001_diggersby_army,Diggersby Army,diggersby army,Regular Season,full_season,2,,,22,16,6,0,48,108,82,26,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_daumenkino,DaumenkinoLP,daumenkino,season_001_melting_mamoswines,Melting Mamoswines,melting mamoswines,Regular Season,full_season,3,,,22,13,8,1,40,98,84,14,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_shiro,Shiro,shiro,season_001_dancing_darmanitans,Dancing Darmanitans,dancing darmanitans,Regular Season,full_season,4,,,22,12,10,0,36,99,99,0,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_raizor,Raizor,raizor,season_001_raizoroark,Raizoroark,raizoroark,Regular Season,full_season,5,,,22,11,11,0,33,94,94,0,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_dirtyd64,DirtyD64,dirtyd64,season_001_lucky_luxray,Lucky Luxray,lucky luxray,Regular Season,full_season,6,,,22,11,11,0,33,92,93,-1,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_diaswordplay,DiaSwordPlay,diaswordplay,season_001_diaslashplay,Diaslashplay,diaslashplay,Regular Season,full_season,8,,,22,10,12,0,30,93,94,-1,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_surskittv,SurskitTV,surskittv,season_001_surstars,Surstars,surstars,Regular Season,full_season,9,,,22,9,12,1,28,88,98,-10,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_art_n_gaming,Art'n'Gaming,art n gaming,season_001_arbok_duel_union,Arbok Duel Union,arbok duel union,Regular Season,full_season,10,,,22,7,15,0,21,87,110,-23,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_fnupa,Cabgolord,fnupa,season_001_fnupagladi,Fnupagladi,fnupagladi,Regular Season,full_season,11,,,22,7,15,0,21,78,107,-29,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_morbolth,Morbolth,morbolth,season_001_mortox,Mortox,mortox,Regular Season,full_season,12,,,22,4,17,1,13,52,72,-20,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_pokemonfakten,PokemonFakten,pokemonfakten,season_001_nocturne,Nocturne*,nocturne,Regular Season,controller_stint,7,1,11,11,2,8,1,7,,,,user_provided,User-provided controller correction: PokemonFakten led Nocturne in the first half before FanmadeLetsPlay took over for the Rückrunde. Team-level final table stats are not safely attributable to either individual.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_001_nocturne,Nocturne*,nocturne,Regular Season,controller_stint,7,12,22,9,6,2,1,19,,,,user_provided,User-provided controller correction: FanmadeLetsPlay led Nocturne from the Rückrunde onward. Team-level final table stats are not safely attributable to either individual.,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_002,person_steveparker,SteveParker,steveparker,season_002_toxicblast,ToxicBlast,toxicblast,Regular Season,full_season,1,,,26,18,6,2,56,138,84,54,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_daumenkino,DaumenkinoLP,daumenkino,season_002_melting_mamoswines,Melting Mamoswines,melting mamoswines,Regular Season,full_season,2,,,26,18,8,0,54,132,105,27,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_shiro,Shiro,shiro,season_002_rotom_kebab,Rotom Kebab,rotom kebab,Regular Season,full_season,3,,,26,16,8,2,50,126,97,29,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_art_n_gaming,Art'n'Gaming,art n gaming,season_002_little_littleos,Little Littleos,little littleos,Regular Season,full_season,4,,,26,16,10,0,48,127,98,29,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_surskittv,SurskitTV,surskittv,season_002_surdrakings,SurDrakings,surdrakings,Regular Season,full_season,5,,,26,16,10,0,48,125,108,17,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_oktopaul,Oktopaul,oktopaul,season_002_blazing_okturtles,Blazing Okturtles,blazing okturtles,Regular Season,full_season,6,,,26,14,11,1,43,114,107,7,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
