rank,species_id,pokemon,pokemon_normalized,english,asset_id,tier,tier_rank,gen6_tier,gen6_tier_rank,gen7_tier,gen7_tier_rank,gen8_tier,gen8_tier_rank,gen9_tier,gen9_tier_rank,draft_count,season_count,season_list,title_count,title_seasons,trainer_count,team_count,picked_status,source_urls
1,232,Donphan,donphan,Donphan,donphan,RU,7,UU,5,RU,7,Illegal,17,UU,5,14,7,"S1, S2, S3, S4, S5, S6, S10",0,,13,13,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;output/team-graphics/s4/Variant Vulpix - CrowdController.png;output/team-graphics/s5/Cabgosport.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937
2,671,Florges,florges,Florges,florges,RU,7,UU,5,RU,7,Illegal,17,PU,11,14,7,"S1, S2, S3, S4, S5, S6, S10",2,"S1, S4",12,13,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Ritter der Tapukokosnuss - FullLifeGames.png;output/team-graphics/s5/Victini Bottom.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937
3,205,Forstellka,forstellka,Forretress,forretress,RU,7,UU,5,RU,7,Illegal,17,RU,7,14,5,"S1, S2, S4, S5, S6",1,S1,13,13,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s5/Marvelous Speedsters.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;data/manual/pokemon_killlists.csv
4,227,Panzaeron,panzaeron,Skarmory,skarmory,UU,5,OU,3,OU,3,UU,5,UU,5,13,8,"S1, S2, S3, S4, S5, S6, S9, S10",2,"S2, S3",12,13,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Enteikutierung - Lauris Enteitainment.png;output/team-graphics/s5/Aggron Berlin.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
5,36,Pixi,pixi,Clefable,clefable,UU,5,OU,3,OU,3,OU,3,OU,3,13,9,"S1, S2, S3, S4, S5, S6, S7, S8, S10",3,"S2, S8, S10",12,13,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;output/team-graphics/s4/Enteikutierung - Lauris Enteitainment.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;data/manual/pokemon_killlists.csv;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
6,630,Grypheldis,grypheldis,Mandibuzz,mandibuzz,RU,7,UU,5,RU,7,UU,5,UU,5,13,9,"S1, S2, S3, S4, S6, S7, S8, S9, S10",0,,11,12,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;data/manual/pokemon_killlists.csv;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
7,461,Snibunna,snibunna,Weavile,weavile,UUBL,4,OU,3,UUBL,4,OU,3,UU,5,12,9,"S1, S2, S3, S4, S5, S6, S7, S8, S10",0,,10,11,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s4/Prekani - PresentLP.png;output/team-graphics/s5/Victini Bottom.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;data/manual/pokemon_killlists.csv
8,479,Rotom-W,rotomw,rotom-wash,rotomwash,UU,5,OU,3,OU,3,UU,5,UU,5,12,7,"S1, S2, S4, S5, S6, S7, S10",2,"S2, S5",8,10,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s5/Shockwaving Magearnas.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938;data/manual/pokemon_killlists.csv
9,534,Meistagrif,meistagrif,Conkeldurr,conkeldurr,RUBL,6,UUBL,4,UUBL,4,UU,5,UU,5,12,9,"S1, S2, S3, S4, S5, S6, S7, S8, S9",0,,11,11,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;data/manual/pokemon_killlists.csv
10,135,Blitza,blitza,Jolteon,jolteon,RU,7,RU,7,RU,7,PU,11,ZU,13,12,8,"S1, S2, S3, S4, S5, S6, S7, S9",1,S1,10,9,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;output/team-graphics/s4/Minetube - Triyolotree.png;output/team-graphics/s5/Triyolotree.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502
