season_id,division,roster_phase,team_name,team_name_normalized,person_name,person_name_normalized,pokemon,pokemon_normalized,slot,source_table,source_file,source_urls,data_status,notes
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Mega-Bisaflor,mega bisaflor,1,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Feelinara,feelinara,2,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Terrakium,terrakium,3,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Elezard,elezard,4,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Donphan,donphan,5,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Porygon2,porygon2,6,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Farbeagle,farbeagle,7,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Meditalis,meditalis,8,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Pyroleo,pyroleo,9,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Ditto,ditto,10,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Schwalboss,schwalboss,11,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Kapilz,kapilz,12,Pokemon killlist supplement,data/normalized/pokemon_killlists.csv,https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/pokemon_killlists.csv,manual_override,Killlisten-Ergaenzung zu unvollstaendigem Kader-Snapshot
season_003,Regular Season,rueckrunde,Little Littleos,little littleos,Art'n'Gaming,art n gaming,Lektrobal,lektrobal,13,Pokemon killlist supplement,data/normalized/pokemon_killlists.csv,https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/pokemon_killlists.csv,manual_override,Killlisten-Ergaenzung zu unvollstaendigem Kader-Snapshot
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Mega-Latias,mega latias,1,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Heatran,heatran,2,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Caesurio,caesurio,3,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Zapdos,zapdos,4,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Suicune,suicune,5,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Toxiquak,toxiquak,6,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
season_003,Regular Season,rueckrunde,Unlimited Blade Works*¹,unlimited blade works 1,Bene,bene,Krawumms,krawumms,7,Manual team graphics,output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg,data/manual/team_pokemon_usage.csv,manual_override,Manuelle Teamgrafik-Zuordnung als Rückrunden-Snapshot aus Spieltag 14; exakte Hinrunde nicht strukturiert belegt
