season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,channel_url,aliases,data_status,source_urls
season_001,person_present,PresentLP,present,season_001_prekani,Prekani,prekani,Regular Season,https://www.youtube.com/user/PresentLP,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_silva,Silva,silva,season_001_diggersby_army,Diggersby Army,diggersby army,Regular Season,https://www.youtube.com/user/FinaALFaNtAsyLP,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_daumenkino,DaumenkinoLP,daumenkino,season_001_melting_mamoswines,Melting Mamoswines,melting mamoswines,Regular Season,https://www.youtube.com/user/TheHerbertLP,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_shiro,Shiro,shiro,season_001_dancing_darmanitans,Dancing Darmanitans,dancing darmanitans,Regular Season,https://www.youtube.com/user/Shriosan,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_raizor,Raizor,raizor,season_001_raizoroark,Raizoroark,raizoroark,Regular Season,https://www.youtube.com/user/RaizorZockt,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_dirtyd64,DirtyD64,dirtyd64,season_001_lucky_luxray,Lucky Luxray,lucky luxray,Regular Season,https://www.youtube.com/user/TheDirtydancer64,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_001_nocturne,Nocturne*,nocturne,Regular Season,https://www.youtube.com/user/FanmadeLetsPlay,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_diaswordplay,DiaSwordPlay,diaswordplay,season_001_diaslashplay,Diaslashplay,diaslashplay,Regular Season,https://www.youtube.com/user/DiaSwordPlay,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_surskittv,SurskitTV,surskittv,season_001_surstars,Surstars,surstars,Regular Season,https://www.youtube.com/user/SurskitTV,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
season_001,person_art_n_gaming,Art'n'Gaming,art n gaming,season_001_arbok_duel_union,Arbok Duel Union,arbok duel union,Regular Season,https://www.youtube.com/user/TJLH100,,sheet_extracted,https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
