video_id,video_url,title,video_type,published_at,channel_id,channel_title,channel_url,source_person_ids,source_person_names,source_team_names,source_seasons,division,detected_season_id,detected_week,detected_stage,detected_round,match_status,best_match_id,confidence,confidence_tier,match_basis,confidence_explanation,perspective_person,opponent,view_count,like_count,comment_count,duration,duration_seconds,stats_fetched_at,views_baseline_median,views_multiplier,views_percentile,views_z_score,video_highlight_reasons,views_week_factor,views_opponent_factor,views_expected,views_trend_multiplier,views_trend_percentile,views_trend_z_score,views_trend_highlight_reasons,source_urls
Y9J6aYZX-6w,https://www.youtube.com/watch?v=Y9J6aYZX-6w,GPL - Spieltag 1 - vs. Melting Mamoswines : Lasst die Spiele beginnen!,game,2014-09-14T10:00:06Z,UCbVtitB1c63WGzsZYmzUFzg,SurskitTV,https://www.youtube.com/user/SurskitTV,person_surskittv,SurskitTV,SurDrakings;Surstars,season_001;season_002;season_003;season_004,Regular Season,season_001,1,regular_season,,matched,season_001_schedule_0001,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies SurskitTV; title names DaumenkinoLP as opponent; channel and title identify opposite sides,SurskitTV,DaumenkinoLP,5553,124,19,PT42M56S,2576,2026-06-19T11:59:12Z,1440,3.86,1,4.24,View-Ausreißer 3.9x; Top 5% der Person/Saison; robuster Z-Score 4.2,4.9,1.03,7257,0.77,0.12,-1.83,,https://www.youtube.com/watch?v=Y9J6aYZX-6w;https://www.youtube.com/user/SurskitTV
1XaPObu2Qhg,https://www.youtube.com/watch?v=1XaPObu2Qhg,GPL ★ Spieltag 1 - VS. Surstars : Rotom muss weg!,game,2014-09-14T10:00:06Z,UCn4dc4SWrOVdhrLB7FXH6ew,DaumenkinoLP,https://www.youtube.com/c/DaumenkinoLP,person_daumenkino,DaumenkinoLP,Melting Mamoswines,season_001;season_002;season_003,Regular Season,season_001,1,regular_season,,matched,season_001_schedule_0001,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies DaumenkinoLP; title names SurskitTV as opponent; channel and title identify opposite sides,DaumenkinoLP,SurskitTV,3661,71,19,PT45M24S,2724,2026-06-19T11:59:12Z,746.5,4.9,1,3.44,View-Ausreißer 4.9x; Top 5% der Person/Saison; robuster Z-Score 3.4,4.9,1.1,4028.3,0.91,0.32,-0.61,,https://www.youtube.com/watch?v=1XaPObu2Qhg;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP
36NOn-qcwws,https://www.youtube.com/watch?v=36NOn-qcwws,GPL - Spieltag 1 - vs. DiaSlashPlay: Schwert gegen Klinge,game,2014-09-14T11:00:02Z,UClbnmUIrsk42cC9Nlm_Npnw,Fnupa,https://www.youtube.com/user/Fnupa,person_fnupa,Cabgolord,Doomforce;Fnupagladi,season_001;season_002,Regular Season,season_001,1,regular_season,,matched,season_001_schedule_0005,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies Cabgolord; title names DiaSwordPlay as opponent; channel and title identify opposite sides,Cabgolord,DiaSwordPlay,1695,35,5,PT9M12S,552,2026-06-19T11:59:12Z,554,3.06,0.95,3.94,View-Ausreißer 3.1x; Top 5% der Person/Saison; robuster Z-Score 3.9,4.9,1,2716.9,0.62,0.07,-3.28,,https://www.youtube.com/watch?v=36NOn-qcwws;https://www.youtube.com/user/Fnupa;https://www.youtube.com/user/Fnupa/
ZPRTTMv_2oA,https://www.youtube.com/watch?v=ZPRTTMv_2oA,GPL - Spieltag 1 - vs. ARBOK DUEL UNION: Die ARMY zieht ins erste Gefecht!,game,2014-09-14T11:59:24Z,UCTk-IMDTJ1SxuUKiZ-VBCsQ,Silva,https://www.youtube.com/user/FinaALFaNtAsyLP,person_silva,Silva,Diggersby Army,season_001,Regular Season,season_001,1,regular_season,,matched,season_001_schedule_0009,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies Silva; title names Art'n'Gaming as opponent; channel and title identify opposite sides,Silva,Art'n'Gaming,2830,98,16,PT27M28S,1648,2026-06-19T11:59:12Z,672,4.21,1,5.95,View-Ausreißer 4.2x; Top 5% der Person/Saison; robuster Z-Score 5.9,4.9,1,3295.6,0.86,0.25,-1.01,,https://www.youtube.com/watch?v=ZPRTTMv_2oA;https://www.youtube.com/user/FinaALFaNtAsyLP
eQclMGoJf-Q,https://www.youtube.com/watch?v=eQclMGoJf-Q,GPL - Spieltag 1 - vs. Lucky Luxray : KING-STEIN!!!,game,2014-09-14T14:00:10Z,UCwpw7YN2wCG1SeK-09ViUHg,Raizor,https://www.youtube.com/c/Raizor,person_raizor,Raizor,Raizoroark;Soulblaze;Soulstealer;Unbound Zoroarks,season_001;season_002;season_003;season_005;season_006;season_007;season_008;season_009,Regular Season,season_001,1,regular_season,,matched,season_001_schedule_0017,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies Raizor; title names DirtyD64 as opponent; channel and title identify opposite sides,Raizor,DirtyD64,12213,423,69,PT23M40S,1420,2026-06-19T11:59:12Z,6206.5,1.97,1,3.98,über Baseline 2.0x; Top 5% der Person/Saison; robuster Z-Score 4.0,4.9,1,30438,0.4,0.01,-6.42,,https://www.youtube.com/watch?v=eQclMGoJf-Q;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt
Dri89Vr84Ng,https://www.youtube.com/watch?v=Dri89Vr84Ng,GPL - Spieltag 1 - vs. Mortox: Ein wässriger Start!,game,2014-09-14T15:00:05Z,UCGJoPLl-4NriTMUsNMK-9Zg,Present,https://www.youtube.com/user/Present,person_present,PresentLP,PrekaKnight;Prekani;Soulblaze,season_001;season_002;season_003;season_004;season_005;season_006;season_007;season_008;season_009,Regular Season,season_001,1,regular_season,,matched,season_001_schedule_0021,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 1; channel identifies PresentLP; title names Morbolth as opponent; channel and title identify opposite sides,PresentLP,Morbolth,6814,161,46,PT16M5S,965,2026-06-19T11:59:12Z,1589,4.29,1,21.18,View-Ausreißer 4.3x; Top 5% der Person/Saison; robuster Z-Score 21.2,4.9,1,7825.5,0.87,0.28,-0.92,,https://www.youtube.com/watch?v=Dri89Vr84Ng;https://www.youtube.com/user/Present;https://www.youtube.com/user/PresentLP
edhsSuhxP3U,https://www.youtube.com/watch?v=edhsSuhxP3U,GPL - Spieltag 2 - Vs. Surstars: Fairy Stall,game,2014-09-21T10:00:02Z,UClbnmUIrsk42cC9Nlm_Npnw,Fnupa,https://www.youtube.com/user/Fnupa,person_fnupa,Cabgolord,Doomforce;Fnupagladi,season_001;season_002,Regular Season,season_001,2,regular_season,,matched,season_001_schedule_0025,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 2; channel identifies Cabgolord; title names SurskitTV as opponent; channel and title identify opposite sides,Cabgolord,SurskitTV,769,15,1,PT11M36S,696,2026-06-19T11:59:12Z,554,1.39,0.8,1.16,,1.54,1.1,940.7,0.82,0.17,-1.36,,https://www.youtube.com/watch?v=edhsSuhxP3U;https://www.youtube.com/user/Fnupa;https://www.youtube.com/user/Fnupa/
OigxZ256HKo,https://www.youtube.com/watch?v=OigxZ256HKo,GPL - Spieltag 2 - vs. Fnupagladi : Guardegladi greift an!,game,2014-09-21T10:00:07Z,UCbVtitB1c63WGzsZYmzUFzg,SurskitTV,https://www.youtube.com/user/SurskitTV,person_surskittv,SurskitTV,SurDrakings;Surstars,season_001;season_002;season_003;season_004,Regular Season,season_001,2,regular_season,,matched,season_001_schedule_0025,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 2; channel identifies SurskitTV; title names Cabgolord as opponent; channel and title identify opposite sides,SurskitTV,Cabgolord,2377,82,8,PT22M13S,1333,2026-06-19T11:59:12Z,1440,1.65,0.95,1.58,über Baseline 1.7x; Top 10% der Person/Saison,1.54,1,2228.4,1.07,0.76,0.53,,https://www.youtube.com/watch?v=OigxZ256HKo;https://www.youtube.com/user/SurskitTV
zBibBqKPIs4,https://www.youtube.com/watch?v=zBibBqKPIs4,GPL ★ Spieltag 2 - VS. Arbok Duel Union : Meistagrif der Berserker,game,2014-09-21T11:00:08Z,UCn4dc4SWrOVdhrLB7FXH6ew,DaumenkinoLP,https://www.youtube.com/c/DaumenkinoLP,person_daumenkino,DaumenkinoLP,Melting Mamoswines,season_001;season_002;season_003,Regular Season,season_001,2,regular_season,,matched,season_001_schedule_0029,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 2; channel identifies DaumenkinoLP; title names Art'n'Gaming as opponent; channel and title identify opposite sides,DaumenkinoLP,Art'n'Gaming,1152,41,15,PT17M43S,1063,2026-06-19T11:59:12Z,746.5,1.54,0.9,0.94,über Baseline 1.5x; Top 10% der Person/Saison,1.54,1,1152,1,0.59,0.07,,https://www.youtube.com/watch?v=zBibBqKPIs4;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP
ewlAvz7Buts,https://www.youtube.com/watch?v=ewlAvz7Buts,GPL - Spieltag 2 - vs. LUCKY LUXRAY: Will-O-MISS!,game,2014-09-21T12:55:12Z,UCTk-IMDTJ1SxuUKiZ-VBCsQ,Silva,https://www.youtube.com/user/FinaALFaNtAsyLP,person_silva,Silva,Diggersby Army,season_001,Regular Season,season_001,2,regular_season,,matched,season_001_schedule_0037,100,high,"source_season,week,channel,title,both_sides",matched season season_001 from normalized match; matched source season season_001; matched week 2; channel identifies Silva; title names DirtyD64 as opponent; channel and title identify opposite sides,Silva,DirtyD64,1575,50,9,PT29M17S,1757,2026-06-19T11:59:12Z,672,2.34,0.89,3.52,View-Ausreißer 2.3x; robuster Z-Score 3.5,1.54,1,1037,1.52,0.96,3.04,über Erwartung 1.5x; Top 5% trendbereinigt; Trend-Z-Score 3.0,https://www.youtube.com/watch?v=ewlAvz7Buts;https://www.youtube.com/user/FinaALFaNtAsyLP
