Platz,Spieler,,Spiele,Punkte,Punkte/Spiel,Siege,Niederlagen,Unentschieden,Kills,Deaths,Differenz,Kanal,Rang
1,,Present,149,307,"2,06",101,47,1,798,626,172,https://www.youtube.com/user/PresentLP,"307,000172",,Bemerkung:
2,,FullLifeGames,98,217,"2,21",72,25,1,452,285,167,https://www.youtube.com/user/FullLifeGames,"217,000167",,"Berücksichtigt ist ausschließlich Liga 1. In Season 6 sind sowohl Sun als auch Moon Conference berücksichtigt, allerdings ohne Playoffs."
3,,RegiBang,112,171,"1,53",58,53,1,510,498,12,https://www.youtube.com/user/RegiBang,"171,000012",,"Zu Punkteabzügen bei einzelnen Spielern, siehe die jeweiligen Tabelle der Seasons."
4,,Raizor,120,153,"1,28",51,69,0,506,559,-53,https://www.youtube.com/user/RaizorZockt,"152,999947",,"Spielerwechsel innerhalb einer Season für das gleiche Team, die vereinzelt vorkamen, sind ebenso berücksichtigt."
5,,Kaffeecone,94,138,"1,47",46,47,1,419,432,-13,https://www.youtube.com/user/Kaffeecone,"137,999987"
6,,Lauris,70,137,"1,96",46,24,0,345,272,73,https://www.youtube.com/user/Lauris,"137,000073",,Bei Fragen oder Anmerkungen einfach eine E-Mail an xatuhatu@gmail.com oder im Discord anschreiben!
7,,SurskitTV,96,134,"1,40",44,50,2,417,434,-17,https://www.youtube.com/user/SurskitTV,"133,999983"
8,,CaptainCrinch,94,126,"1,34",42,52,0,405,429,-24,https://www.youtube.com/user/CaptainCrinch,"125,999976"
9,,Minetube,81,124,"1,53",41,39,1,366,371,-5,https://www.youtube.com/user/Minetube,"123,999995"
10,,PokeBazi,72,106,"1,47",35,36,1,332,332,0,https://www.youtube.com/c/PokeBazi,106
11,,FanmadeTim,63,105,"1,67",36,27,0,281,269,12,https://www.youtube.com/user/FanmadeLetsPlay,"105,000012"
12,,Cabgolord,103,90,"0,87",30,73,0,354,524,-170,https://www.youtube.com/user/Cabgolord,"89,99983"
13,,Shirosan,48,86,"1,79",28,18,2,225,196,29,https://www.youtube.com/user/Shriosan,"86,000029"
14,,Oktopaul,52,79,"1,52",26,25,1,232,237,-5,https://www.youtube.com/user/oktopaul,"78,999995"
15,,DauniDaunstar,38,78,"2,05",26,12,0,197,158,39,https://www.youtube.com/user/Dauni,"78,000039"
16,,Nestfloh,38,75,"1,97",25,13,0,190,172,18,https://www.youtube.com/user/Nestfloh,"75,000018"
17,,Barry,46,67,"1,46",22,23,1,205,198,7,https://www.youtube.com/user/SinofSpeed,"67,000007"
18,,Parsifani,54,66,"1,22",22,32,0,239,265,-26,https://www.youtube.com/user/Parsifani,"65,999974"
19,,DaumenkinoLP,39,63,"1,62",21,18,0,183,177,6,https://www.youtube.com/c/DaumenkinoLP,"63,000006"
20,,ElektechN9ne,38,57,"1,50",19,19,0,157,168,-11,https://www.youtube.com/user/ElektechN9ne,"56,999989"
21,,SteveParker,26,56,"2,15",18,6,2,138,84,54,https://www.youtube.com/user/SteveParker,"56,000054"
22,,BelmontGabriel,38,51,"1,34",17,21,0,166,178,-12,https://www.youtube.com/user/BelmontGabriel,"50,999988"
23,,FinaALFaNtAsuLP,22,48,"2,18",16,6,0,108,82,26,https://www.youtube.com/user/FinaALFaNtAsyLP,"48,000026"
24,,TabascoTV,29,46,"1,59",15,13,1,133,95,38,https://www.youtube.com/user/TabascoTV,"46,000038"
25,,MeLevies,35,43,"1,23",14,20,1,157,172,-15,https://www.youtube.com/user/MeLevies,"42,999985"
26,,Hydronic,38,42,"1,11",14,24,0,147,184,-37,https://www.youtube.com/user/Hydronic,"41,999963"
27,,TheHerbertLP,22,40,"1,82",13,8,1,98,84,14,https://www.youtube.com/user/TheHerbertLP,"40,000014"
28,,ProfessorN,22,36,"1,64",12,10,0,105,94,11,https://www.youtube.com/user/ProfessorN,"36,000011"
29,,Glebber,22,36,"1,64",12,10,0,103,100,3,https://www.youtube.com/user/glebber,"36,000003"
30,,TheDirtydancer64,22,33,"1,50",11,11,0,92,93,-1,https://www.youtube.com/user/TheDirtydancer64,"32,999999"
31,,DiaSwordPlay,22,30,"1,36",10,12,0,93,94,-1,https://www.youtube.com/user/DiaSwordPlay,"29,999999"
32,,Scherany,26,30,"1,15",10,16,0,106,135,-29,https://www.youtube.com/user/Scherany,"29,999971"
33,,BlackLink,24,27,"1,13",9,15,0,107,126,-19,https://www.youtube.com/user/BlackLink,"26,999981"
34,,Maxi von Vogel,11,24,"2,18",8,3,0,58,40,18,https://www.youtube.com/user/TeamMauni,"24,000018"
35,,NeverUsedShiro,13,24,"1,85",8,5,0,61,61,0,https://www.youtube.com/user/NeverUsedShiro,24
36,,TJLH100,22,21,"0,95",7,15,0,87,110,-23,https://www.youtube.com/user/TJLH100,"20,999977"
37,,DirtyD64,26,21,"0,81",8,18,0,98,133,-35,https://www.youtube.com/user/DirtyD64,"20,999965"
38,,Kuchenjaeger,26,21,"0,81",7,19,0,94,136,-42,https://www.youtube.com/user/Kuchenjaeger,"20,999958"
39,,CrowdControllerLP,22,18,"0,82",6,16,0,78,113,-35,https://www.youtube.com/user/CrowdController,"17,999965"
40,,Morbolth,22,13,"0,59",4,17,1,52,72,-20,https://www.youtube.com/user/Morbolth,"12,99998"
41,,Raikani,10,12,"1,20",3,7,0,46,57,-11,https://www.youtube.com/user/Raikani,"11,999989"
42,,StratocopterTV,11,10,"0,91",3,7,1,46,53,-7,https://www.youtube.com/user/StratocopterTV,"9,999993"
43,,LucarioLP,10,9,"0,90",3,7,0,54,53,1,https://www.youtube.com/user/LucarioLP,"9,000001"
44,,PokemonFakten,11,7,"0,64",2,8,1,43,57,-14,https://www.youtube.com/user/PokemonFakten,"6,999986"
45,,Asalakoren,11,6,"0,55",2,9,0,37,61,-24,https://www.youtube.com/user/Asalakoren,"5,999976"
46,,Scoutley,11,6,"0,55",2,9,0,31,58,-27,https://www.youtube.com/user/Scoutley,"5,999973"
47,,Craycom,11,6,"0,55",2,9,0,32,61,-29,https://www.youtube.com/user/Craycom,"5,999971"
