Platz,Spieler,,Spiele,Punkte,Punkte/Spiel,Siege,Niederlagen,Unentschieden,Kills,Deaths,Differenz,Kanal
1,,BraveBird,70,111,"1,59",37,33,0,318,334,-16,https://www.youtube.com/user/BraveBird
2,,BlackLink,70,93,"1,33",31,39,0,312,338,-26,https://www.youtube.com/user/BlackLink
3,,LightGaming,52,90,"1,73",30,22,0,243,219,24,https://www.youtube.com/user/LightGaming
4,,CrowdControllerLP,48,87,"1,81",29,19,0,240,211,29,https://www.youtube.com/user/CrowdController
5,,PokeBazi,48,85,"1,77",29,18,1,233,215,18,https://www.youtube.com/user/PokéBazi
6,,ProfessorN,48,79,"1,65",26,21,1,241,201,40,https://www.youtube.com/user/ProfessorN
7,,Leinux,48,63,"1,31",21,27,0,207,227,-20,https://www.youtube.com/user/Leinux
8,,Parsifani,26,59,"2,27",19,5,2,140,105,35,https://www.youtube.com/user/Parsifani
9,,PokeBree,52,57,"1,10",19,33,0,195,253,-58,https://www.youtube.com/user/PokéBree
10,,BelmontGabriel,22,54,"2,45",18,4,0,121,67,54,https://www.youtube.com/user/BelmontGabriel
11,,LucarioLP,26,54,"2,08",18,8,0,134,90,44,https://www.youtube.com/user/LucarioLP
12,,TheMiiFii,48,54,"1,13",18,30,0,199,231,-32,https://www.youtube.com/user/TheMiiFii
13,,TabascoTV,22,51,"2,32",17,5,0,119,79,40,https://www.youtube.com/user/TabascoTV
14,,ElektechN9ne,22,51,"2,32",17,5,0,115,83,32,https://www.youtube.com/user/ElektechN9ne
15,,Minetube,26,51,"1,96",17,9,0,121,97,24,https://www.youtube.com/user/Minetube
16,,CaptainCrinch,26,48,"1,85",16,10,0,130,92,38,https://www.youtube.com/user/CaptainCrinch
17,,Raikani,26,48,"1,85",16,10,0,126,106,20,https://www.youtube.com/user/Raikani
18,,Suishomaru,22,48,"2,18",16,6,0,113,93,20,https://www.youtube.com/user/Suishomaru
19,,MeLevies,26,45,"1,73",15,11,0,118,101,17,https://www.youtube.com/user/MeLevies
20,,Cabgolord,26,43,"1,65",14,11,1,125,109,16,https://www.youtube.com/user/Cabgolord
21,,Glebber,22,42,"1,91",14,8,0,109,86,23,https://www.youtube.com/user/Glebber
22,,LetsKayze,26,42,"1,62",14,12,0,115,101,14,https://www.youtube.com/user/LetsKayze
23,,ScarletSFT,26,42,"1,62",14,11,1,122,111,11,https://www.youtube.com/user/ScarletSFT
24,,PokeKnight,26,39,"1,50",13,13,0,123,124,-1,https://www.youtube.com/user/PokéKnight
25,,Domibri,26,37,"1,42",14,11,1,126,95,31,https://www.youtube.com/user/Domibri
26,,ImpelDownTV,22,37,"1,68",12,9,1,108,102,6,https://www.youtube.com/user/ImpelDownTV
27,,DragoonOfDoom,22,36,"1,64",12,10,0,101,96,5,https://www.youtube.com/user/DragoonofDoom
28,,Pyromanix,26,34,"1,31",11,14,1,111,123,-12,https://www.youtube.com/user/Pyromanix
29,,Scoutley,44,34,"0,77",11,32,1,165,238,-73,https://www.youtube.com/user/Scoutley
30,,DauniDaunstar,22,33,"1,50",11,11,0,102,99,3,https://www.youtube.com/user/Dauni
31,,Burakio,26,33,"1,27",11,15,0,102,120,-18,https://www.youtube.com/user/Burakio
32,,StratocopterTV,22,30,"1,36",10,12,0,92,94,-2,https://www.youtube.com/user/StratocopterTV
33,,Craycom,22,27,"1,23",9,13,0,91,107,-16,https://www.youtube.com/user/Craycom
34,,Shizumania,26,27,"1,04",9,17,0,105,129,-24,https://www.youtube.com/user/Shizumania
35,,Asalakoren,44,27,"0,61",9,35,0,177,229,-52,https://www.youtube.com/user/Asalakoren
36,,Oktopaul,22,24,"1,09",8,14,0,91,115,-24,https://www.youtube.com/user/oktopaul
37,,PentaPlayer,26,21,"0,81",9,17,0,86,129,-43,https://www.youtube.com/user/PentaPlayer
38,,WolvX,26,18,"0,69",6,20,0,88,134,-46,https://www.youtube.com/user/WolvX
39,,Zant,26,6,"0,23",3,23,0,69,150,-81,https://www.youtube.com/user/Zant

,Bemerkung:
,Berücksichtigt ist ausschließlich Liga 2 Season 2 bis 5.
,"Spielerwechsel innerhalb einer Season für das gleiche Team, die vereinzelt vorkamen, sind noch nicht berücksichtigt."
,"Zu Punkteabzügen bei einzelnen Spielern, siehe die jeweiligen Tabelle der Seasons."

,Bei Fragen oder Anmerkungen einfach eine E-Mail an xatuhatu@gmail.com oder im Discord anschreiben!
