#,Pokémon,Pokémon (dt.),,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Average,Ability 1,Ability 2,Ability 3,TIER,POINTS,,,,Momentum,Voltwechsel,Kehrtwende,Rollwende,Teleport,Abgangstirade,Stafette,Trick Room,Tail Wind,Hazards,Tarnsteine,Stachler,Giftspitzen,Klebenetz,Removal,Auflockern,Turbodreher,Seitenwechsel,Recovery,Wunschtraum,Genesung,Ruheort,Synthese,Tagedieb,Mondschein,Morgengrauen,Dschungelheilung,Heilbefehl,Milchgetränk,Sandsammler,Weichei,Prios,Turbotempo,Überrumpler,Tiefschlag,Mogelhieb,Turbofelsen,Tempohieb,Patronenhieb,Wasserdüse,Eissplitter,Schattenstoß,Ruckzuckhieb,Grasrutsche*,Wasser-Shuriken,Vakuumwelle,Gigasauger/Diebeskuss*,Screens,Auroraschleier,Reflektor,Lichtschild,Min Speed Lv 50,Max Speed Lv 50,Min Speed Lv 100,Max Speed Lv 100,Pokemon zusammen,Pokemon klein for Tampermonkey,"""",Schreibweise für Tampermonkey,Nightbot
367,Huntail,Aalabyss,,,WATER,- -,55,104,105,94,75,52,485,"80,83",Swift Swim,,Water Veil,40,3,,,,1,,,,,,ja,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,51,114,98,223,Huntail,huntail,"""","[""pokemon"",""huntail""],",Aalabyss # 
63,Abra,Abra,,,PSYCHIC,- -,25,20,15,105,55,90,310,"51,67",Synchronize,Inner Focus,Magic Guard,40,2,,,,1,,,,ja,,,ja,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,85,156,166,306,Abra,abra,"""","[""pokemon"",""abra""],",Abra # 
359,Absol,Absol,,,DARK,- -,65,130,60,75,60,75,465,"77,5",Pressure,Super Luck,Justified,60,3,,,,1,,,,,,ja,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,2,,,ja,,,,,,,,ja,,,,,,,,,72,139,139,273,Absol,absol,"""","[""pokemon"",""absol""],",Absol # 
503,Samurott,Admurai,,,WATER,- -,95,100,85,108,70,70,528,88,Torrent,,Shell Armor,40,2,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,67,134,130,262,Samurott,samurott,"""","[""pokemon"",""samurott""],",Admurai # 
142,Aerodactyl,Aerodactyl,,,ROCK,FLYING,80,105,65,60,75,130,515,"85,83",Rock Head,Pressure,Unnerve,100,10,,,,0,,,,,,,,ja,1,ja,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,121,200,238,394,Aerodactyl,aerodactyl,"""","[""pokemon"",""aerodactyl""],",Aerodactyl # 
567,Archeops,Aeropteryx,,,ROCK,FLYING,75,140,65,112,65,110,567,"94,5",Defeatist,,,40,5,,,,1,,ja,,,,,,ja,1,ja,,,,1,ja,,,1,,,ja,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,103,178,202,350,Archeops,archeops,"""","[""pokemon"",""archeops""],",Aeropteryx # 
748,Toxapex,Aggrostella,,,POISON,WATER,50,63,152,53,142,35,495,"82,5",Merciless,Limber,Regenerator,120,14,,,,0,,,,,,,,,1,,,ja,,0,,,,1,,ja,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,36,95,67,185,Toxapex,toxapex,"""","[""pokemon"",""toxapex""],",Aggrostella # 
804,Naganadel,Agoyon,,,POISON,DRAGON,73,73,73,127,73,121,540,90,Beast Boost,,,BANNED,BANNED,,,,1,,ja,,,,,,ja,2,,ja,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,113,190,222,375,Naganadel,naganadel,"""","[""pokemon"",""naganadel""],",Agoyon # 
737,Charjabug,Akkup,,,BUG,ELECTRIC,57,82,95,55,75,36,400,"66,67",Battery,,,40,2,,,,1,ja,,,,,,,,1,,,,ja,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,36,96,69,188,Charjabug,charjabug,"""","[""pokemon"",""charjabug""],",Akkup # 
690,Skrelp,Algitt,,,POISON,WATER,50,60,60,60,60,30,320,"53,33",Poison Point,Poison Touch,Adaptability,40,1,,,,1,,,ja,,,,,,1,,,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,Skrelp,skrelp,"""","[""pokemon"",""skrelp""],",Algitt # 
