
1:Asalakoren vs. Barry D. Sin of Speed,1,Asalakoren,Barry D. Sin of Speed,Asalakoren vs. Barry D. Sin of Speed,0,4,L,6 Sun,7
1:Asalakoren vs. BelmontGabriel,1,Asalakoren,BelmontGabriel,Asalakoren vs. BelmontGabriel,0,2,L,5 L2,20
1:Asalakoren vs. BlackLink,1,Asalakoren,BlackLink,Asalakoren vs. BlackLink,3,0,W,4,21
1:Asalakoren vs. BraveBirdGames,1,Asalakoren,BraveBirdGames,Asalakoren vs. BraveBirdGames,0,3,L,4,13
1:Asalakoren vs. Craycom,1,Asalakoren,Craycom,Asalakoren vs. Craycom,3,0,W,5 L2,12
1:Asalakoren vs. CrowdController,1,Asalakoren,CrowdController,Asalakoren vs. CrowdController,0,3,L,5 L2,7
1:Asalakoren vs. Dauni Daunstar,1,Asalakoren,Dauni Daunstar,Asalakoren vs. Dauni Daunstar,3,0,W,5 L2,17
1:Asalakoren vs. Dragon of Doom,1,Asalakoren,Dragon of Doom,Asalakoren vs. Dragon of Doom,0,2,L,4,6
1:Asalakoren vs. ElektechN9ne,1,Asalakoren,ElektechN9ne,Asalakoren vs. ElektechN9ne,0,1,L,5 L2,11
1:Asalakoren vs. Glebber,1,Asalakoren,Glebber,Asalakoren vs. Glebber,0,3,L,4,12
1:Asalakoren vs. Hydronic,1,Asalakoren,Hydronic,Asalakoren vs. Hydronic,0,4,L,6 Sun,2
1:Asalakoren vs. ImpelDownTV,1,Asalakoren,ImpelDownTV,Asalakoren vs. ImpelDownTV,0,3,L,4,5
1:Asalakoren vs. Lauris,1,Asalakoren,Lauris,Asalakoren vs. Lauris,0,3,L,6 Sun,6
1:Asalakoren vs. Leinux,1,Asalakoren,Leinux,Asalakoren vs. Leinux,0,1,L,4,20
1:Asalakoren vs. Maxi von Vogel,1,Asalakoren,Maxi von Vogel,Asalakoren vs. Maxi von Vogel,0,4,L,6 Sun,9
1:Asalakoren vs. Minetube,1,Asalakoren,Minetube,Asalakoren vs. Minetube,0,1,L,6 Sun,10
1:Asalakoren vs. Oktopaul,1,Asalakoren,Oktopaul,Asalakoren vs. Oktopaul,0,1,L,5 L2,5
1:Asalakoren vs. Parsifani,1,Asalakoren,Parsifani,Asalakoren vs. Parsifani,2,0,W,6 Sun,11
1:Asalakoren vs. PokéBazi,1,Asalakoren,PokéBazi,Asalakoren vs. PokéBazi,0,2,L,5 L2,13
1:Asalakoren vs. Present,1,Asalakoren,Present,Asalakoren vs. Present,0,4,L,6 Sun,8
