1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],,7. Spieltag - Sonntag der 26.10.2014 [12:00 -17:00],,12. Spieltag – Sonntag der 07.12.2014 [12:00 -17:00],,18. Spieltag – Sonntag der 18.01.2015 [12:00 -17:00]

            DaumenKinoLP [4 – 3] SurskitTV   U. nach DC  ,,PresentLP [3 – 0] SurskitTV ,,DaumenKinoLP [2 – 0] SurskitTV           ,,  PresentLP [2 – 0] SurskitTV 
         Fnupa [0 – 3] DiaSwordPlay,,Raizor Zockt [3 – 0] Morbolth      ,,          Fnupa [0 – 4] DiaSwordPlay ,,                   Raizor Zockt [0 – 0] Morbolth    Raizor Sieg  
KaffeeConeLP [0 – 2] Silva                ,"
",Shiro-San [0 – 5] DirtyD64  ,,KaffeeConeLP [0 – 3] Silva                ,,Shiro-San [5 – 0] DirtyD64
PokemonFakten [0 – 4] Shiro-San            ,"
",                  Silva [4 – 0] PokemonFakten ,,FanmadeLetsPlay [1 – 0] Shiro-San              ,,                     Silva [2 – 0] FanmadeLetsPlay
   DirtyD64 [4 – 0] Raizor Zockt,,              DiaSwordPlay [5 – 3] KaffeeConeLP nach DC,,    DirtyD64 [0 – 2] Raizor Zockt,,   DiaSwordPlay [3 – 0] KaffeeConeLP
Morbolth [0 – 4] PresentLP,,DaumenKinoLP [3 – 0] Fnupa             ,,   Morbolth [4 – 0] PresentLP  ,,DaumenKinoLP [6 – 0] Fnupa           
,"
"
2. Spieltag - Sonntag der 21.09.2014 [12:00 -17:00],"
",8. Spieltag - Sonntag der 02.11.2014 [12:00 -17:00],,13. Spieltag – Sonntag der 14.12.2014 [12:00 -17:00],,19. Spieltag – Sonntag der 25.01.2015 [12:00 -17:00]

SurskitTV [4 – 0]Fnupa         ,,     SurskitTV [0 – 3] Raizor Zockt ,,                   SurskitTV [4 – 2] Fnupa ; Sieg nach DC  ,,       SurskitTV [5 – 0] Raizor Zockt
KaffeeConeLP [0 – 3] DaumenKinoLP ,,  Shiro-San [0 – 5] PresentLP ,,  KaffeeConeLP [0 – 2] DaumenKinoLP ,,    Shiro-San [3 – 0] PresentLP
PokemonFakten [0 – 1]DiaSwordPlay        ,,       Silva [6 – 0] Morbolth  ,,            FanmadeLetsPlay [6 – 0] DiaSwordPlay  n. Aufgeben,,                             Silva [0 – 0] Morbolth    Silva Sieg  
"                       DirtyD64 [1 – 4] Silva  Sieg, Silva nach DC ",,DiaSwordPlay [0 – 2] DirtyD64        ,,                      DirtyD64 [6 – 0] Silva     n. Regelverstoß ,,DiaSwordPlay [2 – 0] DirtyD64     
