Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal

Prekani,1,60,126,69,57,20,2,0,https://www.youtube.com/user/PresentLP
Diggersby Army,2,48,108,82,26,16,6,0,https://www.youtube.com/user/FinaALFaNtAsyLP
Melting Mamoswines,3,40,98,84,14,13,8,1,https://www.youtube.com/user/TheHerbertLP
Dancing Darmanitans,4,36,99,99,0,12,10,0,https://www.youtube.com/user/Shriosan
Raizoroark,5,33,94,94,0,11,11,0,https://www.youtube.com/user/RaizorZockt
Lucky Luxray,6,33,92,93,-1,11,11,0,https://www.youtube.com/user/TheDirtydancer64
Nocturne*,7,31,90,95,-5,10,11,1,https://www.youtube.com/user/FanmadeLetsPlay
Diaslashplay,8,30,93,94,-1,10,12,0,https://www.youtube.com/user/DiaSwordPlay
Surstars,9,28,88,98,-10,9,12,1,https://www.youtube.com/user/SurskitTV
Arbok Duel Union,10,21,87,110,-23,7,15,0,https://www.youtube.com/user/TJLH100
Fnupagladi,11,21,78,107,-29,7,15,0,https://www.youtube.com/user/Fnupa
Mortox,12,13,52,72,-20,4,17,1,https://www.youtube.com/user/Morbolth
Ende der 1. Season.
,"*Seit der RR dabei, für die Rasselbande"
