1. Spieltag - Sonntag der 15.03.2015 [12:00 -18:00],,8. Spieltag - Sonntag der 03.05.2015 [12:00 -18:00],,14. Spieltag - Sonntag der 21.06.2015 [12:00 -18:00],,21. Spieltag - Sonntag der 09.08.2015  [12:00 -18:00]

  Raizor Zockt [3 - 0] RegiBang   ,,RegiBang [0 - 2] DirtyD64  ,,Raizor Zockt [3 - 0] RegiBang       ,,               RegiBang [6 - 0] DirtyD64   nach DC
            PresentLP [0 - 4] DaumenKinoLP  ,,    Fnupa [0 - 3] Shiro-San,,     PresentLP [3 - 0] DaumenKinoLP,, Cabgolord [0 - 6] Shiro-San
                  Scherany [0 - 3] FanmadeLetsPlay   ,,Steve's Super Fun Time [6 - 0] KaffeeConeLP               ,,          Scherany [0 - 2] FanmadeLetsPlay,,Steve's Super Fun Time [2 - 0] KaffeeConeLP            
Kuchenjaeger [0 - 4] SurskitTV,,SurskitTV [2 - 0] Oktopaul   ,,Kuchenjaeger [0 - 2] SurskitTV       ,, SurskitTV [2 - 0] Oktopaul
                      KaffeeConeLP [0 - 2] Oktopaul    ,,Kuchenjaeger [2 - 0] Scherany        ,,KaffeeConeLP [5 - 0] Oktopaul          ,,Kuchenjaeger [0 - 4] Scherany    
        Steve's Super Fun Time [5 - 0] Fnupa,, DaumenKinoLP [3 - 0] FanmadeLetsPlay,,      Steve's Super Fun Time [5 - 0] Cabgolord                           ,,        DaumenKinoLP [0 - 3] FanmadeLetsPlay  
        DirtyD64 [0 - 5] Shiro-San,,PresentLP [0 - 4] Raizor Zockt,,DirtyD64 [0 - 4] Shiro-San,,      PresentLP [0 - 1] Raizor Zockt

2. Spieltag - Sonntag der 22.03.2015 [12:00 -18:00],,9. Spieltag - Sonntag der 10.05.2015 [12:00 -18:00],,15. Spieltag - Sonntag der 28.06.2015 [12:00 -18:00],,22. Spieltag - Sonntag der 16.08.2015 [12:00 -18:00]

RegiBang [0 - 5] PresentLP,,   Fnupa [0 - 4] RegiBang,,RegiBang [2 - 0] PresentLP,,   Cabgolord [0 - 4] RegiBang 
              FanmadeLetsPlay [2 - 0] Raizor Zockt,,  KaffeeConeLP [5 - 0] DirtyD64             ,,FanmadeLetsPlay [6 - 0] Raizor Zockt         ,,KaffeeConeLP [3 - 0] DirtyD64      
                  DaumenKinoLP [0 - 1] Kuchenjaeger,,  Shiro-San [0 - 3] SurskitTV     ,,DaumenKinoLP [5 - 0] Kuchenjaeger    ,,   Shiro-San [0 - 6] SurskitTV nach Brechen der Sleep Clause
Oktopaul [0 - 2] Scherany,,                  Scherany [0 - 2] Steve's Super Fun Time,,Oktopaul [3 - 0] Scherany ,,                        Scherany [2 - 0] Steve's Super Fun Time
                    SurskitTV [0 - 4] Steve's Super Fun Time,,Oktopaul [2 - 1] DaumenKinoLP; Sieg für Paul nach Time Out,,                  SurskitTV [0 - 5] Steve's Super Fun Time,,            Oktopaul [4 - 0] DaumenKinoLP
      Shiro-San [0 - 5] KaffeeConeLP,,   Raizor Zockt [4 - 0] Kuchenjaeger      ,,     Shiro-San [0 - 4] KaffeeConeLP,,   Raizor Zockt [2 - 0] Kuchenjaeger
   Fnupa [4 - 0] DirtyD64,,    FanmadeLetsPlay [4 - 0] PresentLP                   ,,            Cabgolord [0 - 4] DirtyD64   nach DC,,FanmadeLetsPlay [0 - 6] PresentLP         

3. Spieltag - Sonntag der 29.03.2015 [12:00 -18:00],,10. Spieltag - Sonntag der 17.05.2015 [12:00 -18:00],,16. Spieltag - Sonntag der 05.07.2015 [12:00 -18:00],,23. Spieltag - Sonntag der 23.08.2015 [12:00 -18:00]

               FanmadeLetsPlay [5 - 0] RegiBang,,     RegiBang [3 - 0] KaffeeConeLP,,FanmadeLetsPlay [0 - 3] RegiBang             ,,           RegiBang [2 - 0] KaffeeConeLP
                      Kuchenjaeger [2 - 0] PresentLP,,SurskitTV [1 - 0] Fnupa        ,,Kuchenjaeger [0 - 6] PresentLP      ,,    SurskitTV [6 - 0] Cabgolord
                       Raizor Zockt [0 - 5] Oktopaul,,DirtyD64 [0 - 1] Scherany  ,,Raizor Zockt [5 - 0] Oktopaul       ,,     DirtyD64 [0 - 2] Scherany
      Steve's Super Fun Time [5 - 0] DaumenKinoLP  ,,DaumenKinoLP [0 - 2] Shiro-San            ,,   Steve's Super Fun Time [0 - 3] DaumenKinoLP                 ,,DaumenKinoLP [2 - 0] Shiro-San    
Scherany [0 - 5] Shiro-San,,Steve's Super Fun Time [4 - 0] Raizor Zockt                    ,,Scherany [0 - 2] Shiro-San ,,      Steve's Super Fun Time [0 - 1] Raizor Zockt  nach TO    
  DirtyD64 [0 - 4] SurskitTV,,PresentLP [3 - 0] Oktopaul      ,,DirtyD64 [5 - 0] SurskitTV,,  PresentLP [4 - 0] Oktopaul
