Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Duelling Luca-Ri-Oh,1,59,140,105,35,19,5,2,https://www.youtube.com/user/Parsifani
Psychic Bazis,2,55,137,111,26,19,6,1,https://www.youtube.com/user/PokéBazi
Wildcats,3,54,134,90,44,18,8,0,https://www.youtube.com/user/LucarioLP
Triyolotree,4,51,121,97,24,17,9,0,https://www.youtube.com/user/Minetube
Crinchilla,5,48,130,92,38,16,10,0,https://www.youtube.com/user/CaptainCrinch
Bulettenbande,6,48,126,106,20,16,10,0,https://www.youtube.com/user/Raikani
Infernayze,7,42,115,101,14,14,12,0,https://www.youtube.com/user/LetsKayze
Sunny Reptiles*²,8,     37*¹*¹,126,95,31,14,11,1,https://www.youtube.com/user/Domibri
Salty Gengars,9,33,108,122,-14,11,15,0,https://www.youtube.com/user/LightGaming
Absocore,10,  30*¹,90,116,-26,10,16,0,https://www.youtube.com/user/PokéBree
Buzzingmaniacs*³,11,27,105,129,-24,9,17,0,https://www.youtube.com/user/Shizumania
Power Knilz Bande,12,     21*¹*¹,86,129,-43,9,17,0,https://www.youtube.com/user/PentaPlayer
The Gymleader,13,18,88,134,-46,6,20,0,https://www.youtube.com/user/WolvX
Typhlosion burning Squad,14,   6*¹ ,69,150,-81,3,23,0,https://www.youtube.com/user/Zant


*¹ 3 Strikes = 3 Punkte Abzug

*² Für Energie Tobutz seit Spieltag 16 dabei
*³ Für SpeedEevees seit Spieltag 17 dabei

Das ist nun die finale Tabelle. Vielen Dank für diese Season und jegliche Unterstützung. :)
