GPL Pokémon Kill Rang:,,Stand: Spieltag 12 ,"Restlichen Spieltage werden aktualisiert, sobald ich alle Kills habe",,,Raizor - Stand: Spieltag 13

Pokémon,Kills,Platz,Kanal
Mega Latias,18,4,https://www.youtube.com/user/TJLH100
Latios,18,1,https://www.youtube.com/user/SteveParker
Azumarill,17,3,https://www.youtube.com/user/Shriosan
Mega Altaria,16,2,https://www.youtube.com/user/oktopaul
Mega Sumpex,16,4,https://www.youtube.com/user/FanmadeLetsPlay
Mamutel,16,4,https://www.youtube.com/c/DaumenkinoLP
Mega Schlapor,14,4,https://www.youtube.com/user/SurskitTV
Starmie,14,6,https://www.youtube.com/user/PresentLP
Mega Pinsir,13,5,https://www.youtube.com/user/PresentLP
Keldeo,13,4,https://www.youtube.com/user/TJLH100
Gengar,12,7,https://www.youtube.com/user/RegiBang
Aquana,12,6,https://www.youtube.com/user/SurskitTV
Mega Bisaflor,12,7,https://www.youtube.com/user/RaizorZockt
Demeteros-T,12,10,https://www.youtube.com/user/RaizorZockt
Mega Galagladi,12,6,https://www.youtube.com/c/DaumenkinoLP
Manaphy,11,5,https://www.youtube.com/user/TheDirtydancer64
Lucario,11,12,https://www.youtube.com/user/RaizorZockt
Mega Diancie,10,9,https://www.youtube.com/user/RegiBang
Blitza,10,6,https://www.youtube.com/user/PresentLP
Kappalores,10,6,https://www.youtube.com/user/FanmadeLetsPlay
Kabutops,10,10,https://www.youtube.com/user/FanmadeLetsPlay
Zapdos,10,7,https://www.youtube.com/c/DaumenkinoLP
Meistagrif,10,6,https://www.youtube.com/user/oktopaul
Tobutz,10,8,https://www.youtube.com/user/oktopaul
Impoleon,10,7,https://www.youtube.com/user/Scherany
Galagladi,10,6,https://www.youtube.com/user/Fnupa/
Entei,10,6,https://www.youtube.com/user/SteveParker
Rabigator,9,7,https://www.youtube.com/user/SteveParker
Iksbat,9,7,https://www.youtube.com/user/SteveParker
Machomei,9,9,https://www.youtube.com/user/Scherany
Tandrak,9,8,https://www.youtube.com/user/Kuchenjaeger
Donphan,8,11,https://www.youtube.com/user/Kuchenjaeger
Flampivian,8,11,https://www.youtube.com/user/Fnupa/
Boreos,8,8,https://www.youtube.com/user/Scherany
Aquana,8,10,https://www.youtube.com/user/Shriosan
Despotar,8,8,https://www.youtube.com/user/Shriosan
Magneton,8,11,https://www.youtube.com/user/RegiBang
Demeteros-T,8,10,https://www.youtube.com/user/RegiBang
Caesurio,8,11,https://www.youtube.com/user/TheDirtydancer64
Gengar,7,9,https://www.youtube.com/user/Scherany
Kobalium,7,13,https://www.youtube.com/user/SteveParker
Entei,7,9,https://www.youtube.com/user/TJLH100
Voltolos-T,6,12,https://www.youtube.com/user/TJLH100
Shaymin,6,14,https://www.youtube.com/user/RaizorZockt
Magnezone,6,10,https://www.youtube.com/user/FanmadeLetsPlay
Blitza,6,10,https://www.youtube.com/user/SurskitTV
Fiaro,6,12,https://www.youtube.com/user/SurskitTV
Nidoking,6,10,https://www.youtube.com/user/oktopaul
Nidoqueen,6,10,https://www.youtube.com/user/TheDirtydancer64
Wie-Shu,6,13,https://www.youtube.com/user/TheDirtydancer64
Rotom-W,6,11,https://www.youtube.com/user/Fnupa/
Florges,6,12,https://www.youtube.com/user/PresentLP
Mega Bibor,5,11,https://www.youtube.com/user/Kuchenjaeger
Skelabra,5,13,https://www.youtube.com/user/Kuchenjaeger
Stalobor,5,11,https://www.youtube.com/user/Scherany
Zytomega,5,11,https://www.youtube.com/user/SurskitTV
Pixi,5,11,https://www.youtube.com/user/SurskitTV
Stalobor,5,13,https://www.youtube.com/user/SurskitTV
Brutalanda,5,11,https://www.youtube.com/user/RegiBang
Pixi,5,11,https://www.youtube.com/user/SteveParker
Hutsassa,5,13,https://www.youtube.com/user/SteveParker
Nidoqueen,5,13,https://www.youtube.com/user/Shriosan
Feelinara,5,12,https://www.youtube.com/c/DaumenkinoLP
Tentoxa,5,12,https://www.youtube.com/user/RaizorZockt
Heatran,4,13,https://www.youtube.com/user/RaizorZockt
Rotom-W,4,12,https://www.youtube.com/user/PresentLP
Hutsassa,4,15,https://www.youtube.com/user/PresentLP
Laschoking,4,13,https://www.youtube.com/user/Kuchenjaeger
Regirock,4,12,https://www.youtube.com/user/Kuchenjaeger
Starmie,4,14,https://www.youtube.com/user/Kuchenjaeger
Suicune,4,12,https://www.youtube.com/user/oktopaul
Mega Knakrack,4,12,https://www.youtube.com/user/TheDirtydancer64
Resladero,4,12,https://www.youtube.com/user/RegiBang
Wie-Shu,4,12,https://www.youtube.com/user/Shriosan
Rotom-H,4,13,https://www.youtube.com/user/Shriosan
Togekiss,4,14,https://www.youtube.com/user/Shriosan
Mega Glurak X,4,15,https://www.youtube.com/user/Scherany
Quaxo,4,13,https://www.youtube.com/user/FanmadeLetsPlay
Entei,4,13,https://www.youtube.com/c/DaumenkinoLP
Trikephalo,4,12,https://www.youtube.com/c/DaumenkinoLP
Brutalanda,3,13,https://www.youtube.com/c/DaumenkinoLP
Forstellka,3,13,https://www.youtube.com/user/FanmadeLetsPlay
Entei,3,13,https://www.youtube.com/user/oktopaul
Rotom-W,3,13,https://www.youtube.com/user/oktopaul
Mega Stolloss,3,14,https://www.youtube.com/user/Shriosan
Hutsassa,3,13,https://www.youtube.com/user/Shriosan
Staraptor,3,14,https://www.youtube.com/user/TJLH100
Suicune,3,13,https://www.youtube.com/user/RaizorZockt
Gengar,3,14,https://www.youtube.com/user/TheDirtydancer64
Flampivian,3,13,https://www.youtube.com/user/TheDirtydancer64
Mamolida,2,15,https://www.youtube.com/user/TJLH100
Mega Gewaldro,2,14,https://www.youtube.com/user/Fnupa/
Milotic,2,14,https://www.youtube.com/user/Fnupa/
Boreos,2,14,https://www.youtube.com/user/FanmadeLetsPlay
Nachtara,2,15,https://www.youtube.com/user/FanmadeLetsPlay
Viscogon,2,15,https://www.youtube.com/user/FanmadeLetsPlay
Raikou,2,15,https://www.youtube.com/user/FanmadeLetsPlay
Despotar,2,14,https://www.youtube.com/user/Scherany
Panferno,2,15,https://www.youtube.com/user/Scherany
Forstellka,2,14,https://www.youtube.com/user/oktopaul
Sumpex,2,14,https://www.youtube.com/user/RaizorZockt
Trikephalo,2,14,https://www.youtube.com/user/RaizorZockt
Voltula,2,14,https://www.youtube.com/user/Fnupa/
Skorgro,2,15,https://www.youtube.com/user/Fnupa/
Forstellka ,2,14,https://www.youtube.com/user/Fnupa/
Rotom-W,2,14,https://www.youtube.com/user/SteveParker
Aquana,2,14,https://www.youtube.com/user/RegiBang
Aquana,2,14,https://www.youtube.com/c/DaumenkinoLP
Forstellka,1,15,https://www.youtube.com/c/DaumenkinoLP
Tentoxa,1,15,https://www.youtube.com/c/DaumenkinoLP
Magbrant,1,15,https://www.youtube.com/user/Fnupa/
