1. Spieltag - Mittwoch der 18.03.2015 [12:00 -18:00],,8. Spieltag - Mittwoch der 06.05.2015 [12:00 -18:00],,14. Spieltag - Mittwoch der 24.06.2015 [12:00 -18:00],,21. Spieltag - Mittwoch der 12.08.2015 [12:00 -18:00]

                          LucarioLP [6 - 0] Zant017,,Zant017 [0 - 5] PokeBazi,,LucarioLP [3 - 0] Zant017  ,,Zant017 [0 - 3] PokeBazi
                          PokeBree [0 - 3] FreeCale,,Minetube13 [5 - 0] PentaPlayer ,,PokeBree [0 - 4] Raikani  ,,Minetube13 [2 - 0] PentaPlayer 
LetsKayze [0 - 3] Glebber-San,,      K-O-H [0 - 1] Philipp1337,,    LetsKayze [0 - 6] Glebber-San,,      WolvX [0 - 3] Shizumania
LightGaming [0 - 4] CaptainCrinch,,CaptainCrinch [0 - 3] Parsifani         ,,    LightGaming [0 - 4] CaptainCrinch,,CaptainCrinch [2 - 0] Parsifani         
                        Philipp1337 [0 - 2] Parsifani,,LightGaming [0 - 2] LetsKayze     ,,SpeedEevee [0 - 3] Parsifani   ,,                   LightGaming [0 - 6] LetsKayze nach Aufgeben 
   K-O-H [4 - 0] Minetube,,   FreeCale [0 - 2] Glebber-San,,       WolvX [0 - 6] Minetube ,,Raikani [4 - 0] Domibri 
                           PokeBazi [3 - 0] PentaPlayer,,PokeBree [0 - 5] LucarioLP  ,,      PokeBazi [0 - 4] PentaPlayer,,PokeBree [0 - 4] LucarioLP 

2. Spieltag - Mittwoch der 25.03.2015 [12:00 -18:00],,9. Spieltag - Mittwoch der 13.05.2015 [12:00 -18:00],,15. Spieltag - Mittwoch der 01.07.2015 [12:00 -18:00],,22. Spieltag - Mittwoch der 19.08.2015  [12:00 -18:00]

Zant017 [0 - 6] PokeBree,,Minetube13 [6 - 0] Zant017      ,,    Zant017 [0 - 6] PokeBree,,Minetube13 [4 - 0] Zant017    
 Glebber [3 - 0] LucarioLP,,Philipp1337 [0 - 3] PokeBazi    ,,     Glebber [0 - 1] LucarioLP,,Shizumania [0 - 3] PokeBazi  
