GPL [S2] - Liga 2 - Kill-Rangliste,,Stand: Spieltag 26 {Season Ende],"
"
Pokemon,Kills,Platz,Kanal
Scherox,40,1,LucarioLP
Krebutack,29,2,PokéBazi
Caesurio,26,3,Minetube
Simsala,23,4,Lets Kayze
Lucario,21,5,Parsifani
Mega-Glurak-X,21,5,SpeedEevee
Mega-Scherox,20,6,CaptainCrinch
Azumarill,20,6,Raikani
Nidoking,20,6,Raikani
Mega-Bisaflor,19,7,LucarioLP
Nidoking,19,7,Lets Kayze
Azumarill,18,8,Parsifani
Chaneira,18,8,CaptainCrinch
Ramoth,16,9,Parsifani
Grebbit,16,9,PokéBazi
Suicune,16,9,Minetube
Mamolida,15,10,Parsifani
Mega-Turtok,15,10,glebber
Flambirex,15,10,Minetube
Florges,14,11,LucarioLP
Mega-Glurak-Y,13,12,PokéBazi
Donphan,13,12,PokéBazi
Tentantel,13,12,Lets Kayze
Mamutel,13,12,LightGaming
Sumpex,13,12,LucarioLP
Heatran,12,13,glebber
Scherox,12,13,PokeBree
Gengar,12,13,LightGaming
Mamutel,12,13,CaptainCrinch
Kapilz,12,13,Zant017
Demeteros-T,12,13,Parsifani
Latios,11,14,PentaPlayer
Toxiquak,11,14,glebber
Demeteros-T,11,14,glebber
Chillabell,11,14,CaptainCrinch
Flampivian,11,14,Raikani
Mew [Totgeburt],11,14,Raikani
Simsala,11,14,Parsifani
Mega-Pinsir,11,14,WolvX
Trikephalo,10,15,Minetube
Florges,10,15,PokéBazi
Panferno,10,15,Lets Kayze
Impergator,10,15,Zant017
Suicune,10,15,Raikani
Florges,10,15,WolvX
Mega-Metagross,10,15,PentaPlayer
Trikephalo,9,16,LucarioLP
Mega-Rexblisar,9,16,Parsifani
Skaraborn,9,16,SpeedEevee
Mega-Garados,9,16,Lets Kayze
Zytomega,9,16,LightGaming
Latios,8,17,LucarioLP
Rotom-Heat,8,17,PokeBree
Latias,8,17,Zant017
Latios,8,17,Shizumania
Porygon 2,8,17,Lets Kayze
Mega Simsala,7,18,LightGaming
Mega-Galagladi,7,18,LightGaming
Iksbat,7,18,LightGaming
Chaneira,7,18,Minetube
Sumpex,7,18,Minetube
Hutsassa,7,18,Minetube
Flampivian,7,18,Parsifani
Iksbat,7,18,Parsifani
Meditalis,7,18,PokeBree
Mega Tauboss,7,18,Zant017
Rotom-Heat,7,18,PentaPlayer
Iksbat,7,18,PokéBazi
Entei,7,18,PokéBazi
Zapplarang,7,18,WolvX
Trikephalo,6,19,glebber
Tobutz,6,19,glebber
Scherox,6,19,glebber
Scherox,6,19,LightGaming
Chaneira,6,19,LightGaming
Rotom-Heat,6,19,CaptainCrinch
Terrakium,6,19,Minetube
Mega-Zobiris,6,19,Minetube
Psiana,6,19,PokéBazi
Magnezone,6,19,PokéBazi
Keldeo,6,19,PokéBazi
Rotom-Heat,6,19,Raikani
Terrakium,6,19,Raikani
Mega-Latias,6,19,Raikani
Suicune,6,19,SpeedEevee
Nidoking,6,19,WolvX
Kobalium,6,19,LucarioLP
Maxax,6,19,Shizumania
Mega-Schlapor,6,19,Shizumania
Mew,5,20,CaptainCrinch
Rotom-Heat,5,20,glebber
Trikephalo,5,20,LightGaming
Mamolida,5,20,LightGaming
Pixi,5,20,PentaPlayer
Zoroark,5,20,SpeedEevee
Snibunna,5,20,Zant017
