Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
ToxicBlast,1,56,138,84,54,18,6,2,https://www.youtube.com/user/SteveParker
Melting Mamoswines,2,54,132,105,27,18,8,0,https://www.youtube.com/c/DaumenkinoLP
Rotom Kebab,3,50,126,97,29,16,8,2,https://www.youtube.com/user/Shirosan
Little Littleos,4,48,127,98,29,16,10,0,https://www.youtube.com/user/Kaffecone
SurDrakings,5,48,125,108,17,16,10,0,https://www.youtube.com/user/SurskitTV
Blazing Okturtles,6,43,114,107,7,14,11,1,https://www.youtube.com/user/oktopaul
Prekani,7,40,120,112,8,13,12,1,https://www.youtube.com/user/PresentLP
Lucha Libres,8,  36* ,120,113,7,13,13,0,https://www.youtube.com/user/RegiBang
CroakDrop,9, 36*,114,117,-3,13,13,0,https://www.youtube.com/user/FanmadeLetsPlay
Raizoroark,10,36,109,121,-12,12,14,0,https://www.youtube.com/user/RaizorZockt
Fabulous Gayloppaz,11,30,106,135,-29,10,16,0,https://www.youtube.com/user/Scherany
Magic Manaphys,12, 21*,98,133,-35,8,18,0,https://www.youtube.com/user/DirtyD64
StunfiskUnderdogs,13,21,94,136,-42,7,19,0,https://www.youtube.com/user/Kuchenjaeger
Doomforce,14,15,74,137,-63,5,21,0,https://www.youtube.com/user/Cabgolord

* 3 Strikes = 3 Punkte Abzug

Das ist nun die finale Tabelle. Vielen Dank für diese Season und jegliche Unterstützung. :)
