Regelwerk + Informationen:

Das Prinzip ist an die Bundesliga angelehnt:
"Sieg = 3 Punkte, Untentschieden = 1 Punkt, Niederlage = 0 Punkte. "

Es gibt eine Hin - und Rückrunde.

Zwischen Hin - und Rückrunde gibt es eine Pause von einer Woche. Vier Pokemon des Teams dürfen in dieser Zeit verändert werden.

"Jeder Teilnehmer hat 11 Pokemon. Davon darf jeder max. 4 OUs haben, der Rest ist frei wählbar."

Mega Pokemon dürfen nur mit Mega Stein gespielt werden. 

"Die Fähigkeiten, Attacken, Items, DVs/EVs (Außer Mega Steine) der Pokemon dürfen vor jedem Kampf geändert werden."

"Die Teams sind für jeden einsehbar, sodass man sich auf das mögliche, gegnerische Team vorbereiten kann."

Es wird nach Smogon Regeln gekämpft. 
Die Clauses: 
-Species Clause
-Sleep Clause
-Evasion Clause
-OHKO Clause
-Moody Clause
-Item Clause
-Baton Pass Clause
-Swagger Clause

"Das Signature Pokémon muss zu den 11 ausgewählten Pokemon gehören, muss aber nicht an jedem Kampf teilnehmen."

"Das Signature Pokemon ist Team-exklusiv, dementsprechend darf kein anderes Team dieses Pokemon verwenden."
