,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Prekani,1,57,145,104,41,19,7,0,https://www.youtube.com/user/PresentLP
Glorious Emperors,2,48,122,110,12,16,10,0,https://www.youtube.com/user/RegiBang
Coldlauncher,3,45,120,114,6,15,11,0,https://www.youtube.com/user/FanmadeLetsPlay
Triyolotree,4,42,124,110,14,14,12,0,https://www.youtube.com/user/Minetube
Unlimited Blade Works*¹,5,39,126,121,5,13,13,0,https://www.youtube.com/user/FullLifeGames
Crinchilla,6,39,125,123,2,13,13,0,https://www.youtube.com/user/CaptainCrinch
Krebuknackis,7,39,119,125,-6,13,13,0,https://www.youtube.com/c/PokeBazi
Enteigeddon*³ **¹,8,38,119,125,-6,13,13,0,https://www.youtube.com/c/LaurisEnteitainment
Unbound Zoroarks,9,36,110,120,-10,12,14,0,https://www.youtube.com/user/Raizor
Petalburg Panchams,10,36,118,130,-12,12,14,0,https://www.youtube.com/user/oktopaul
Little Littleos,11,33,120,125,-5,11,15,0,https://www.youtube.com/user/Art'n'Gaming
Munich Magbys*²,12,33,112,133,-21,11,15,0,https://www.youtube.com/user/NeverUsedShiro
Persian Carpets,13,30,118,125,-7,10,16,0,https://www.youtube.com/user/Parsifani
Surstars,14,30,115,127,-13,10,16,0,https://www.youtube.com/user/SurskitTV

*¹ Für Team Tryhardreigons seit Spieltag 11 dabei!,,,Stand: Spieltag 26*
*² Für Team Pawsome seit Spieltag 11 dabei!
*³ Für Team Melting Mamoswines seit Spieltag 14 dabei!,,,**¹ 3 Strikes = 1 Punkt Abzug

Das ist die finale Tabelle der 3. Season der GPL! 


GPL Season 4 ~ coming soon!

,,,,, 




































































































Gesamt:,,545,1693,1692,0,182,182,0
