Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Departed Fairies,1,57,135,97,38,19,7,0,https://www.youtube.com/user/LightGaming
Joltik Justice*² ,2,54,134,103,31,18,8,0,https://www.youtube.com/user/CrowdController
Shocking Shaymins,3,45,118,101,17,15,11,0,https://www.youtube.com/user/MeLevies
Arminia Bisharps,4,45,128,116,12,15,11,0,https://www.youtube.com/user/Leinux
Returning Lords,5,43,125,109,16,14,11,1,https://www.youtube.com/user/Cabgolord
Espionage Espeons*³,6,42,122,111,11,14,11,1,https://www.youtube.com/user/ScarletSFT
Power-Knilz-Bande*⁶,7,39,123,124,-1,13,13,0,https://www.youtube.com/user/PokéKnight
Togekiss Peacemaker*⁵,8,39,117,121,-4,13,13,0,https://www.youtube.com/user/BlackLink1996
Tornupto Brotherhood*⁴,9,34,111,123,-12,11,14,1,https://www.youtube.com/user/Pyromanix
HurricaneHeracross*¹,10,33,102,120,-18,11,15,0,https://www.youtube.com/user/Burakio
Shining Diancies,11,31,121,116,5,10,15,1,https://www.youtube.com/user/ProfessorN
Young Stars,12,30,97,134,-37,10,16,0,https://www.youtube.com/user/BraveBirdGames
Undead Scrafty,13,27,105,137,-32,9,17,0,https://www.youtube.com/user/PokéBree
Dreaded Dittos,14,21,107,133,-26,7,19,0,https://www.youtube.com/user/TheMiiFii

*¹ Für Team Wolvsrudel seit Spieltag 07 dabei!
*² Für Team Munich Magbys seit Spieltag 11 dabei!
*³ Für Team Enteigeddon seit Spieltag 14 dabei!
*⁴ Für Team Hunting Weaviles seit Spieltag 14 dabei!
*⁵ Für Team LGBTinis seit Spieltag 14 dabei!
*⁶ Für Team Infernayze seit Spieltag 22 dabei!

Stand: Spieltag 26




















Gesamt:,,540,1645,1645,0,179,181,2
