Teilnehmer,OU,,UU,,RU,,NU/PU
Suishomaru,Z-Ramoth,,Mega-Turtok,,Kapoera,,Tauros
,Kapu-Toro,,Porygon2,,Psiana,,Brockoloss 
,Brutalanda,,Magnezone,,,,Deponitox

Blacklink,Mega-Absol,,Z-Nidoking,,Bronzong,,Gastrodon
,Terrakium,,Rotom-Hitzeform,,Frosdedje,,Alola-Kokowei
,Starmie,,Elfun,,,,Swaroness

Glebber,Demeteros-Tiergeist,,Celebi,,Hariyama,,Stahlos
,Kapu-Kime,,Iksbat,,Magbrant,,Raichu
,Mega-Garados,,Z-Tobutz,,,,Viscargot

ImpeldownTV,Z-Magearna,,Entei,,Silvarro,,Miltank                                                                                                                       
,Stalobor,,Lucario,,Morlord,,Alola-Raichu
,Dragoran,,Quajutsu,,,,Hippopotas

Scoutley,Z-Kapu-Riki,,Arkani,,Irokex,,Sichlor
,Latias,,Impoleon,,Apoquallyp,,Bandelby
,Caesurio,,Nachtara,,,,Alola-Sandamer

Asalakoren,Mega-Bibor,,Z-Boreos-Inka.,,Donphan,,Lanturn
,Victini,,Relaxo,,Registeel,,Maschock
,Kyurem-Schwarz,,Moruda,,,,Farbeagle

Professor N ,Manaphy,,Z-Trikephalo,,Meditalis,,Tangela
,Mega-Glurak X,,Tentoxa,,Hoopa,,Flunschlik
,Despotar,,Clavion,,,,Bissbark

BraveBird,Z-Panferno,,Primarene,,Echnatoll,,Fruyal
,Knakrack,,Necrozma,,Mega-Firnontor,,Skuntank
,Staraptor,,Voltula,,,,Rameidon

Leinux,Pixi,,Shaymin,,Alola-Sleimok,,Koalelu
,Z-Latios,,Kobalium,,Milotic,,Fuegro
,Mega-Aerodactyl,,Blitza,,,,Psiaugon (Männlich)

Tabasco,Jirachi,,Feelinara,,Kicklee,,Regirock
,Mega-Bisaflor,,Zygarde 10%,,Sniebel,,Maskeregen
,Zapdos,,Flampivian,,,,Z-Bidifas

Dragoon ofDoom,Z-Boreos-Tier.,,Tangoloss,,Granbull,,Elevoltek
,Snibunna,,Aquana,,Vesprit,,Nockchan
,Heatran,,Libelldra,,,,Ariados,,, 

TheMiiFii,Mega-Lahmus,,Guardevoir,,Ditto,,Rizeros
,Volcanion,,Meistagrif,,Absol,,Lepumentas
,Scherox,,Z-Viscogon,,,,Matrifol
