Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Insirnapes,1,51,119,79,40,17,5,0,https://www.youtube.com/user/TabascoTV
Bending Manaphys,2,48,120,85,35,16,6,0,https://www.youtube.com/user/ProfessorN
Crimson Sunrise,3,48,113,93,20,16,6,0,https://www.youtube.com/user/Suishomaru
Energie Tobutz,4,42,109,86,23,14,8,0,https://www.youtube.com/user/Glebber
Talonflame Skyliners,5,39,116,103,13,13,9,0,https://www.youtube.com/user/BraveBird
Marvelous Speedsters,6,37,108,102,6,12,9,1,https://www.youtube.com/user/ImpelDownTV
Bloodrush Noivern,7,36,101,96,11,12,10,0,https://www.youtube.com/user/DragoonofDoom
Dreaded Dittos,8,33,92,98,-6,11,11,0,https://www.youtube.com/user/TheMiiFii
Meowseyside,9,18,79,111,-32,6,16,0,https://www.youtube.com/user/Leinux
Penguin Squad,10,16,81,124,-42,5,16,1,https://www.youtube.com/user/Scoutley
Silver Fang,11,15,87,123,-36,5,17,0,https://www.youtube.com/user/BlackLink
Azumarines,12,12,90,113,-23,4,18,0,https://www.youtube.com/user/Asalakoren

Stand: Spieltag 22,,,,,,,,,Spielplan
Present ist uncool,,,,,,,,,https://goo.gl/NFQaN8
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/YIRbMM
