,OU,,UU,,RU,,NU/PU
,Aggrostella,,Aerodactyl,,Absol,,Aalabyss,verfügbar
,Anego,,Alola-Knogga,,Aeropteryx,,Admurai,nicht mehr verfügbar
,Azumarill,,Alola-Vulnona,,Alola-Sleimok,,Alola-Digdri
,Boreos-Tiergeistform,,Ambidiffel,,Alola-Snobilikat,,Alola-Geowaz
,Brutalanda,,Amfira,,Amigento (mit Disk),,Alola-Kokowei
,Caesurio,,Amigento (ohne Disks),,Apoquallyp,,Alola-Raichu
,Cerapendra,,Aquana,,Aranestro,,Alola-Rattikarl
,Demeteros-Inkarnationsform (ohne VF),,Arkani,,Baldorfish,,Alola-Sandamer
,Demeteros-Tiergeistform,,Austos,,Bisaflor,,Alpollo
,Despotar,,Blitza,,Branawarz,,Altaria
,Digdri,,Boreos-Inkarnationsform,,Bronzong,,Amagarga
,Dragoran,,Brigaron,,Cavalanzas,,Amoroso
,Gengar,,Celebi,,Chillabell,,Ampharos
,Grebbit,,Chaneira,,Colossand,,Arbok
,Heatran,,Clavion,,Diancie,,Ariados
,Hippoterus,,Cresselia,,Ditto,,Arktillas
,Jirachi,,Curelei,,Donphan,,Arktos
,Kaguron,,Duokles,,Echnatoll,,Armaldo
,Kapilz,,Elezard,,Fennexis,,Bandelby
,Kapu-Kime,,Elfun,,Fiaro,,Banette
,Kapu-Riki,,Entei,,Forstellka,,Barschuft (Rotlinig/Blaulinig)
,Kapu-Toro,,Feelinara,,Frosdedje,,Bibor
,Katagami,,Fermicula,,Galagladi,,Bidifas
,Keldeo,,Flambirex,,Gewaldro,,Bisofank
,Knakrack,,Flampivian,,Granbull,,Bissbark
,Kyurem-Schwarz,,Florges,,Hariyama,,Blubella
,Lahmus,,Garados,,Hoopa,,Bojelin
,Latias,,Grandiras,,Hundemon,,Bollterus
,Latios,,Grypheldis,,Hydragil,,Botogel
,Magearna,,Guardevoir,,Irokex,,Brockoloss
,Mamutel,,Heiteira,,Kabutops,,Burmadame (Jede Form)
,Manaphy,,Hutsassa,,Kapoera,,Calamanero
,Masskito,,Iksbat,,Karadonis,,Camerupt
,Mega-Absol,,Impergator,,Kicklee,,Castellith
,Mega-Aerodactyl,,Impoleon,,Krawell,,Chelterrar
,Mega-Bibor,,Knirfish,,Krawumms,,Chevrumm
,Mega-Bisaflor,,Kobalium,,Kryppuk,,Choreogel (Jede Form)
,Mega Despotar,,Kosturso,,Lavados,,Coiffwaff
,Mega-Garados,,Kramshef,,Lusardin,,Corasonn
,Mega-Glurak-X,,Krebutack,,Magbrant,,Damhirplex
,Mega-Glurak-Y,,Kyurem,,Magneton,,Dartignis
,Mega-Knakrack,,Laschoking,,Mantax,,Dedenne
,Mega-Lahmus,,Libelldra,,Meditalis,,Deponitox
,Mega-Pinsir,,Lohgock (Großbrand),,Mega-Firnontor,,Dodri
,Mega-Scherox,,Lucario,,Mega-Rexblisar,,Donarion
,Mega-Simsala,,Machomei,,Mega-Stahlos,,Dressella
,Mega Skaraborn,,Magnezone,,Meteno,,Drifzepli
,Mega Voltenso,,Mamolida,,Milotic,,Dummisel
,Mega Zobiris,,Maxax,,Morlord,,Duodino
,Panferno,,Mega-Tohaido,,Pampross,,Elevoltek
,Panzaeron,,Mega-Turtok,,Parfinesse,,Emolga
,Pelipper (Mit Niesel),,Meistagrif,,Piondragi,,Enekoro
,Pixi,,Meloetta,,Pottrott,,Entoron
,Quaxo (Mit Niesel),,Metagross,,Psiana,,Farbeagle
,Qurtel (Mit Dürre),,Mimigma,,Registeel,,Fasasnob
,Raikou,,Monargoras,,Rihornior,,Firnontor
,Ramoth,,Moruda,,Rotom-Schneideform,,Flamara
,Resladero,,Nachtara,,Schwalboss,,Fletiamo
,Rotom-Waschform,,Necrozma,,Selfe,,Flunkifer
,Scherox,,Nidoking,,Shardrago,,Flunschlik
,Serpiroyal,,Nidoqueen,,Silvarro,,Folipurba
,Simsala,,Omot,,Smogmog,,Formeo
,Skorgro,,Pandagro,,Sniebel,,Frigometri
,Snibunna,,Porygon-Z,,Symvolara,,Fruyal
,Stalobor,,Porygon2,,Tectass,,Fuegro
,Staraptor,,Primarene,,Togetic,,Furnifraß
,Starmie,,Quajutsu (Sturzbach),,Tornupto,,Gallopa
,Suicune,,Rabigator,,Turtok,,Gastrodon
,Terrakium,,Relaxo,,Vesprit,,Gelatwino
,Togekiss,,Roserade,,Viridium,,Geowaz
,Victini,,Rotom-Hitze,,Washakwil,,Geradaks
,Volcanion,,Sabbaione,,Wolwerock-Tagform,,Giflor
,Voltolos-Inkarnationsform,,Schlingking,,Wummer,,Girafarig
,Voltolos-Tiergeistform,,Seedraking,,Zobiris,,Gladiantri
,Voltriant,,Sen-Long,,,,Glaziola
,Vulnona (Mit Dürre),,Shaymin,,,,Glurak
,Zapdos,,Skaraborn,,,,Golbat
,Zygarde-50% (Ohne VF),,Skelabra,,,,Golgantes
,Zytomega,,Skorgla,,,,Golking
,,,Sumpex,,,,Grillchita
,,,Tandrak,,,,Groink
,,,Tangoloss,,,,Gufa
,,,Tentantel,,,,Honweisel
,,,Tentoxa,,,,Hypno
,,,Tobutz,,,,Ibitak
,,,Tohaido,,,,Icognito
,,,Toxiquak,,,,Illumise
,,,Trikephalo,,,,Jiutesto
,,,UHaFnir,,,,Jugong
,,,Viscogon,,,,Jungglut
,,,Voltula,,,,Kadabra
,,,Wie-Shu,,,,Kangama
,,,Yanmega,,,,Kappalores
,,,Zapplarang,,,,Karippas
,,,Zoroark,,,,Kastadur
,,,Zygarde-10%,,,,Kecleon
,,,,,,,Keifel
,,,,,,,Kingler
,,,,,,,Kinoso
,,,,,,,Kleparda
,,,,,,,Klikdiklak
,,,,,,,Knarksel
,,,,,,,Knogga
,,,,,,,Knuddeluff
,,,,,,,Koalelu
,,,,,,,Kokowei
,,,,,,,Kommandutan
,,,,,,,Kronjuwild
