,OU,,UU,,RU,,NU/PU,,Gebannte Pokémon (Uber),,Zusätzlich gebannte Fähigkeiten:
,Aggrostella,,Aerodactyl,,Absol,,Aalabyss,,Arceus,,Scharwandel
,Anego,,Alola-Knogga,,Aeropteryx,,Admurai,,Ash-Quajutsu,,Wegsperre
,Azumarill,,Alola-Vulnona,,Alola-Sleimok,,Alola-Digdri,,Darkrai
,Boreos-Tiergeistform,,Ambidiffel,,Alola-Snobilikat,,Alola-Geowaz,,Demeteros-I (Rohe Gewalt)
,Brutalanda,,Amfira,,Amigento (mit Disk),,Alola-Kokowei,,Deoxys (Alle Formen)
,Caesurio,,Amigento (ohne Disks),,Apoquallyp,,Alola-Raichu,,Dialga
,Cerapendra,,Aquana,,Aranestro,,Alola-Rattikarl,,Durengard
,Demeteros-Inkarnationsform (ohne VF),,Arkani,,Baldorfish,,Alola-Sandamer,,Genesect
,Demeteros-Tiergeistform,,Austos,,Bisaflor,,Alpollo,,Giratina (Beide Formen)
,Despotar,,Blitza,,Branawarz,,Altaria,,Groudon
,Digdri,,Boreos-Inkarnationsform,,Bronzong,,Amagarga,,Ho-Oh
,Dragoran,,Brigaron,,Cavalanzas,,Amoroso,,Hoopa-Entfesselt
,Gengar,,Celebi,,Chillabell,,Ampharos,,Kapu-Fala
,Grebbit,,Chaneira,,Colossand,,Arbok,,Kyogre
,Heatran,,Clavion,,Diancie,,Ariados,,Kyurem-W
,Hippoterus,,Cresselia,,Ditto,,Arktillas,,Lohgock (Temposchub)
,Jirachi,,Curelei,,Donphan,,Arktos,,Lugia
,Kaguron,,Duokles,,Echnatoll,,Armaldo,,Lunala
,Kapilz,,Elezard,,Fennexis,,Bandelby,,Mega Brutalanda
,Kapu-Kime,,Elfun,,Fiaro,,Banette,,Mega Flunkifer
,Kapu-Riki,,Entei,,Forstellka,,Barschuft (Rotlinig/Blaulinig),,Mega Gengar
,Kapu-Toro,,Feelinara,,Frosdedje,,Bibor,,Mega Kangama
,Katagami,,Fermicula,,Galagladi,,Bidifas,,Mega Lucario
,Keldeo,,Flambirex,,Gewaldro,,Bisofank,,Mega Metagross
,Knakrack,,Flampivian,,Granbull,,Bissbark,,Mega Meditalis
,Kyurem-Schwarz,,Florges,,Hariyama,,Blubella,,Mew
,Lahmus,,Garados,,Hoopa,,Bojelin,,Mewtu
,Latias,,Grandiras,,Hundemon,,Bollterus,,Palkia
,Latios,,Grypheldis,,Hydragil,,Botogel,,Quajutsu (Wandlungskunst)
,Magearna,,Guardevoir,,Irokex,,Brockoloss,,Rayquaza
,Mamutel,,Heiteira,,Kabutops,,Burmadame (Jede Form),,Reshiram
,Manaphy,,Hutsassa,,Kapoera,,Calamanero,,Schabelle
,Masskito,,Iksbat,,Karadonis,,Camerupt,,Shaymin-Zenitform
,Mega-Absol,,Impergator,,Kicklee,,Castellith,,Solgaleo
,Mega-Aerodactyl,,Impoleon,,Krawell,,Chelterrar,,Xerneas
,Mega-Bibor,,Knirfish,,Krawumms,,Chevrumm,,Yveltal
,Mega-Bisaflor,,Kobalium,,Kryppuk,,Choreogel (Jede Form),,Zekrom
,Mega Despotar,,Kosturso,,Lavados,,Coiffwaff,,Zygarde-100%
,Mega-Garados,,Kramshef,,Lusardin,,Corasonn
,Mega-Glurak-X,,Krebutack,,Magbrant,,Damhirplex
,Mega-Glurak-Y,,Kyurem,,Magneton,,Dartignis
,Mega-Knakrack,,Laschoking,,Mantax,,Dedenne
,Mega-Lahmus,,Libelldra,,Meditalis,,Deponitox
,Mega-Pinsir,,Lohgock (Großbrand),,Mega-Firnontor,,Dodri
,Mega-Scherox,,Lucario,,Mega-Rexblisar,,Donarion
,Mega-Simsala,,Machomei,,Mega-Stahlos,,Dressella
,Mega Skaraborn,,Magnezone,,Meteno,,Drifzepli
,Mega Voltenso,,Mamolida,,Milotic,,Dummisel
,Mega Zobiris,,Maxax,,Morlord,,Duodino
,Panferno,,Mega-Hundemon,,Pampross,,Elevoltek
,Panzaeron,,Mega-Tauboss,,Parfinesse,,Emolga
,Pelipper (Mit Niesel),,Mega-Tohaido,,Piondragi,,Enekoro
,Pixi,,Mega-Turtok,,Pottrott,,Entoron
,Quaxo (Mit Niesel),,Meistagrif,,Psiana,,Farbeagle
,Qurtel (Mit Dürre),,Meloetta,,Registeel,,Fasasnob
,Raikou,,Metagross,,Rihornior,,Firnontor
,Ramoth,,Mimigma,,Rotom-Schneideform,,Flamara
,Resladero,,Monargoras,,Schwalboss,,Fletiamo
,Rotom-Waschform,,Moruda,,Selfe,,Flunkifer
,Scherox,,Nachtara,,Shardrago,,Flunschlik
,Serpiroyal,,Necrozma,,Silvarro,,Folipurba
,Simsala,,Nidoking,,Smogmog,,Formeo
,Skorgro,,Nidoqueen,,Sniebel,,Frigometri
,Snibunna,,Omot,,Symvolara,,Fruyal
,Stalobor,,Pandagro,,Tectass,,Fuegro
,Staraptor,,Porygon-Z,,Togetic,,Furnifraß
,Starmie,,Porygon2,,Tornupto,,Gallopa
,Suicune,,Primarene,,Turtok,,Gastrodon
,Terrakium,,Quajutsu (Sturzbach),,Vesprit,,Gelatwino
,Togekiss,,Rabigator,,Viridium,,Geowaz
,Victini,,Relaxo,,Washakwil,,Geradaks
,Volcanion,,Roserade,,Wolwerock-Tagform,,Giflor
,Voltolos-Inkarnationsform,,Rotom-Hitze,,Wummer,,Girafarig
,Voltolos-Tiergeistform,,Sabbaione,,Zobiris,,Gladiantri
,Voltriant,,Schlingking,,,,Glaziola
,Vulnona (Mit Dürre),,Seedraking,,,,Glurak
,Zapdos,,Sen-Long,,,,Golbat
,Zygarde-50% (Ohne VF),,Shaymin,,,,Golgantes
,Zytomega,,Skaraborn,,,,Golking
,,,Skelabra,,,,Grillchita
,,,Skorgla,,,,Groink
,,,Sumpex,,,,Gufa
,,,Tandrak,,,,Honweisel
,,,Tangoloss,,,,Hypno
,,,Tentantel,,,,Ibitak
,,,Tentoxa,,,,Icognito
,,,Tobutz,,,,Illumise
,,,Tohaido,,,,Jiutesto
,,,Toxiquak,,,,Jugong
,,,Trikephalo,,,,Jungglut
,,,UHaFnir,,,,Kadabra
,,,Viscogon,,,,Kangama
,,,Voltula,,,,Kappalores
,,,Wie-Shu,,,,Karippas
,,,Yanmega,,,,Kastadur
,,,Zapplarang,,,,Kecleon
,,,Zoroark,,,,Keifel
,,,Zygarde-10%,,,,Kingler
