,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Hinrunde: Spieltag 12 - 17,,,,Hinrunde: Spieltag 18 - 22

,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!

,1. Spieltag - Mittwoch der 15.03.2017,,,,7. Spieltag - Mittwoch der 26.04.2017,,,,12. Spieltag - Mittwoch der 07.06.2017,,,,18. Spieltag - Mittwoch der 19.07.2017

,Scoutley,0:3,BlackLink,,Scoutley,1:0,BraveBird,,BlackLink,0:1,Scoutley,,BraveBird,3:0,Scoutley
,ImpelDownTV,4:0,TheMiiFii,,Asalakoren,0:3,TabascoTV,,TheMiiFii,0:2,ImpelDownTV,,TabascoTV,1:0,Asalakoren
,Suishomaru,2:0,Leinux,,Professor N,3:0,Glebber,,Leinux,0:2,Suishomaru,,Glebber,0:2,Professor N
,Dragoon ofDoom,0:3,Professor N,,Leinux,3:0,Dragoon ofDoom,,Professor N,4:0,Dragoon ofDoom,,Dragoon ofDoom,0:5,Leinux
,Glebber,3:0,Asalakoren,,TheMiiFii,1:0,Suishomaru,,Asalakoren,0:3,Glebber,,Suishomaru,4:0,TheMiiFii
,TabascoTV,2:0,BraveBird,,BlackLink,0:3,ImpelDownTV,,BraveBird,1:0,TabascoTV,,ImpelDownTV,3:0,BlackLink

,2. Spieltag - Mittwoch der 22.03.2017,,,,8. Spieltag - Mittwoch der 03.05.2017,,,,13. Spieltag - Mittwoch der 14.06.2017,,,,19. Spieltag - Mittwoch der 26.07.2017

,Scoutley,1:0,ImpelDownTV,,Scoutley,2:0,Asalakoren,,ImpelDownTV,0:0,Scoutley,,Asalakoren,0:3,Scoutley
,Suishomaru,1:0,BlackLink,,Professor N,0:2,BraveBird,,BlackLink,0:1,Suishomaru,,BraveBird,3:0,Professor N
,Dragoon ofDoom,5:0,TheMiiFii,,Leinux,0:3,TabascoTV,,TheMiiFii,4:0,Dragoon ofDoom,,TabascoTV,3:0,Leinux
,Glebber,4:0,Leinux,,TheMiiFii,3:0,Glebber,,Leinux,0:5,Glebber,,Glebber,3:0,TheMiiFii
,TabascoTV,0:2,Professor N,,BlackLink,0:2,Dragoon ofDoom,,Professor N,0:2,TabascoTV,,Dragoon ofDoom,1:0,BlackLink
,BraveBird,1:0,Asalakoren,,ImpelDownTV,0:4,Suishomaru,,Asalakoren,0:3,BraveBird,,Suishomaru,0:4,ImpelDownTV

,3. Spieltag - Mittwoch der 29.03.2017,,,,9. Spieltag - Mittwoch der 10.05.2017,,,,14. Spieltag - Mittwoch der 21.06.2017,,,,20. Spieltag - Mittwoch der 02.08.2017

