,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Rückrunde: Spieltag 12 - 17,,,,Rückrunde: Spieltag 18 - 22

,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!

,1. Spieltag - Mittwoch der 15.03.2017,,,,7. Spieltag - Mittwoch der 26.04.2017,,,,12. Spieltag - Mittwoch der 07.06.2017,,,,18. Spieltag - Mittwoch der 19.07.2017

,Scoutley,:,BlackLink,,Scoutley,:,BraveBird,,BlackLink,:,Scoutley,,BraveBird,:,Scoutley
,ImpelDownTV,:,TheMiiFii,,Asalakoren,:,TabascoTV,,TheMiiFii,:,ImpelDownTV,,TabascoTV,:,Asalakoren
,Suishomaru,:,Leinux,,Professor N,:,Glebber,,Leinux,:,Suishomaru,,Glebber,:,Professor N
,Dragoon ofDoom,:,Professor N,,Leinux,:,Dragoon ofDoom,,Professor N,:,Dragoon ofDoom,,Dragoon ofDoom,:,Leinux
,Glebber,:,Asalakoren,,TheMiiFii,:,Suishomaru,,Asalakoren,:,Glebber,,Suishomaru,:,TheMiiFii
,TabascoTV,:,BraveBird,,BlackLink,:,ImpelDownTV,,BraveBird,:,TabascoTV,,ImpelDownTV,:,BlackLink

,2. Spieltag - Mittwoch der 22.03.2017,,,,8. Spieltag - Mittwoch der 03.05.2017,,,,13. Spieltag - Mittwoch der 14.06.2017,,,,19. Spieltag - Mittwoch der 26.07.2017

,Scoutley,:,ImpelDownTV,,Scoutley,:,Asalakoren,,ImpelDownTV,:,Scoutley,,Asalakoren,:,Scoutley
,Suishomaru,:,BlackLink,,Professor N,:,BraveBird,,BlackLink,:,Suishomaru,,BraveBird,:,Professor N
,Dragoon ofDoom,:,TheMiiFii,,Leinux,:,TabascoTV,,TheMiiFii,:,Dragoon ofDoom,,TabascoTV,:,Leinux
,Glebber,:,Leinux,,TheMiiFii,:,Glebber,,Leinux,:,Glebber,,Glebber,:,TheMiiFii
,TabascoTV,:,Professor N,,BlackLink,:,Dragoon ofDoom,,Professor N,:,TabascoTV,,Dragoon ofDoom,:,BlackLink
,BraveBird,:,Asalakoren,,ImpelDownTV,:,Suishomaru,,Asalakoren,:,BraveBird,,Suishomaru,:,ImpelDownTV

,3. Spieltag - Mittwoch der 29.03.2017,,,,9. Spieltag - Mittwoch der 10.05.2017,,,,14. Spieltag - Mittwoch der 21.06.2017,,,,20. Spieltag - Mittwoch der 02.08.2017

,Scoutley,:,Suishomaru,,Scoutley,:,Professor N,,Suishomaru,:,Scoutley,,Professor N,:,Scoutley
,Dragoon ofDoom,:,ImpelDownTV,,Leinux,:,Asalakoren,,ImpelDownTV,:,Dragoon ofDoom,,Asalakoren,:,Leinux
,Glebber,:,BlackLink,,TheMiiFii,:,BraveBird,,BlackLink,:,Glebber,,BraveBird,:,TheMiiFii
,TabascoTV,:,TheMiiFii,,BlackLink,:,TabascoTV,,TheMiiFii,:,TabascoTV,,TabascoTV,:,BlackLink
,BraveBird,:,Leinux,,ImpelDownTV,:,Glebber,,Leinux,:,BraveBird,,Glebber,:,ImpelDownTV
,Asalakoren,:,Professor N,,Suishomaru,:,Dragoon ofDoom,,Professor N,:,Asalakoren,,Dragoon ofDoom,:,Suishomaru

,4. Spieltag - Mittwoch der 05.04.2017,,,,10. Spieltag - Mittwoch der 17.05.2017,,,,15. Spieltag - Mittwoch der 28.06.2017,,,,21. Spieltag - Mittwoch der 09.08.2017

,Scoutley,:,Dragoon ofDoom,,Scoutley,:,Leinux,,Dragoon ofDoom,:,Scoutley,,Leinux,:,Scoutley
,Glebber,:,Suishomaru,,TheMiiFii,:,Professor N,,Suishomaru,:,Glebber,,Professor N,:,TheMiiFii
,TabascoTV,:,ImpelDownTV,,BlackLink,:,Asalakoren,,ImpelDownTV,:,TabascoTV,,Asalakoren,:,BlackLink
,BraveBird,:,BlackLink,,ImpelDownTV,:,BraveBird,,BlackLink,:,BraveBird,,BraveBird,:,ImpelDownTV
