,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,57,127,63,64,19,3,0,https://www.youtube.com/user/FullLifeGames
Prekani,2,48,113,81,32,16,6,0,https://www.youtube.com/user/PresentLP
Triyolotree,3,37,102,97,5,12,9,1,https://www.youtube.com/user/Minetube
Flexing Masskito,4,36,104,93,11,12,10,0,https://www.youtube.com/user/RegiBang
Enteikutierung,5,33,98,95,3,11,11,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,6,31,106,102,4,10,11,1,https://www.youtube.com/user/MeLevies
Slicing Knights,7,30,91,104,-13,10,12,0,https://www.youtube.com/user/Cabgolord
Surstars,8,28,89,101,-12,9,12,1,https://www.youtube.com/user/SurskitTV
Suicide Squad,9,27,90,102,-12,9,13,0,https://www.youtube.com/user/CaptainCrinch
Pyroars of the Carribean,10,26*,87,112,-25,9,13,0,https://www.youtube.com/user/Art'n'Gaming
Schnittlauchs,11,22,90,114,-24,7,14,1,https://www.youtube.com/c/PokeBazi
Variant Vulpix,12,18,78,113,-35,6,16,0,https://www.youtube.com/user/CrowdController

*3 Strikes = 1 Punkt Abzug,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
Die Tabelle ist aktuell!,,,,,,,,,Kill-Rangliste:
Bei Fehlern: Anschreiben!,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 22
