,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,48,109,58,51,16,3,0,https://www.youtube.com/user/FullLifeGames
Prekani,2,39,95,73,22,13,6,0,https://www.youtube.com/user/PresentLP
Flexing Masskito,3,36,92,74,18,12,7,0,https://www.youtube.com/user/RegiBang
Triyolotree,4,34,88,85,3,11,7,1,https://www.youtube.com/user/Minetube
Enteikutierung,5,33,91,77,14,11,8,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,6,28,94,87,7,9,9,1,https://www.youtube.com/user/MeLevies
Suicide Squad,7,27,83,84,-1,9,10,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,27,81,91,-10,9,10,0,https://www.youtube.com/user/Cabgolord
Schnittlauchs,9,19,81,97,-16,6,12,1,https://www.youtube.com/c/PokeBazi
Surstars,10,19,71,91,-20,6,12,1,https://www.youtube.com/user/SurskitTV
Pyroars of the Carribean,11,17*,69,101,-32,6,13,0,https://www.youtube.com/user/Art'n'Gaming
Variant Vulpix,12,12,66,102,-36,4,15,0,https://www.youtube.com/user/CrowdController

*3 Strikes = 1 Punkt Abzug,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
Die Tabelle ist nun aktuell!,,,,,,,,,Kill-Rangliste:
Bei Fehlern: Anschreiben!,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 18
