,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Hinrunde: Spieltag 12 - 17,,,,Hinrunde: Spieltag 18 - 22

,Kämpfe kommen von 12.00 - 17:00 Uhr!,,,,Kämpfe kommen von 12.00 - 17:00 Uhr!,,,,Kämpfe kommen von 12.00 - 17:00 Uhr!,,,,Kämpfe kommen von 12.00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 12.03.2017,,,,7. Spieltag - Sonntag der 23.04.2017,,,,12. Spieltag - Sonntag der 04.06.2017,,,,18. Spieltag - Sonntag der 16.07.2017

,PresentLP,6:0,SurskitTV,,PresentLP,4:0,CrowdController,,SurskitTV,0:1,PresentLP,,CrowdController,0:5,PresentLP
,PokeBazi,0:5,RegiBang,,Minetube,0:5,CaptainCrinch,,RegiBang,4:0,PokeBazi,,CaptainCrinch,0:2,Minetube
,Art'n'Gaming,0:5,Lauris Enteitainment,,MeLevies,0:3,FullLifeGames,,Lauris Enteitainment,5:0,Art'n'Gaming,,FullLifeGames,4:0,MeLevies
,Cabgolord,0:5,MeLevies,,Lauris Enteitainment,0:2,Cabgolord,,MeLevies,2:0,Cabgolord,,Cabgolord,0:3,Lauris Enteitainment
,FullLifeGames,0:2,Minetube,,RegiBang,2:0,Art'n'Gaming,,Minetube,0:3,FullLifeGames,,Art'n'Gaming,2:0,RegiBang
,CaptainCrinch,1:0,CrowdController,,SurskitTV,1:0,PokeBazi,,CrowdController,0:2,CaptainCrinch,,PokeBazi,4:0,SurskitTV

,2. Spieltag - Sonntag der 19.03.2017,,,,8. Spieltag - Sonntag der 30.04.2017,,,,13. Spieltag - Sonntag der 11.06.2017,,,,19. Spieltag - Sonntag der 23.07.2017

,PresentLP,0:5,PokeBazi,,PresentLP,0:2,Minetube,,PokeBazi,0:3,PresentLP,,Minetube,0:4,PresentLP
,Art'n'Gaming,0:5,SurskitTV,,MeLevies,0:2,CrowdController,,SurskitTV,0:5,Art'n'Gaming,,CrowdController,0:2,MeLevies
,Cabgolord,0:4,RegiBang,,Lauris Enteitainment,3:0,CaptainCrinch,,RegiBang,0:3,Cabgolord,,CaptainCrinch,4:0,Lauris Enteitainment
,FullLifeGames,4:0,Lauris Enteitainment,,RegiBang,0:2,FullLifeGames,,Lauris Enteitainment,2:0,FullLifeGames,,FullLifeGames,4:0,RegiBang
,CaptainCrinch,0:5,MeLevies,,SurskitTV,3:0,Cabgolord,,MeLevies,3:0,CaptainCrinch,,Cabgolord,1:0,SurskitTV
,CrowdController,0:3,Minetube,,PokeBazi,0:1,Art'n'Gaming,,Minetube,0:5,CrowdController,,Art'n'Gaming,0:1,PokeBazi

,3. Spieltag - Sonntag der 26.03.2017,,,,9. Spieltag - Sonntag der 07.05.2017,,,,14. Spieltag - Sonntag der 18.06.2017,,,,20. Spieltag - Sonntag der 30.07.2017

,PresentLP,2:0,Art'n'Gaming,,PresentLP,1:0,MeLevies,,Art'n'Gaming,0:2,PresentLP,,MeLevies,0:5,PresentLP
,Cabgolord,4:0,PokeBazi,,Lauris Enteitainment,4:0,Minetube,,PokeBazi,0:4,Cabgolord,,Minetube,6:0,Lauris Enteitainment
,FullLifeGames,4:0,SurskitTV,,RegiBang,1:0,CrowdController,,SurskitTV,0:4,FullLifeGames,,CrowdController,1:0,RegiBang
,CaptainCrinch,0:5,RegiBang,,SurskitTV,0:6*,CaptainCrinch,,RegiBang,2:0,CaptainCrinch,,CaptainCrinch,0:4,SurskitTV
,CrowdController,0:4,Lauris Enteitainment,,PokeBazi,1:0,FullLifeGames,,Lauris Enteitainment,3:0,CrowdController,,FullLifeGames,3:0,PokeBazi
,Minetube,0:2,MeLevies,,Art'n'Gaming,0:4,Cabgolord,,MeLevies,0:1,Minetube,,Cabgolord,0:4,Art'n'Gaming
,,,,,*0:6 nach Regelbruch
,4. Spieltag - Sonntag der 02.04.2017,,,,10. Spieltag - Sonntag der 14.05.2017,,,,15. Spieltag - Sonntag der 25.06.2017,,,,21. Spieltag - Sonntag der 06.08.2017

,PresentLP,0:1,Cabgolord,,PresentLP,2:0,Lauris Enteitainment,,Cabgolord,0:3,PresentLP,,Lauris Enteitainment,0:3,PresentLP
,FullLifeGames,4:0,Art'n'Gaming,,RegiBang,2:0,MeLevies,,Art'n'Gaming,0:4,FullLifeGames,,MeLevies,3:0,RegiBang
,CaptainCrinch,1:0,PokeBazi,,SurskitTV,0:3,Minetube,,PokeBazi,0:3,CaptainCrinch,,Minetube,0:2,SurskitTV
,CrowdController,3:0,SurskitTV,,PokeBazi,0:2,CrowdController,,SurskitTV,5:0,CrowdController,,CrowdController,6:0*,PokeBazi
,Minetube,0:3,RegiBang,,Art'n'Gaming,0:2,CaptainCrinch,,RegiBang,0:3,Minetube,,CaptainCrinch,0:1,Art'n'Gaming
,MeLevies,1:0,Lauris Enteitainment,,Cabgolord,0:1,FullLifeGames,,Lauris Enteitainment,3:0,MeLevies,,FullLifeGames,4:0,Cabgolord
,,,,,,,,,,,,,*6:0 nach Regelbruch
,5. Spieltag - Sonntag der 09.04.2017,,,,11. Spieltag - Sonntag der 21.05.2017,,,,16. Spieltag - Sonntag der 02.07.2017,,,,22. Spieltag - Sonntag der 13.08.2017

,PresentLP,0:1,FullLifeGames,,PresentLP,0:5,RegiBang,,FullLifeGames,5:0,PresentLP,,RegiBang,0:2,PresentLP
,CaptainCrinch,6:0,Cabgolord,,SurskitTV,0:3,Lauris Enteitainment,,Cabgolord,1:0,CaptainCrinch,,Lauris Enteitainment,0:2,SurskitTV
,CrowdController,0:2,Art'n'Gaming,,PokeBazi,0:3,MeLevies,,Art'n'Gaming,2:0,CrowdController,,MeLevies,0:1,PokeBazi
,Minetube,2:0,PokeBazi,,Art'n'Gaming,0:5,Minetube,,PokeBazi,0:0,Minetube,,Minetube,0:2,Art'n'Gaming
,MeLevies,0:3,SurskitTV,,Cabgolord,3:0,CrowdController,,SurskitTV,0:0,MeLevies,,CrowdController,0:5,Cabgolord
,Lauris Enteitainment,2:0,RegiBang,,FullLifeGames,2:0,CaptainCrinch,,RegiBang,4:0,Lauris Enteitainment,,CaptainCrinch,0:6,FullLifeGames

,6. Spieltag - Sonntag der 16.04.2017,,,,,,,,17. Spieltag - Sonntag der 09.07.2017

,PresentLP,5:0,CaptainCrinch,,,,,,CaptainCrinch,0:3,PresentLP
,CrowdController,0:6,FullLifeGames,,,,,,FullLifeGames,5:0,CrowdController
,Minetube,4:0,Cabgolord,,,,,,Cabgolord,0:2,Minetube
