 ,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Rückrunde: Spieltag 12 - 17,,,,Rückrunde: Spieltag 18 - 22

,Kämpfe kommen von 12.00 - 17:00 Uhr!,,,,Kämpfe kommen von 12.00 - 17:00 Uhr!,,,,Kämpfe kommen von 12.00 - 17:00 Uhr!,,,,Kämpfe kommen von 12.00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 12.03.2017,,,,7. Spieltag - Sonntag der 23.04.2017,,,,12. Spieltag - Sonntag der 04.06.2017,,,,18. Spieltag - Sonntag der 16.07.2017

,PresentLP,:,SurskitTV,,PresentLP,:,CrowdController,,SurskitTV,:,PresentLP,,CrowdController,:,PresentLP
,PokeBazi,:,RegiBang,,Minetube,:,CaptainCrinch,,RegiBang,:,PokeBazi,,CaptainCrinch,:,Minetube
,Art'n'Gaming,:,Lauris Enteitainment,,MeLevies,:,FullLifeGames,,Lauris Enteitainment,:,Art'n'Gaming,,FullLifeGames,:,MeLevies
,Cabgolord,:,MeLevies,,Lauris Enteitainment,:,Cabgolord,,MeLevies,:,Cabgolord,,Cabgolord,:,Lauris Enteitainment
,FullLifeGames,:,Minetube,,RegiBang,:,Art'n'Gaming,,Minetube,:,FullLifeGames,,Art'n'Gaming,:,RegiBang
,CaptainCrinch,:,CrowdController,,SurskitTV,:,PokeBazi,,CrowdController,:,CaptainCrinch,,PokeBazi,:,SurskitTV

,2. Spieltag - Sonntag der 19.03.2017,,,,8. Spieltag - Sonntag der 30.04.2017,,,,13. Spieltag - Sonntag der 11.06.2017,,,,19. Spieltag - Sonntag der 23.07.2017

,PresentLP,:,PokeBazi,,PresentLP,:,Minetube,,PokeBazi,:,PresentLP,,Minetube,:,PresentLP
,Art'n'Gaming,:,SurskitTV,,MeLevies,:,CrowdController,,SurskitTV,:,Art'n'Gaming,,CrowdController,:,MeLevies
,Cabgolord,:,RegiBang,,Lauris Enteitainment,:,CaptainCrinch,,RegiBang,:,Cabgolord,,CaptainCrinch,:,Lauris Enteitainment
,FullLifeGames,:,Lauris Enteitainment,,RegiBang,:,FullLifeGames,,Lauris Enteitainment,:,FullLifeGames,,FullLifeGames,:,RegiBang
,CaptainCrinch,:,MeLevies,,SurskitTV,:,Cabgolord,,MeLevies,:,CaptainCrinch,,Cabgolord,:,SurskitTV
,CrowdController,:,Minetube,,PokeBazi,:,Art'n'Gaming,,Minetube,:,CrowdController,,Art'n'Gaming,:,PokeBazi

,3. Spieltag - Sonntag der 26.03.2017,,,,9. Spieltag - Sonntag der 07.05.2017,,,,14. Spieltag - Sonntag der 18.06.2017,,,,20. Spieltag - Sonntag der 30.07.2017

,PresentLP,:,Art'n'Gaming,,PresentLP,:,MeLevies,,Art'n'Gaming,:,PresentLP,,MeLevies,:,PresentLP
,Cabgolord,:,PokeBazi,,Lauris Enteitainment,:,Minetube,,PokeBazi,:,Cabgolord,,Minetube,:,Lauris Enteitainment
,FullLifeGames,:,SurskitTV,,RegiBang,:,CrowdController,,SurskitTV,:,FullLifeGames,,CrowdController,:,RegiBang
,CaptainCrinch,:,RegiBang,,SurskitTV,:,CaptainCrinch,,RegiBang,:,CaptainCrinch,,CaptainCrinch,:,SurskitTV
,CrowdController,:,Lauris Enteitainment,,PokeBazi,:,FullLifeGames,,Lauris Enteitainment,:,CrowdController,,FullLifeGames,:,PokeBazi
,Minetube,:,MeLevies,,Art'n'Gaming,:,Cabgolord,,MeLevies,:,Minetube,,Cabgolord,:,Art'n'Gaming

,4. Spieltag - Sonntag der 02.04.2017,,,,10. Spieltag - Sonntag der 14.05.2017,,,,15. Spieltag - Sonntag der 25.06.2017,,,,21. Spieltag - Sonntag der 06.08.2017

,PresentLP,:,Cabgolord,,PresentLP,:,Lauris Enteitainment,,Cabgolord,:,PresentLP,,Lauris Enteitainment,:,PresentLP
,FullLifeGames,:,Art'n'Gaming,,RegiBang,:,MeLevies,,Art'n'Gaming,:,FullLifeGames,,MeLevies,:,RegiBang
,CaptainCrinch,:,PokeBazi,,SurskitTV,:,Minetube,,PokeBazi,:,CaptainCrinch,,Minetube,:,SurskitTV
,CrowdController,:,SurskitTV,,PokeBazi,:,CrowdController,,SurskitTV,:,CrowdController,,CrowdController,:,PokeBazi
,Minetube,:,RegiBang,,Art'n'Gaming,:,CaptainCrinch,,RegiBang,:,Minetube,,CaptainCrinch,:,Art'n'Gaming
,MeLevies,:,Lauris Enteitainment,,Cabgolord,:,FullLifeGames,,Lauris Enteitainment,:,MeLevies,,FullLifeGames,:,Cabgolord

,5. Spieltag - Sonntag der 09.04.2017,,,,11. Spieltag - Sonntag der 21.05.2017,,,,16. Spieltag - Sonntag der 02.07.2017,,,,22. Spieltag - Sonntag der 13.08.2017

,PresentLP,:,FullLifeGames,,PresentLP,:,RegiBang,,FullLifeGames,:,PresentLP,,RegiBang,:,PresentLP
,CaptainCrinch,:,Cabgolord,,SurskitTV,:,Lauris Enteitainment,,Cabgolord,:,CaptainCrinch,,Lauris Enteitainment,:,SurskitTV
,CrowdController,:,Art'n'Gaming,,PokeBazi,:,MeLevies,,Art'n'Gaming,:,CrowdController,,MeLevies,:,PokeBazi
,Minetube,:,PokeBazi,,Art'n'Gaming,:,Minetube,,PokeBazi,:,Minetube,,Minetube,:,Art'n'Gaming
,MeLevies,:,SurskitTV,,Cabgolord,:,CrowdController,,SurskitTV,:,MeLevies,,CrowdController,:,Cabgolord
,Lauris Enteitainment,:,RegiBang,,FullLifeGames,:,CaptainCrinch,,RegiBang,:,Lauris Enteitainment,,CaptainCrinch,:,FullLifeGames

,6. Spieltag - Sonntag der 16.04.2017,,,,Tabelle:,,,,17. Spieltag - Sonntag der 09.07.2017
,,,,,https://goo.gl/JvhuDy
,PresentLP,:,CaptainCrinch,,,,,,CaptainCrinch,:,PresentLP
,CrowdController,:,FullLifeGames,,,,,,FullLifeGames,:,CrowdController
,Minetube,:,Cabgolord,,,,,,Cabgolord,:,Minetube
,MeLevies,:,Art'n'Gaming,,,,,,Art'n'Gaming,:,MeLevies
,Lauris Enteitainment,:,PokeBazi,,,,,,PokeBazi,:,Lauris Enteitainment
,RegiBang,:,SurskitTV,,,,,,SurskitTV,:,RegiBang
