,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Rückrunde: Spieltag 12 - 17,,,,Rückrunde: Spieltag 18 - 22

,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 11.03.2018,,,,7. Spieltag - Sonntag der 22.04.2018,,,,12. Spieltag - Sonntag der 03.06.2018,,,,18. Spieltag - Sonntag der 15.07.2018

,FullLifeGames,6:0,Lauris Enteitainment,,Lauris Enteitainment,6:0*,glebber,,Lauris Enteitainment,0:4,FullLifeGames,,glebber,0:4,Lauris Enteitainment
,TabascoTV,1:1*,Sin of Speed,,Sin of Speed,0:6,CaptainCrinch,,Sin of Speed,2:0,Parsifani,,CaptainCrinch,0:3,Sin of Speed
,PresentLP,0:4,Cabgolord,,Cabgolord,0:4,Professor N,,Cabgolord,0:3,PresentLP,,Professor N,0:1,Cabgolord
,Minetube,0:4,Raizor,,Raizor,0:2,FullLifeGames,,Raizor,0:2,Minetube,,FullLifeGames,2:0,Raizor
,MeLevies,0:5,Professor N,,Parsifani,3:0,MeLevies,,Professor N,0:3,MeLevies,,Kaffeecone,0:2,Parsifani
,glebber,3:0,CaptainCrinch,,PresentLP,4:0,Minetube,,CaptainCrinch,0:1,glebber,,Minetube,0:4,PresentLP
,* Nach Schiri Entscheidung,,,,,* Aufgrund einer Missachtung der Z-Attacken Regelung
,2. Spieltag - Sonntag der 18.03.2018,,,,8. Spieltag - Sonntag der 29.04.2018,,,,13. Spieltag - Sonntag der 10.06.2018,,,,19. Spieltag - Sonntag der 22.07.2018

,Cabgolord,0:1,TabascoTV,,Minetube,2:0,Parsifani,,Parsifani,5:0,Cabgolord,,Parsifani,0:2,Minetube
,Raizor,0:2,PresentLP,,PresentLP,0:2,FullLifeGames,,PresentLP,0:2,Raizor,,FullLifeGames,0:2,PresentLP
,Professor N,2:0,Minetube,,MeLevies,1:0,Lauris Enteitainment,,Minetube,0:3,Professor N,,Lauris Enteitainment,5:0,Kaffeecone
,CaptainCrinch,4:0,MeLevies,,glebber,3:0,Sin of Speed,,MeLevies,0:1,CaptainCrinch,,Sin of Speed,1:0,glebber
,Sin of Speed,0:3,Lauris Enteitainment,,CaptainCrinch,2:0,Cabgolord,,Lauris Enteitainment,3:0,Sin of Speed,,Cabgolord,0:3,CaptainCrinch
