Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Shockwaving Magearnas,1,57,121,69,52,19,3,0,https://www.youtube.com/user/Lauris
Victini Bottom,2,48,115,73,37,16,6,0,https://www.youtube.com/user/FullLifeGames
Prekani,3,39,106,93,13,13,9,0,https://www.youtube.com/user/PresentLP
Crinchilla,4,36,101,89,12,12,10,0,https://www.youtube.com/user/CaptainCrinch
Howling Commandos,5,36,105,94,11,12,10,0,https://www.youtube.com/user/ProfessorN
Energie Tobutz,6,36,103,100,3,12,10,0,https://www.youtube.com/user/glebber
Marvelous Speedsters,7,31,94,103,-9,10,11,1,https://www.youtube.com/user/SinofSpeed
Soulstealer,8,27,97,100,-3,9,13,0,https://www.youtube.com/user/RaizorZockt
Triyolotree,9,27,94,111,-17,9,13,0,https://www.youtube.com/user/Minetube
Aggron Successors*,10,25,94,114,-20,8,13,1,https://www.youtube.com/user/Parsifani
Little Litleos*,11,18,78,119,-41,6,16,0,https://www.youtube.com/user/Kaffeecone
Cabgosport,12,15,77,118,-41,5,17,0,https://www.youtube.com/user/Cabgolord

,,,*an Spieltag 6 für Aggron Berlin eingestiegen,,,,,,Tabellen-Historie:
,,,*an Spieltag 14 für ShockingShaymins eingestiegen,,,,,,https://goo.gl/Tm5yJx
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/sKF9mK
,,,,,,,,,Stand: Spieltag 22
