,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Rückrunde: Spieltag 12 - 17,,,,Rückrunde: Spieltag 18 - 22

,Kämpfe kommen von 13:00 - 18:00 Uhr!,,,,Kämpfe kommen von 13:00 - 18:00 Uhr!,,,,Kämpfe kommen von 13:00 - 18:00 Uhr!,,,,Kämpfe kommen von 13:00 - 18:00 Uhr!

,1. Spieltag - Mittwoch der 14.03.2018,,,,7. Spieltag - Mittwoch der 25.04.2018,,,,12. Spieltag - Mittwoch der 06.06.2018,,,,18. Spieltag - Mittwoch der 18.07.2018

,Craycom,:,Asalakoren,,Asalakoren,:,CrowdController,,Asalakoren,:,Craycom,,CrowdController,:,Asalakoren
,ElektechN9ne,:,PokéBazi,,PokéBazi,:,Dauni,,PokéBazi,:,ElektechN9ne,,Dauni,:,PokéBazi
,Belmont,:,Scoutley,,Scoutley,:,oktopaul,,Scoutley,:,Belmont,,oktopaul,:,Scoutley
,Stratocopter,:,BlackLink,,BlackLink,:,Craycom,,BlackLink,:,Stratocopter,,Craycom,:,BlackLink
,BraveBird,:,oktopaul,,ElektechN9ne,:,BraveBird,,oktopaul,:,BraveBird,,BraveBird,:,ElektechN9ne
,CrowdController,:,Dauni,,Belmont,:,Stratocopter,,Dauni,:,CrowdController,,Stratocopter,:,Belmont

,2. Spieltag - Mittwoch der 21.03.2018,,,,8. Spieltag - Mittwoch der 02.05.2018,,,,13. Spieltag - Mittwoch der 13.06.2018,,,,19. Spieltag - Mittwoch der 25.07.2018

,Scoutley,:,ElektechN9ne,,Stratocopter,:,ElektechN9ne,,ElektechN9ne,:,Scoutley,,ElektechN9ne,:,Stratocopter
,BlackLink,:,Belmont,,Belmont,:,Craycom,,Belmont,:,BlackLink,,Craycom,:,Belmont
,oktopaul,:,Stratocopter,,BraveBird,:,Asalakoren,,Stratocopter,:,oktopaul,,Asalakoren,:,BraveBird
,Dauni,:,BraveBird,,CrowdController,:,PokéBazi,,BraveBird,:,Dauni,,PokéBazi,:,CrowdController
,PokéBazi,:,Asalakoren,,Dauni,:,Scoutley,,Asalakoren,:,PokéBazi,,Scoutley,:,Dauni
,Craycom,:,CrowdController,,oktopaul,:,BlackLink,,CrowdController,:,Craycom,,BlackLink,:,oktopaul

,3. Spieltag - Mittwoch der 28.03.2018,,,,9. Spieltag - Mittwoch der 09.05.2018,,,,14. Spieltag - Mittwoch der 20.06.2018,,,,20. Spieltag - Mittwoch der 01.08.2018

,Asalakoren,:,Scoutley,,Asalakoren,:,Stratocopter,,Scoutley,:,Asalakoren,,Stratocopter,:,Asalakoren
,PokéBazi,:,Craycom,,PokéBazi,:,BraveBird,,Craycom,:,PokéBazi,,BraveBird,:,PokéBazi
,ElektechN9ne,:,BlackLink,,Scoutley,:,CrowdController,,BlackLink,:,ElektechN9ne,,CrowdController,:,Scoutley
,Belmont,:,oktopaul,,BlackLink,:,Dauni,,oktopaul,:,Belmont,,Dauni,:,BlackLink
,Stratocopter,:,Dauni,,Craycom,:,oktopaul,,Dauni,:,Stratocopter,,oktopaul,:,Craycom
,BraveBird,:,CrowdController,,ElektechN9ne,:,Belmont,,CrowdController,:,BraveBird,,Belmont,:,ElektechN9ne

,4. Spieltag - Mittwoch der 04.04.2018,,,,10. Spieltag - Mittwoch der 16.05.2018,,,,15. Spieltag - Mittwoch der 27.06.2018,,,,21. Spieltag - Mittwoch der 08.08.2018

,oktopaul,:,ElektechN9ne,,Belmont,:,Asalakoren,,ElektechN9ne,:,oktopaul,,Asalakoren,:,Belmont
,Dauni,:,Belmont,,Stratocopter,:,PokéBazi,,Belmont,:,Dauni,,PokéBazi,:,Stratocopter
,CrowdController,:,Stratocopter,,BraveBird,:,Scoutley,,Stratocopter,:,CrowdController,,Scoutley,:,BraveBird
,BraveBird,:,Craycom,,CrowdController,:,BlackLink,,Craycom,:,BraveBird,,BlackLink,:,CrowdCrontroller
,BlackLink,:,Asalakoren,,Dauni,:,oktopaul,,Asalakoren,:,BlackLink,,oktopaul,:,Dauni
,Scoutley,:,PokéBazi,,Craycom,:,ElektechN9ne,,PokéBazi,:,Scoutley,,ElektechN9ne,:,Craycom

,5. Spieltag - Mittwoch der 11.04.2018,,,,11. Spieltag - Mittwoch der 23.05.2018,,,,16. Spieltag - Mittwoch der 04.07.2018,,,,22. Spieltag - Mittwoch der 15.08.2018

,Asalakoren,:,oktopaul,,Asalakoren,:,ElektechN9ne,,oktopaul,:,Asalakoren,,ElektechN9ne,:,Asalakoren
,PokéBazi,:,BlackLink,,PokéBazi,:,Belmont,,BlackLink,:,PokéBazi,,Belmont,:,PokéBazi
,Craycom,:,Scoutley,,Scoutley,:,Stratocopter,,Scoutley,:,Craycom,,Stratocopter,:,Scoutley
,ElektechN9ne,:,Dauni,,BlackLink,:,BraveBird,,Dauni,:,ElektechN9ne,,BraveBird,:,BlackLink
,Belmont,:,CrowdController,,oktopaul,:,CrowdController,,CrowdController,:,Belmont,,CrowdController,:,oktopaul
,Stratocopter,:,BraveBird,,Dauni,:,Craycom,,BraveBird,:,Stratocopter,,Craycom,:,Dauni

,6. Spieltag - Mittwoch der 18.04.2018,,,,Tabelle:,,,,17. Spieltag - Mittwoch der 11.07.2018

,CrowdController,:,ElektechN9ne,,,,,,ElektechN9ne,:,CrowdController
,Craycom,:,Stratocopter,,,,,,Belmont,:,BraveBird
,Dauni,:,Asalakoren,,,,,,Asalakoren,:,Dauni
,oktopaul,:,PokéBazi,,,,,,PokéBazi,:,oktopaul
,BlackLink,:,Scoutley,,,,,,Scoutley,:,BlackLink
,BraveBird,:,Belmont,,,,,,Stratocopter,:,Craycom
