Platz,Bild,Typ,Pokemon,Kills,Match Present,Kills Present,Matches Raizor,Kills Raizor,Matches,S1,S2,S3,S4,S5,S6 Sun,S6 Moon,S6 PO,S7,S8 L1 Matches,S8 L1,S8 L2 Matches,S8 L2,Team Note 1,Team Note 2,Team Note 3,Team Note 4,Team Note 5,Team Note 6,Team Note 7,Team Note 8,Team Note 9,Team Note 10,Team Note 11,Team Note 12,Team Note 13,Team Note 14,Team Note 15,Team Note 16,Team Note 17,Team Note 18,Team Note 19,Team Note 20
1,,DARK,Snibunna,101,,,,,0,0,1,20,14,24,5,6,,13,13,11,14,7,,Shirosan S1,,TJLH100 S1,,Kuchenjaeger S1,,,,,,,,,,,,,,
2,,GROUND,Stalobor,93,4,6,,,4,6,10,26,,12,,20,1,12,,,6,6,,Present S1,,Present S2,,Scherany S2,,SurskitTV S2,,Raizor S3,,,,,,,,,,
3,,GROUND,Demeteros-Therian,92,,,,,0,0,20,15,17,12,3,8,,,14,13,13,4,,DirtyD64 S1,,Raizor S2,,RegiBang S2,,,,,,,,,,,,,,
4,,WATER,Quajutsu,90,20,33,8,4,28,37,,10,,26,6,8,3,,,,,,,Present S1,,Raizor S1,,FinaALFaNtAsuLP S1,,Cabgolord S1,,SurskitTV,,,,,,,,,,
5,,POISON,Nidoking,85,6,4,22,15,28,19,7,36,7,2,,,,,9,12,8,2,,Present S1,,Raizor S1,,DirtyD64 S1,,Oktopaul S2,,,,,,,,,,,,
6,,WATER,Azumarill,84,,,,,0,0,17,23,16,16,,,,,12,7,6,5,,Shirosan S2,,,,,,,,,,,,,,,,,,
6,,FIRE,Entei,84,,,1,0,1,0,24,27,7,6,8,12,0,,,,,,,Raizor S1,,DaumenkinoLP S2,,Kaffeecone S2,,Oktopaul S2,,SteveParker S2,,Raizor S3,,,,,,,,
6,,FLYING,Boreos-Therian,84,,,,,0,0,,22,19,16,7,8,0,,9,8,11,4,,,,,,,,,,,,,,,,,,,,
9,,STEEL,Jirachi,83,,,,,0,0,,17,18,18,7,6,1,,10,10,13,6,,,,,,,,,,,,,,,,,,,,
10,,ROCK,Terrakium,81,,,9,12,9,12,,19,,9,,6,5,16,8,14,,,,Raizor S1,,,,,,,,,,,,,,,,,,
11,,DRAGON,Kyurem-Schwarz,80,,,,,0,0,,24,17,21,8,7,3,,,,,,,FinaALFaNtAsuLP S1,,,,,,,,,,,,,,,,,,
11,,WATER,Manaphy,80,,,,,0,0,11,22,19,14,13,,1,,,,,,,DirtyD64 S1,,DirtyD64 S2,,,,,,,,,,,,,,,,
13,,ICE,Mamutel,77,,,,,0,0,16,20,,10,17,,,,10,14,,,,DaumenkinoLP S2,,,,,,,,,,,,,,,,,,
14,,FIRE,Arkani,76,13,15,,,13,15,1,7,13,5,5,,,11,11,8,11,11,,Present S1,,Present S2,,,,,,,,,,,,,,,,
15,,FAIRY,Feelinara,71,,,,,0,0,5,17,10,14,5,7,4,5,,,6,4,,DaumenkinoLP S2,,RegiBang S2,,,,,,,,,,,,,,,,
15,,STEEL,Kobalium,71,,,,,0,0,8,25,6,20,2,2,,,9,8,,,,Kuchenjaeger S1,,SteveParker S2,,,,,,,,,,,,,,,,
15,,DARK,Trikephalo,71,,,,,0,0,6,12,26,8,10,7,0,2,,,,,,FanmadeTim S1,,DaumenkinoLP S2,,Raizor S2,,,,,,,,,,,,,,
18,,FIGHTING,Resladero,70,,,,,0,0,4,,,24,19,,7,16,,,,,,RegiBang S2,,,,,,,,,,,,,,,,,,
18,,ELECTRIC,Voltolos-I,70,,,,,0,0,,12,21,25,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,FIGHTING,Lucario,69,,,,,0,0,11,18,17,10,9,,,4,3,0,,,,Shirosan S1,,Cabgolord S1,,Raizor S2,,,,,,,,,,,,,,
20,,FIRE,Mega-Glurak X,69,,,,,0,0,4,23,23,,8,7,4,,,,,,,Shirosan S1,,Scherany S2,,,,,,,,,,,,,,,,
20,,ELECTRIC,Kapu-Riki,69,,,,,0,0,,,11,15,9,13,4,,12,13,12,4,,,,,,,,,,,,,,,,,,,,
23,,ELECTRIC,Blitza,67,17,14,,,17,14,17,12,16,1,5,,,2,,,,,,Present S1,,Morbolth S1,,Present S2,,Scherany S2,,SurskitTV S2,,,,,,,,,,
24,,DRAGON,Knakrack,66,,,,,0,0,,19,6,10,12,,1,,12,10,11,8,,,,,,,,,,,,,,,,,,,,
24,,GHOST,Katapuldra,66,,,,,0,0,,,,,,,,26,14,20,9,20,,,,,,,,,,,,,,,,,,,,
26,,GRASS,Mega-Bisaflor,63,,,,,0,0,12,8,25,5,6,4,3,,,,,,,FinaALFaNtAsuLP S1,,Raizor S2,,,,,,,,,,,,,,,,
27,,GROUND,Rabigator,62,,,,,0,0,9,16,10,9,3,9,0,,9,3,7,3,,SteveParker S2,,,,,,,,,,,,,,,,,,
28,,POISON,Iksbat,61,,,,,0,0,9,9,7,11,8,8,0,,6,2,9,7,,SteveParker S2,,,,,,,,,,,,,,,,,,
29,,DRAGON,Mega-Altaria,60,,,,,0,0,16,17,,8,12,6,1,,,,,,,Oktopaul S2,,,,,,,,,,,,,,,,,,
29,,BUG,Mega-Bibor,60,,,,,0,0,5,25,14,16,,,,,,,,,,Kuchenjaeger S1,,,,,,,,,,,,,,,,,,
29,,GRASS,Katagami,60,,,,,0,0,,,19,12,13,,5,,,,11,11,,,,,,,,,,,,,,,,,,,,
32,,ELECTRIC,Rotom-Heat,59,,,,,0,0,4,13,9,8,4,11,,9,6,1,5,0,,SurskitTV S1,,Shirosan S2,,,,,,,,,,,,,,,,
32,,GHOST,Gengar,59,1,2,,,1,2,22,11,,,,8,0,8,7,4,4,4,,Present S1,,DaumenkinoLP S2,,DirtyD64 S2,,RegiBang S2,,Scherany S2,,,,,,,,,,
34,,ELECTRIC,Zeraora,57,,,,,0,0,,,,,15,5,1,5,7,13,14,18,,,,,,,,,,,,,,,,,,,,
35,,STEEL,Magearna,56,,,,,0,0,,,23,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
