,,,Wählbar: 2,,Wählbar: 2,,Wählbar: 3,,Wählbar: 2,,Wählbar: 2
,Gebannte Pokémon,,S-Tier,,A-Tier,,B-Tier,,C-Tier,,D-Tier,,Trash

,Agoyon,,Azumarill,,Aggrostella,,Alola-Knogga,,Aerodactyl,,Aalabyss,,Abra
,Arceus,,Boreos (Tiergeistform),,Alola-Vulnona,,Alola-Sleimok,,Alola-Raichu,,Absol,,Akkup
,Darkrai,,Demeteros (Tiergeistform),,Anego,,Amfira,,Alola-Snobilikat,,Admurai,,Algitt
,Deoxys,,Despotar,,Boreos (Inkarnationsform),,Aranestro,,Ambidiffel,,Aeropteryx,,Amarino
,Dialga,,Heatran,,Brutalanda,,Arkani,,Apoquallyp,,Alola-Digdri,,Amonitas
,Durengard,,Jirachi,,Caesurio,,Austos,,Aquana,,Alola-Geowaz,,Anorith
,Genesect,,Kaguron,,Cerapendra,,Bandelby,,Baldorfish,,Alola-Kokowei,,Araqua
,Giratina,,Kapu-Riki,,Chaneira,,Bisaflor,,Bissbark,,Alola-Rattikarl,,Arktip
,Giratina-O,,Kapu-Toro,,Demeteros (Inkarnationsform)*,,Blitza,,Brigaron,,Alola-Sandamer,,Azurill
,Groudon,,Katagami,,Dragoran,,Branawarz,,Cavalanzas,,Alpollo,,Balgoras
,Ho-Oh,,Keldeo,,Feelinara,,Brockoloss,,Chillabell,,Altaria,,Bamelin
,Hoopa-U,,Knakrack,,Gengar,,Bronzong,,Curelei,,Amagarga,,Barschwa
,Kapu-Fala,,Kopplosio,,Grandiras,,Celebi,,Ditto,,Amigento,,Bauz
,Kyogre,,Kyurem-Black,,Grebbit,,Clavion,,Duokles,,Amoroso,,Bidiza
,Kyurem-White,,Latias,,Hippoterus,,Cresselia,,Elevoltek,,Ampharos,,Bisasam
,Lohgock mit Speedboost,,Latios,,Hutsassa,,Diancie,,Elezard,,Amphizel,,Bithora
,Lugia,,Magearna,,Kapilz,,Donphan,,Elfun,,Arbok,,Blanas
,Lunala,,Manaphy,,Kapu-Kime,,Echnatoll,,Farbeagle,,Arboretoss,,Bluzuk
,Marshadow,,Mega-Altaria,,Kobalium,,Entei,,Fennexis,,Ariados,,Bronzel
,Mega-Brutalanda,,Mega-Bisaflor,,Lahmus,,Fermicula,,Fiaro,,Arktilas,,Bubungus
,Mega-Flunkifer,,Mega-Diancie,,Laschoking,,Flambirex,,Forstellka,,Arktos,,Bummelz
,Mega-Gengar,,Mega-Galagladi,,Mamutel,,Flampivian,,Frosdedje,,Armaldo,,Burmy
,Mega-Kangama,,Mega-Garados,,Masskito,,Florges,,Galagladi,,Banette,,Camaub
