Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Little Litleos,1,25,58,48,10,8,2,1,https://www.youtube.com/user/Kaffeecone
Lazycakes,2,24,58,38,20,8,3,0,https://www.youtube.com/user/TeamMauni
Kleinsteins;Gate,3,22,58,40,18,7,3,1,https://www.youtube.com/user/FullLifeGames
Elekids Club,4,21,53,42,11,7,4,0,https://www.youtube.com/user/ElektechN9ne
Niemandsland,5,18,55,44,11,6,5,0,https://www.youtube.com/user/BelmontGabriel
Aggron Berlin,6,18,53,46,7,6,5,0,https://www.youtube.com/user/TabascoTV
Flutschige Zäpfchen,7,18,50,45,5,6,5,0,https://www.youtube.com/user/Nestfloh
Tectass Toppas,8,12*,48,54,-6,4,6,1,https://www.youtube.com/user/RegiBang
Crinchilla,9,12,39,50,-11,4,7,0,https://www.youtube.com/user/CaptainCrinch
Crustle Crusaders,10,10,46,53,-7,3,7,1,https://www.youtube.com/user/StratocopterTV
Blades Enforcer,11,9,34,58,-24,3,8,0,https://www.youtube.com/user/Cabgolord
Strubbelohr Bande,12,6,32,61,-29,2,9,0,https://www.youtube.com/user/Craycom

Playoff Plätze,,3 Strikes = 1 Punkt Abzug
Ausgeschieden
