Platz,Team,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
1,Pokebassis,27,61,38,23,9,2,0,https://www.youtube.com/user/PokéBazi
2,Nova Dragons,24,60,30,30,8,3,0,https://www.youtube.com/user/SinofSpeed
3,Youngstars,24,58,40,18,8,3,0,https://www.youtube.com/user/TeamMauni
4,Prekani,24,56,42,14,8,3,0,https://www.youtube.com/user/PresentLP
5,Schleudergang,21,53,40,13,7,4,0,https://www.youtube.com/user/Lauris
6,Triyolotree,18,46,53,-7,6,5,0,https://www.youtube.com/user/Minetube
7,Majora's Maskeregen,15,51,55,-4,5,6,0,https://www.youtube.com/user/BlackLink
8,Mythical FighterZ,15,47,54,-7,5,6,0,https://www.youtube.com/user/Parsifani
9,Soulstealer,9,41,55,-14,3,8,0,https://www.youtube.com/user/RaizorZockt
10,Grippebärchen,9,38,53,-15,3,8,0,https://www.youtube.com/user/Hydronic
11,Absolutism,6,37,61,-24,2,9,0,https://www.youtube.com/user/Asalakoren
12,Rising Delibirds,6,31,58,-27,2,9,0,https://www.youtube.com/user/Scoutley

,Playoff Plätze
,Ausgeschieden
