,,,Wählbar: 2,,Wählbar: 2,,Wählbar: 3,,Wählbar: 2,,Wählbar: 2
,Gebannte Pokémon,,S-Tier,,A-Tier,,B-Tier,,C-Tier,,D-Tier,,Trash

,Agoyon,,Aggrostella,,Alola-Sleimok,,Alola-Knogga,,Aerodactyl,,Aalabyss,,Abra
,Arceus,,Azumarill,,Alola-Vulnona,,Amfira,,Alola-Raichu,,Absol,,Akkup
,Darkrai,,Boreos-T,,Anego,,Aranestro,,Ambidiffel,,Admurai,,Algitt
,Deoxys,,Demeteros-T,,Boreos-I,,Arkani,,Amoroso,,Aeropteryx,,Amarino
,Dialga,,Despotar,,Brutalanda,,Austos,,Apoquallyp,,Alola-Digdri,,Amonitas
,Durengard,,Heatran,,Caesurio,,Bandelby,,Aquana,,Alola-Geowaz,,Anorith
,Genesect,,Hippoterus,,Cerapendra,,Bisaflor,,Baldorfish,,Alola-Kokowei,,Arboretoss
,Giratina,,Jirachi,,Chaneira,,Blitza,,Bissbark,,Alola-Rattikarl,,Araqua
,Giratina-O,,Kaguron,,Demeteros-I,,Branawarz,,Brigaron,,Alola-Sandamer,,Arktip
,Groudon,,Kapu-Kime,,Dragoran,,Brockoloss,,Cavalanzas,,Alola-Snobilikat,,Azurill
,Ho-Oh,,Kapu-Riki,,Feelinara,,Bronzong,,Chillabell,,Alpollo,,Balgoras
,Hoopa-U,,Kapu-Toro,,Gengar,,Celebi,,Curelei,,Altaria,,Bamelin
,Kapu-Fala,,Katagami,,Grandiras,,Clavion,,Ditto,,Amagarga,,Barschwa
,Kyogre,,Keldeo,,Grebbit,,Cresselia,,Donphan,,Amigento,,Bidiza
,Kyurem-White,,Knakrack,,Hutsassa,,Diancie,,Duokles,,Ampharos,,Bisasam
,Lohgock (VF),,Kopplosio,,Kobalium,,Echnatoll,,Elevoltek,,Amphizel,,Bithora
,Lugia,,Kyurem-Black,,Lahmus,,Entei,,Elezard,,Arbok,,Blanas
,Lunala,,Latias,,Laschoking,,Flambirex,,Elfun,,Ariados,,Bluzuk
,Marshadow,,Latios,,Mega-Absol,,Flampivian,,Fennexis,,Arktilas,,Bubungus
,Magearna,,Mamutel,,Mega-Bibor,,Florges,,Fermicula,,Arktos,,Bummelz
,Mega-Brutalanda,,Manaphy,,Mega-Despotar,,Fuegro,,Forstellka,,Armaldo,,Burmy
,Mega-Flunkifer,,Masskito,,Mega-Skaraborn,,Garados,,Frosdedje,,Banette,,Camaub
,Mega-Gengar,,Mega-Aerodactyl,,Mega-Sumpex,,Grypheldis,,Fruyal,,Barschuft,,Charmian
,Mega-Kangama,,Mega-Altaria,,Mega-Tauboss,,Guardevoir,,Galagladi,,Bauz,,Chelast
