,Reihe 1,Reihe 2,Reihe 3,Reihe 4,Reihe 5,Reihe 6,Reihe 7,Reihe 8,Reihe 9,Reihe 10,Reihe 11
1,TabascoTV,Hydronic,Barry D. Sin of Speed,RegiBang,TabascoTV,Hydronic,PokéBazi,Nestfloh,TabascoTV,Raizor,Hydronic
2,BlackLink,FullLifeGames,FullLifeGames,Nestfloh,ElektechN9ne,Nestfloh,ElektechN9ne,Raizor,Nestfloh,RegiBang,ElektechN9ne
3,RegiBang,ElektechN9ne,ElektechN9ne,Hydronic,BelmontGabriel,PokéBazi,RegiBang,FullLifeGames,Barry D. Sin of Speed,BelmontGabriel,TabascoTV
4,Barry D. Sin of Speed,CaptainCrinch,Dauni Daunstar,Raizor,Present,Barry D. Sin of Speed,Dauni Daunstar,Hydronic,ElektechN9ne,PokéBazi,CaptainCrinch
5,Dauni Daunstar,Present,Present,TabascoTV,CaptainCrinch,FullLifeGames,Present,CaptainCrinch,Dauni Daunstar,Present,Present
6,BelmontGabriel,Nestfloh,BelmontGabriel,BlackLink,RegiBang,Dauni Daunstar,Barry D. Sin of Speed,BlackLink,CaptainCrinch,Hydronic,FullLifeGames
7,Raizor,PokéBazi,PokéBazi,CaptainCrinch,BlackLink,Raizor,BelmontGabriel,TabascoTV,BlackLink,FullLifeGames,Nestfloh
8,PokéBazi,Raizor,CaptainCrinch,PokéBazi,Raizor,BlackLink,TabascoTV,BelmontGabriel,FullLifeGames,BlackLink,PokéBazi
9,Nestfloh,BelmontGabriel,BlackLink,BelmontGabriel,Dauni Daunstar,RegiBang,BlackLink,Barry D. Sin of Speed,Hydronic,CaptainCrinch,BlackLink
10,Present,Dauni Daunstar,TabascoTV,Present,FullLifeGames,CaptainCrinch,CaptainCrinch,Present,Present,Dauni Daunstar,RegiBang
11,CaptainCrinch,Barry D. Sin of Speed,Raizor,Dauni Daunstar,Barry D. Sin of Speed,Present,Hydronic,Dauni Daunstar,PokéBazi,ElektechN9ne,BelmontGabriel
12,ElektechN9ne,RegiBang,Hydronic,ElektechN9ne,PokéBazi,BelmontGabriel,FullLifeGames,RegiBang,BelmontGabriel,Barry D. Sin of Speed,Raizor
13,FullLifeGames,BlackLink,Nestfloh,FullLifeGames,Nestfloh,ElektechN9ne,Raizor,ElektechN9ne,RegiBang,Nestfloh,Barry D. Sin of Speed
14,Hydronic,TabascoTV,RegiBang,Barry D. Sin of Speed,Hydronic,TabascoTV,Nestfloh,PokéBazi,Raizor,TabascoTV,Dauni Daunstar



,","
