,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Kills,1,2,3,4,5,6,7,8,9,10,11,12,13,Team,YouTube
1,Katapuldra,26,,2,4,1,2,,2,2,3,2,3,3,2,Launching Dragapults,https://www.youtube.com/user/RegiBang
2,Necrozma,19,,5,,1,,2,,2,1,2,,2,4,Milchbubis,https://www.youtube.com/user/DauniDaunstar
3,Liberlo,17,3,3,,,3,,,4,1,2,,,1,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
3,Libelldra,17,2,,3,2,2,,5,,1,2,,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
5,Terrakium,16,1,1,1,,,2,4,,,1,,,6,Baltoy Story,https://www.youtube.com/user/Hydronic
5,Bisaflor,16,3,,1,,2,2,3,1,2,1,1,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
5,Resladero,16,,2,,,1,,,3,1,,3,,6,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
5,Golgantes,16,1,1,5,1,1,,1,2,1,,3,,,Therapiepi,https://www.youtube.com/user/PokéBazi
5,Barrakiefa,16,1,,,,2,2,3,2,2,,2,,2,Therapiepi,https://www.youtube.com/user/PokéBazi
10,Keldeo,15,,,,2,1,2,,3,1,2,3,1,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
10,Giga-Patinaraja,15,1,1,1,,1,1,4,1,1,1,1,1,1,Nose to Order,https://www.youtube.com/user/BlackLink
12,Lauchzelot,14,,3,1,2,2,,,2,,2,2,,,PrekaKnight,https://www.youtube.com/user/Present
13,Giga-Machomei,13,4,,3,,,3,2,,,,1,,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
13,Glaziola,13,3,,2,5,,,,,,,,3,,Baltoy Story,https://www.youtube.com/user/Hydronic
13,Amigento-Normal,13,,,,1,,2,,1,1,1,5,,2,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
13,Snibunna,13,,,4,3,,1,1,,1,1,1,,1,Nose to Order,https://www.youtube.com/user/BlackLink
13,Bandelby,13,1,,1,,5,2,1,,,,,,3,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
18,Lectragon,12,,3,2,,1,1,,,3,2,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
18,Kyurem,12,1,1,1,1,,,,1,1,1,1,4,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
18,Sniebel,12,3,,,,,3,1,,2,,3,,,PrekaKnight,https://www.youtube.com/user/Present
