Platz,Team,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
1,Flutschige Zäpfchen,33,70,40,30,11,2,0,https://www.youtube.com/user/Nestfloh
2,Milchbubis,33,72,48,24,11,2,0,https://www.youtube.com/user/DauniDaunstar
3,Launching Dragapults,27,63,54,9,9,4,0,https://www.youtube.com/user/RegiBang
4,Aggron Berlin,24,60,49,11,8,5,0,https://www.youtube.com/user/TabascoTV
5,Riffex Pontifex,21,58,55,3,7,6,0,https://www.youtube.com/user/FullLifeGames
6,Therapiepi,18,62,55,7,6,7,0,https://www.youtube.com/user/PokéBazi
7,PrekaKnight,18,63,59,4,6,7,0,https://www.youtube.com/user/Present
8,Baltoy Story,18,56,63,-7,6,7,0,https://www.youtube.com/user/Hydronic
9,Elekids Club,18,48,60,-12,6,7,0,https://www.youtube.com/user/ElektechN9ne
10,Igalima Impoleon,15,54,68,-14,5,8,0,https://www.youtube.com/user/BelmontGabriel
11,Nose to Order,12,58,71,-13,4,9,0,https://www.youtube.com/user/BlackLink
12,Soulstealer,12,55,69,-14,4,9,0,https://www.youtube.com/user/Raizor
13,Skywalking Zacians,12,51,65,-14,4,9,0,https://www.youtube.com/user/SinofSpeed
14,Crinchilla,12,50,65,-15,4,9,0,https://www.youtube.com/user/CaptainCrinch
