Team,S-Tier,S-Tier,A-Tier,A-Tier,A-Tier,B-Tier,B-Tier,B-Tier,C-Tier,C-Tier,C-Tier
Aggron Berlin,Trikephalo,Gengar,Intelleon,Giga-Machomei,Rihornior,Bronzong,Washakwil,Pumpdjinn XL Form,Somnivora,Flamara,Smettbo
Nose to Order,Giga-Patinaraja,Snibunna,Galar-Smogmog,UHaFnir,Milotic,Pampross,Fruyal,Alola-Raichu,Gallopa,Alpollo,Jiutesto
Launching Dragapults,Katapuldra,Tentantel,Fuegro,Grebbit,Turtok,Raichu,Galagladi,Arktilas,Togetic,Deponitox,Psiaugon (männlich)
Skywalking Zacians,Zeraora,Resladero,Flampivian,Aquana,Giga-Deponitox,Amigento (Fee),Britzigel,Moruda,Pampuli,Viscargot,Gladiantri
Milchbubis,Necrozma,Keldeo,Nachtara,Fermicula,Libelldra,Typ:Null,Smogmog,Gortrom,Castellith,Blitza,Pantimos
Igalima Impoleon,Kyurem,Qurtel,Mantax,Bisaflor,Kosturso,Piondragi,Duokles,Galar-Gallopa,Flunschlik,Mitodos,Lunastein
Soulstealer,Stalobor,Maxax,Brockoloss,Machomei,Symvolara,Parfinesse,Lanturn,Giflor,Ninjask,Oghnatoll,Kleoparda
Therapiepi,Krarmor,Giga-Drapfel,Barrakiefa,Lucario,Elezard,Guardevoir,Skuntank,Mottineva,Golgantes,Sedimantur,Furnifraß
Flutschige Zäpfchen,Liberlo,Primarene,Giga-Maritellit,Lectragon,Vulnona,Stahlos,Rotom,Amigento (ohne Disc),Strepoli,Cottomi,Humanolith
PrekaKnight,Pixi,Rotom (Wasch-Form),Arkani,Celebi,Lauchzelot,Sen-Long,Sniebel,Gorgasonn,Rizeros,Mauzinger,Noctuh
Crinchilla,Feelinara,Meistagrif,Duraludon,Rotom (Schneide-Form),Austos,Chillabell,Silvarro,Montecarbo,Gufa,Kommandutan,Alola-Digdri
Elekids Club,Togekiss,Grandiras,Amfira,Giga-Schlapfel,Servol (männlich),Donarion,Keifel,Viridium,Kingler,Flunkifer,Drifzepeli
Riffex Pontifex,Rotom (Hitze-Form),Barrikadax,Kobalium,Branawarz,Roserade,Xatu,Bandelby,Echnatoll,Piepi,Tortunator,Pescryodon
Baltoy Story,Terrakium,Grypheldis,Cavalanzas,Skelabra,Elfun,Sanaconda,Voltula,Baldorfish,Glaziola,Sonnfel,Barschuft
