,2 Pokémon,,3 Pokémon,,3 Pokémon,,3 Pokémon,,,,,,,,,,,,,,,,,,,Trikephalo
,S-Tier,,A-Tier,,B-Tier,,C-Tier,,Trash,,Gebannte Pokémon,,,,,,,,,,,,,,,Giga-Patinaraja
,Aggrostella,,Alola-Vulnona,,Alola-Raichu,,Alola-Digdri,,Akkup,,Durengard,,,,,,,,,,,,,,,Katapuldra
,Barrikadax,,Amfira,,Alola-Snobilikat,,Alpollo,,Alola-Digda,,Endynalos,,,,,,,,,,,,,,,Zeraora
,Caesurio,,Apoquallyp,,Amigento (ohne Disc),,Barschuft,,Alola-Mauzi,,Galar-Flampivian,,,,,,,,,,,,,,,Necrozma
,Despotar,,Aquana,,Amigento (eine Disc),,Blitza,,Alola-Vulpix,,Jirachi,,,,,,,,,,,,,,,Kyurem
,Ditto,,Aranestro,,Arktilas,,Blubella,,Araqua,,Kyurem- Black,,,,,,,,,,,,,,,Stalobor
,Feelinara,,Arkani,,Bandelby,,Botogel,,Arboretoss,,Kyurem-White,,,,,,,,,,,,,,,Krarmor
,Galar-Flampivian (mit VF),,Austos,,Baldorfish,,Bronzel,,Arktip,,Lunala,,,,,,,,,,,,,,,Liberlo
,Garados,,Barrakiefa,,Bellektro,,Castellith,,Bähmon,,Marshadow,,,,,,,,,,,,,,,Pixi
,Gengar,,Bisaflor,,Britzigel,,Corasonn,,Barschwa,,Melmetal,,,,,,,,,,,,,,,Feelinara
,Giga-Drapfel,,Branawarz,,Bronzong,,Cottomi,,Bauz,,Mew,,,,,,,,,,,,,,,Togekiss
,Giga-Duraludon,,Brockoloss,,Calamanero,,Deponitox,,Bisaknosp,,Mewtu,,,,,,,,,,,,,,,Rotom (Hitze-Form)
,Giga-Infernopod,,Cavalanzas,,Chillabell,,Digdri,,Bisasam,,Pescragon,,,,,,,,,,,,,,,Terrakium
,Giga-Kamalm,,Celebi,,Donarion,,Drifzepeli,,Bithora,,Reshiram,,,,,,,,,,,,,,,Gengar
,Giga-Kingler,,Duraludon,,Drapfel,,Fasasnob,,Blanas,,Solgaleo,,,,,,,,,,,,,,,Snibunna
,Giga-Lapras,,Elezard,,Duokles,,Firnontor,,Brimano,,Zacian,,,,,,,,,,,,,,,Tentantel
,Giga-Patinaraja,,Elfun,,Echnatoll,,Flamara,,Brimova,,Zamazenta,,,,,,,,,,,,,,,Resladero
,Giga-Pokusan,,Fermicula,,Fletiamo,,Flunkifer,,Bubungus,,Zekrom,,,,,,,,,,,,,,,Keldeo
,Giga-Relaxo,,Flampivian,,Frosdedje,,Flunschlik,,Chimpep,,Gebannte Giga Formen,,,,,,,,,,,,,,,Qurtel
,Giga-Sanaconda,,Fuegro,,Fruyal,,Folipurba,,Chimstix,,Giga-Gengar,,,,,,,,,,,,,,,Maxax
,Grandiras,,Galar-Corasonn,,Galagladi,,Furnifraß,,Cosmog,,Giga-Glurak,,,,,,,,,,,,,,,Giga-Drapfel
,Grypheldis,,Galar-Smogmog,,Galar-Gallopa,,Galar-Flunschlik,,Cosmovum,,Giga-Krarmor,,,,,,,,,,,,,,,Primarene
,Hippoterus,,Gastrodon,,Gelatwino,,Galar-Geradaks,,Cottini,,Giga-Melmetal,,,,,,,,,,,,,,,Rotom (Wasch-Form)
,Katapuldra,,Giga-Deponitox,,Geradaks,,Galar-Pantimos,,Digda,,Giga-Olangaar,,,,,,,,,,,,,,,Meistagrif
,Keldeo,,Giga-Machomei,,Giflor,,Gallopa,,Driftlon,,Giga-Riffex,,,,,,,,,,,,,,,Grandiras
,Krarmor,,Giga-Maritellit,,Gorgasonn,,Gaunux,,Duflor,,Giga-Silembrim,,,,,,,,,,,,,,,Barrikadax
,Kyurem,,Giga-Montecarbo,,Gortrom,,Giga-Evoli,,Duodino,,Gebannte Fähigkeiten,,,,,,,,,,,,,,,Grypheldis
,Liberlo,,Giga-Schlapfel,,Guardevoir,,Giga-Mauzi,,Dusselgurr,,Auswegslos,,,,,,,,,,,,,,,Intelleon
,Mamutel,,Giga-Smettbo,,Hippopotas,,Giga-Pikachu,,eF-eM,,Gefühlswippe,,,,,,,,,,,,,,,Galar-Smogmog
,Maxax,,Glurak,,Hydragil,,Glaziola,,Eguana,,Wegsperre,,,,,,,,,,,,,,,Fuegro
,Meistagrif,,Grebbit,,Irokex,,Golgantes,,Evoli,,,,,,,,,,,,,,,,,Flampivian
,Mimigma,,Infernopod,,Kamalm,,Golking,,Fatalitee,,,,,,,,,,,,,,,,,Nachtara
,Necrozma,,Intelleon,,Kapoera,,Gufa,,Felilou,,,,,,,,,,,,,,,,,Mantax
,Olangaar,,Kobalium,,Kappalores,,Honweisel,,Felino,,,,,,,,,,,,,,,,,Brockoloss
,Pelipper,,Kosturso,,Karadonis,,Humanolith,,Flamiau,,,,,,,,,,,,,,,,,Barrakiefa
,Pixi,,Krebutack,,Keifel,,Jiutesto,,Flampion,,,,,,,,,,,,,,,,,Giga-Maritellit
,Primarene,,Lauchzelot,,Kicklee,,Kaocto,,Flauschling,,,,,,,,,,,,,,,,,Arkani
,Qurtel,,Lectragon,,Lanturn,,Kastadur,,Fleknoil,,,,,,,,,,,,,,,,,Duraludon
,Relaxo,,Libelldra,,Lecryodon,,Kingler,,Frizelbliz,,,,,,,,,,,,,,,,,Amfira
,Resladero,,Lucario,,Legios,,Kinoso,,Frubaila,,,,,,,,,,,,,,,,,Kobalium
,Riffex,,Machomei,,Maritellit,,Kleoparda,,Frubberl,,,,,,,,,,,,,,,,,Cavalanzas
,Rotom (Hitze-Form),,Mantax,,Montecarbo,,Klikdiklak,,Fukano,,,,,,,,,,,,,,,,,Giga-Machomei
,Rotom (Wasch-Form),,Milotic,,Morlord,,Kommandutan,,Galar-Flampion,,,,,,,,,,,,,,,,,UHaFnir
,Silembrim,,Mortipot,,Morpeko,,Kubuin,,Galar-Flegmon,,,,,,,,,,,,,,,,,Grebbit
,Snibunna,,Nachtara,,Moruda,,Lamellux,,Galar-Makabaja,,,,,,,,,,,,,,,,,Aquana
,Stalobor,,Pandagro,,Mottineva,,Lapras,,Galar-Mauzi,,,,,,,,,,,,,,,,,Fermicula
,Tentantel,,Patinaraja,,Nockchan,,Lepumentas,,Galar-Ponita,,,,,,,,,,,,,,,,,Bisaflor
,Terrakium,,Pokusan,,Pampross,,Lunastein,,Galar-Porenta,,,,,,,,,,,,,,,,,Machomei
,Togekiss,,Rihornior,,Pantifrost,,Lusardin,,Galar-Zigzachs,,,,,,,,,,,,,,,,,Lucario
,Trikephalo,,Roserade,,Parfinesse,,Mampfaxo,,Garstella,,,,,,,,,,,,,,,,,Lectragon
,Zeraora,,Rotom (Schneide-Form),,Piondragi,,Maracamba,,Gelatini,,,,,,,,,,,,,,,,,Celebi
,Zytomega,,Servol (männlich),,Pottrott,,Mauzinger,,Gelatroppo,,,,,,,,,,,,,,,,,Rotom (Schneide-Form)
