,Hinrunde: Spieltag 1 - 5,,,,,,Hinrunde/Rückrunde: Spieltag 6 - 10,,,,,,Rückrunde: Spieltag 11 - 14,,,,
,,,,,,,,,,,,,,,,,
,Kämpfe kommen von 12:00 - 15:00 Uhr!,,,,,,Kämpfe kommen von 12:00 - 15:00 Uhr!,,,,,,Kämpfe kommen von 12:00 - 15:00 Uhr!,,,,
,,,,,,,,,,,,,,,,,
,1. Spieltag - Sonntag der 18.04.2021,,,,,,6. Spieltag - Sonntag der 23.05.2021,,,,,,11. Spieltag - Sonntag der 04.07.2021,,,,
,Dauni Daunstar,,:,,ElektechN9ne,,Dauni Daunstar,,:,,BelmontGabriel,,BelmontGabriel,,:,,RegiBang
,Hydronic,,:,,Present,,Hydronic,,:,,Bene,,Present,,:,,Dauni Daunstar
,Nestfloh,,:,,BelmontGabriel,,Nestfloh,,:,,RegiBang,,Nestfloh,,:,,Hydronic
,Bene,,:,,RegiBang,,ElektechN9ne,,:,,Present,,ElektechN9ne,,:,,Bene
,,,,,,,,,,,,,,,,,
,2. Spieltag - Sonntag der 25.04.2021,,,,,,7. Spieltag - Sonntag der 30.05.2021,,,,,,12. Spieltag - Sonntag der 11.07.2021,,,,
,BelmontGabriel,,:,,Hydronic,,BelmontGabriel,,:,,ElektechN9ne,,Dauni Daunstar,,:,,Hydronic
,Present,,:,,Bene,,Present,,:,,Nestfloh,,Present,,:,,BelmontGabriel
,RegiBang,,:,,Dauni Daunstar,,RegiBang,,:,,Hydronic,,RegiBang,,:,,ElektechN9ne
,ElektechN9ne,,:,,Nestfloh,,Bene,,:,,Dauni Daunstar,,Bene,,:,,Nestfloh
,,,,,,,,,,,,,,,,,
,3. Spieltag - Sonntag der 02.05.2021,,,,,,8. Spieltag - Sonntag der 13.06.2021,,,,,,13. Spieltag - Sonntag der 18.07.2021,,,,
,Dauni Daunstar,,:,,Nestfloh,,Dauni Daunstar,,:,,ElektechN9ne,,Dauni Daunstar,,:,,BelmontGabriel
,Hydronic,,:,,ElektechN9ne,,Hydronic,,:,,Present,,Hydronic,,:,,Bene
,RegiBang,,:,,Present,,Nestfloh,,:,,BelmontGabriel,,Nestfloh,,:,,RegiBang
,Bene,,:,,BelmontGabriel,,Bene,,:,,RegiBang,,ElektechN9ne,,:,,Present
,,,,,,,,,,,,,,,,,
,4. Spieltag - Sonntag der 09.05.2021,,,,,,9. Spieltag - Sonntag der 20.06.2021,,,,,,14. Spieltag - Sonntag der 25.07.2021,,,,
,BelmontGabriel,,:,,RegiBang,,BelmontGabriel,,:,,Hydronic,,BelmontGabriel,,:,,ElektechN9ne
,Present,,:,,Dauni Daunstar,,Present,,:,,Bene,,Present,,:,,Nestfloh
,Nestfloh,,:,,Hydronic,,RegiBang,,:,,Dauni Daunstar,,RegiBang,,:,,Hydronic
,ElektechN9ne,,:,,Bene,,ElektechN9ne,,:,,Nestfloh,,Bene,,:,,Dauni Daunstar
,,,,,,,,,,,,,,,,,
,5. Spieltag - Sonntag der 16.05.2021,,,,,,10. Spieltag - Sonntag der 27.06.2021,,,,,,,,,,
,Dauni Daunstar,,:,,Hydronic,,Dauni Daunstar,,:,,Nestfloh,,,,,,
,Present,,:,,BelmontGabriel,,Hydronic,,:,,ElektechN9ne,,,,,,
,RegiBang,,:,,ElektechN9ne,,RegiBang,,:,,Present,,,,,,
,Bene,,:,,Nestfloh,,Bene,,:,,BelmontGabriel,,,,,,
