


,,,BlackLink,,,,,,,,,,,,,,,Wins:   7,,,,,,Raizor,,,,,,,,,,,,,,,Wins:   7
,,,https://www.youtube.com/user/BlackLink,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/user/Raizor
,,,,,,,,,,,,,,,,,,,gesamte Matches,14,,,,,,,,,,,,,,,,,,,,gesamte Matches,14
,Abyssal Nightmare,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7,,,,Soulstealer,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,L,L,W,W,W,L,L,L,W,W,L,L,W,W,,,,,,,,W,L,W,W,L,W,L,W,L,W,L,W,L,L
,Platz 5,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match,,Platz 6,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match
,S,Heatran,,0,1,1,2,1,1,1,0,0,0,0,0,0,1,14,8,"0,57",,S,Kapu-Riki,,0,0,1,0,,0,2,0,,0,1,0,0,0,12,4,"0,33"
,S,Wulaosu-Fließend,,0,0,0,1,,1,2,3,1,1,0,,2,1,12,12,"1,00",,S,Kaguron,,4,,3,,1,,1,2,0,1,0,1,,0,10,13,"1,30"
,A,Latias,,3,0,2,2,2,0,0,0,1,2,0,3,,2,13,17,"1,31",,A,Porygon2,,0,0,0,0,,0,0,1,0,0,0,0,0,,12,1,"0,08"
,A,Voltolos-T,,,,,,,,,1,0,1,0,,2,,5,4,"0,80",,A,Polaross,,,,,,,,,,,3,1,,2,,3,6,"2,00"
,B,Rabigator,,,,3,,0,0,0,,,,0,0,,0,7,3,"0,43",,B,Zoroark,,,,1,2,0,0,0,,1,0,,,1,0,9,5,"0,56"
,B,Celebi,,,,,,,,,,3,,,0,,,2,3,"1,50",,B,Alola-Knogga,,0,2,,1,,1,0,,0,,,,,,6,4,"0,67"
,B,Porygon-Z,,,1,,0,,,,,,2,,,,2,4,5,"1,25",,B,Tentoxa,,,,,,,,,1,0,,2,0,0,,5,3,"0,60"
,C,Aerodactyl,,,,0,,2,,,,,0,,1,,,4,3,"0,75",,C,Kicklee,,,,,3,,5,,,,,,,,0,3,8,"2,67"
,C,Lanturn,,,,,,,,,0,,,0,,1,,3,1,"0,33",,C,Alola-Raichu,,,,,,,,,1,,2,,3,,0,4,6,"1,50"
,C,Amigento-Fee,,,,,,,,,0,,,,0,1,0,4,1,"0,25",,C,Golgantes,,,,,,,,,,1,,0,2,0,2,5,5,"1,00"
,D,Arktilas,,,0,,,,,,,1,,,,0,,3,1,"0,33",,D,Alola-Kokowei,,1,0,,0,,,,1,,,,,,,4,2,"0,50"
,Out,Feelinara,,1,0,0,,1,0,2,,,,,,,,6,4,"0,67",,Out,Kapu-Kime,,,0,,,0,,0,,,,,,,,3,0,"0,00"
,Out,Rotom-Schneide,,0,,,0,0,0,0,,,,,,,,5,0,"0,00",,Out,Rihornior,,1,0,0,,1,,,,,,,,,,4,2,"0,50"
,Out,Apoquallyp,,0,,,1,,,,,,,,,,,2,1,"0,50",,Out,Galar-Arktos,,,,,,1,0,,,,,,,,,2,1,"0,50"
,Out,Deponitox,,,,,,,,,,,,,,,,0,0,,,Out,Baldorfish,,,,1,,0,,,,,,,,,,2,1,"0,50"

,,,Barry D. Sin of Speed,,,,,,,,,,,,,,,Wins:   7,,,,,,Maxi von Vogel,,,,,,,,,,,,,,,Wins:   7
,,,https://www.youtube.com/user/SinOfSpeed,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/user/MaxiVonVogel
,,,,,,,,,,,,,,,,,,,gesamte Matches,14,,,,,,,,,,,,,,,,,,,,gesamte Matches,14
,Holy Fairies,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7,,,,Rexcalybur,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,W,L,L,L,W,W,W,W,L,L,W,L,L,W,,,,,,,,L,L,W,L,W,L,W,L,W,W,W,L,W,L
,Platz 3,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match,,Platz 3,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match
,S,Galar-Zapdos,,2,3,0,0,1,1,2,,1,1,1,2,1,0,13,15,"1,15",,S,Demeteros-T,,0,1,0,0,1,,1,0,0,0,1,0,0,0,13,4,"0,31"
,S,Katapuldra,,2,2,1,,,1,3,3,1,,,,1,6,9,20,"2,22",,S,Jirachi,,0,0,1,1,0,2,1,0,,0,0,0,1,0,13,6,"0,46"
,A,Tangoloss,,,,,,,,,0,0,0,0,,,,4,0,"0,00",,A,Volcanion,,,,,,,,,,2,,2,,5,0,4,9,"2,25"
,A,Scherox,,,,,,,,,0,,0,2,0,0,0,6,2,"0,33",,A,Maxax,,,,,,,,,1,4,2,0,1,,1,6,9,"1,50"
,B,Guardevoir,,0,,,0,1,,0,,,,,0,,,5,1,"0,20",,B,Iksbat,,0,0,2,0,,,,,0,1,,1,0,3,9,7,"0,78"
,B,Arkani,,,0,1,0,2,2,1,1,3,0,1,,,0,11,11,"1,00",,B,Typ:Null,,,,,,,,,0,0,2,,,0,,4,2,"0,50"
,B,Galar-Smogmog,,,,,,,,,1,,,,0,,0,3,1,"0,33",,B,Riffex-Hoch,,,,1,2,0,1,,2,0,,0,0,,,8,6,"0,75"
,C,Keifel,,,0,1,1,0,0,0,0,0,0,0,0,0,0,13,2,"0,15",,C,Gorgasonn,,,,1,,,0,1,,,,,,,1,4,3,"0,75"
,C,Sniebel,,,,0,,,2,,,,,,,1,,3,3,"1,00",,C,Gelatwino,,,,,,,,,,,,,,0,,1,0,"0,00"
,C,Hydragil,,,,,,,,,,0,1,1,0,0,,5,2,"0,40",,D,Alola-Snobilikat,,0,,,,0,0,,0,,1,3,1,,,7,5,"0,71"
,D,Ohrdoch,,,,,,0,,,,,,,,,,1,0,"0,00",,Trash,Schnuthelm,,,,1,,,0,,,,,,,,,2,1,"0,50"
,Out,Lahmus,,1,0,,0,,,,,,,,,,,3,1,"0,33",,Out,Azumarill,,0,2,,1,1,0,1,,,,,,,,6,5,"0,83"
,Out,Panzaeron,,1,,0,,2,0,0,,,,,,,,5,3,"0,60",,Out,Grandiras,,0,0,,,4,,2,,,,,,,,4,6,"1,50"
,Out,Viscogon,,0,0,,3,,,,,,,,,,,3,3,"1,00",,Out,Celebi,,,,,1,,,0,,,,,,,,2,1,"0,50"
,Out,Amigento-Boden,,,,,,,,,,,,,,,,0,0,,,Out,Wolwerock-Nacht,,,1,,,,,,,,,,,,,1,1,"1,00"

,,,King Blex,,,,,,,,,,,,,,,Wins:   10,,,,,,Pokgalaxy,,,,,,,,,,,,,,,Wins:   3
,,,https://www.youtube.com/user/KingBlex,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/user/Pokgalaxy
,,,,,,,,,,,,,,,,,,,gesamte Matches,14,,,,,,,,,,,,,,,,,,,,gesamte Matches,14
,End Level Hydreigon,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 4,,,,Issotop,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 11
,,,,W,W,W,W,L,L,W,W,L,W,W,W,L,W,,,,,,,,L,W,L,L,L,L,L,L,L,L,L,W,W,L
,Platz 1,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match,,Platz 8,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match
,S,Stalobor,,,,,,,,,0,,0,2,3,0,1,6,6,"1,00",,S,Katagami,,0,3,2,0,0,1,0,1,,1,,3,0,,11,11,"1,00"
,S,Snibunna,,0,1,0,0,1,0,1,3,0,0,0,0,1,0,14,7,"0,50",,S,Pixi,,0,0,0,1,1,0,0,,0,,0,0,1,1,12,4,"0,33"
,A,Laschoking,,0,0,1,0,0,1,0,2,0,1,,0,0,0,13,5,"0,38",,A,Amfira,,,,,,,,,,,,0,1,1,,3,2,"0,67"
,A,Hutsassa,,4,1,,,2,0,,,1,1,1,1,0,,9,11,"1,22",,A,Raikou,,,,,,,,,1,0,0,2,,,,4,3,"0,75"
,B,Wie-Shu,,,,,,2,,4,0,1,,,1,4,,6,12,"2,00",,B,Aranestro,,,,,,,,,2,,1,1,1,,1,5,6,"1,20"
,B,Boreos-I,,,,,,,,,1,1,3,1,,,,4,6,"1,50",,B,UHaFnir,,,,,,,,,,0,0,,1,0,0,5,1,"0,20"
,B,Brockoloss,,,,,,,,,0,,0,1,1,0,0,6,2,"0,33",,B,Cresselia,,,0,0,,1,0,2,1,,0,,0,2,0,10,6,"0,60"
,C,Donarion,,,,1,1,0,1,1,,,,1,,,,6,5,"0,83",,C,Pampross,,0,,,0,,,0,,0,,0,,2,1,7,3,"0,43"
