,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
1,Katapuldra,,14,20,"1,43",1,1,3,2,4,2,1,2,0,0,0,2,2,0,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
2,Krebutack,,7,14,"2,00",1,,2,,,0,5,2,,,,,3,1,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
3,Terrakium,,8,14,"1,75",0,1,,3,1,,3,3,,,0,,3,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
4,Mamutel,,10,14,"1,40",,1,2,0,,,1,,4,1,2,1,0,2,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
5,Zeraora,,7,13,"1,86",,,,,,,,2,2,4,0,0,3,2,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
6,Kapu-Riki,,12,13,"1,08",0,3,1,1,0,1,,1,2,1,1,2,,,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
7,Demeteros-T,,14,13,"0,93",1,1,3,1,2,0,1,1,1,1,0,0,1,0,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
8,Guardevoir,,8,12,"1,50",,,,0,1,4,1,2,,0,,3,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
9,Nidoking,,9,12,"1,33",,0,4,0,2,1,0,,,2,,2,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
10,Necrozma,,12,12,"1,00",3,3,0,0,,2,0,2,0,0,0,1,,1,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
11,Kopplosio,,8,11,"1,38",,0,1,2,,,0,1,0,,6,1,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
12,Snibunna,,13,11,"0,85",0,3,1,2,0,1,1,0,0,1,1,1,,0,,Pillar Mons,https://www.youtube.com/user/RegiBang
13,Krarmor,,6,10,"1,67",,,,,,,,0,6,,2,1,1,0,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
14,Jirachi,,10,10,"1,00",0,0,0,3,,,0,0,,0,1,4,,2,,Arktipico,https://www.youtube.com/user/Hydronic
14,Kyurem,,10,10,"1,00",6,,1,,0,0,0,1,,1,,0,0,1,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
16,Knakrack,,12,10,"0,83",1,2,,2,1,0,1,,0,1,1,0,0,1,,Arktipico,https://www.youtube.com/user/Hydronic
17,Gortrom,,9,9,"1,00",3,0,,1,3,,0,0,2,,,0,,0,,Prekani,https://www.youtube.com/user/Present
