 ,Hinrunde: Spieltag 1 - 5,,,,,,Hinrunde/Rückrunde: Spieltag 6 - 10,,,,,,Rückrunde: Spieltag 11 - 14

,Kämpfe kommen von 13:00 - 16:00 Uhr!,,,,,,Kämpfe kommen von 13:00 - 16:00 Uhr!,,,,,,Kämpfe kommen von 13:00 - 16:00 Uhr!

,1. Spieltag - Mittwoch der 21.04.2021,,,,,,6. Spieltag - Mittwoch der 26.05.2021,,,,,,11. Spieltag - Mittwoch der 07.07.2021
,Barry D. Sin of Speed,2,:,0,BlackLink,,Barry D. Sin of Speed,3,:,0,Maxi von Vogel,,Maxi von Vogel,3,:,0,Blocki
,Pokgalaxy,0,:,4,Raizor,,Pokgalaxy,0,:,5,OG DNZ,,Raizor,0,:,2,Barry D. Sin of Speed
,King Blex,6,:,0,Maxi von Vogel,,King Blex,0,:,4,Blocki,,King Blex,2,:,0,Pokgalaxy
,OG DNZ,0,:,5,Blocki,,BlackLink,0,:,4,Raizor,,BlackLink,0,:,6,OG DNZ
,,,,,,,,,,,,,,,,*nach Regelbruch
,2. Spieltag - Mittwoch der 28.04.2021,,,,,,7. Spieltag - Mittwoch der 02.06.2021,,,,,,12. Spieltag - Mittwoch der 14.07.2021
,Maxi von Vogel,0,:,2,Pokgalaxy,,Maxi von Vogel,1,:,0,BlackLink,,Barry D. Sin of Speed,0,:,4,Pokgalaxy
,Raizor,0,:,4,OG DNZ,,Raizor,0,:,3,King Blex,,Raizor,3,:,0,Maxi von Vogel
,Blocki,1,:,0,Barry D. Sin of Speed,,Blocki,2,:,0,Pokgalaxy,,Blocki,2,:,0,BlackLink
,BlackLink,0,:,4,King Blex,,OG DNZ,0,:,3,Barry D. Sin of Speed,,OG DNZ,0,:,4,King Blex

,3. Spieltag - Mittwoch der 05.05.2021,,,,,,8. Spieltag - Mittwoch der 16.06.2021,,,,,,13. Spieltag - Mittwoch der 21.07.2021
,Barry D. Sin of Speed,0,:,3,King Blex,,Barry D. Sin of Speed,2,:,0,BlackLink,,Barry D. Sin of Speed,0,:,3,Maxi von Vogel
,Pokgalaxy,0,:,4,BlackLink,,Pokgalaxy,0,:,1,Raizor,,Pokgalaxy,1,:,0,OG DNZ
,Blocki,0,:,3,Raizor,,King Blex,3,:,0,Maxi von Vogel,,King Blex,0,:,1,Blocki
,OG DNZ,0,:,1,Maxi von Vogel,,OG DNZ,4,:,0,Blocki,,BlackLink,3,:,0,Raizor

,4. Spieltag - Mittwoch der 12.05.2021,,,,,,9. Spieltag - Mittwoch der 23.06.2021,,,,,,14. Spieltag - Mittwoch der 28.07.2021
,Maxi von Vogel,0,:,1,Blocki,,Maxi von Vogel,5,:,0,Pokgalaxy,,Maxi von Vogel,0,:,1,BlackLink
,Raizor,3,:,0,Barry D. Sin of Speed,,Raizor,0,:,4,OG DNZ,,Raizor,0,:,4,King Blex
,King Blex,3,:,0,Pokgalaxy,,Blocki,1,:,0,Barry D. Sin of Speed,,Blocki,2,:,0,Pokgalaxy
,BlackLink,1,:,0,OG DNZ,,BlackLink,3,:,0,King Blex,,OG DNZ,0,:,6,Barry D. Sin of Speed

,5. Spieltag - Mittwoch der 19.05.2021,,,,,,10. Spieltag - Mittwoch der 30.06.2021
,Barry D. Sin of Speed,3,:,0,Pokgalaxy,,Barry D. Sin of Speed,0,:,4,King Blex
,Raizor,0,:,3,Maxi von Vogel,,Pokgalaxy,0,:,3,BlackLink
,Blocki,0,:,4,BlackLink,,Blocki,0,:,2,Raizor
,OG DNZ,1,:,0,King Blex,,OG DNZ,0,:,5,Maxi von Vogel
