 ,Hinrunde: Spieltag 1 - 5,,,,,,Hinrunde/Rückrunde: Spieltag 6 - 10,,,,,,Rückrunde: Spieltag 11 - 14

,Kämpfe kommen von 13:00 - 16:00 Uhr!,,,,,,Kämpfe kommen von 13:00 - 16:00 Uhr!,,,,,,Kämpfe kommen von 13:00 - 16:00 Uhr!

,1. Spieltag - Mittwoch der 21.04.2021,,,,,,6. Spieltag - Mittwoch der 26.05.2021,,,,,,11. Spieltag - Mittwoch der 07.07.2021
,Barry D. Sin of Speed,,:,,BlackLink,,Barry D. Sin of Speed,,:,,Maxi von Vogel,,Maxi von Vogel,,:,,Blocki
,Pokgalaxy,,:,,Raizor,,Pokgalaxy,,:,,OG DNZ,,Raizor,,:,,Barry D. Sin of Speed
,King Blex,,:,,Maxi von Vogel,,King Blex,,:,,Blocki,,King Blex,,:,,Pokgalaxy
,OG DNZ,,:,,Blocki,,BlackLink,,:,,Raizor,,BlackLink,,:,,OG DNZ

,2. Spieltag - Mittwoch der 28.04.2021,,,,,,7. Spieltag - Mittwoch der 02.06.2021,,,,,,12. Spieltag - Mittwoch der 14.07.2021
,Maxi von Vogel,,:,,Pokgalaxy,,Maxi von Vogel,,:,,BlackLink,,Barry D. Sin of Speed,,:,,Pokgalaxy
,Raizor,,:,,OG DNZ,,Raizor,,:,,King Blex,,Raizor,,:,,Maxi von Vogel
,Blocki,,:,,Barry D. Sin of Speed,,Blocki,,:,,Pokgalaxy,,Blocki,,:,,BlackLink
,BlackLink,,:,,King Blex,,OG DNZ,,:,,Barry D. Sin of Speed,,OG DNZ,,:,,King Blex

,3. Spieltag - Mittwoch der 05.05.2021,,,,,,8. Spieltag - Mittwoch der 16.06.2021,,,,,,13. Spieltag - Mittwoch der 21.07.2021
,Barry D. Sin of Speed,,:,,King Blex,,Barry D. Sin of Speed,,:,,BlackLink,,Barry D. Sin of Speed,,:,,Maxi von Vogel
,Pokgalaxy,,:,,BlackLink,,Pokgalaxy,,:,,Raizor,,Pokgalaxy,,:,,OG DNZ
,Blocki,,:,,Raizor,,King Blex,,:,,Maxi von Vogel,,King Blex,,:,,Blocki
,OG DNZ,,:,,Maxi von Vogel,,OG DNZ,,:,,Blocki,,BlackLink,,:,,Raizor

,4. Spieltag - Mittwoch der 12.05.2021,,,,,,9. Spieltag - Mittwoch der 23.06.2021,,,,,,14. Spieltag - Mittwoch der 28.07.2021
,Maxi von Vogel,,:,,Blocki,,Maxi von Vogel,,:,,Pokgalaxy,,Maxi von Vogel,,:,,BlackLink
,Raizor,,:,,Barry D. Sin of Speed,,Raizor,,:,,OG DNZ,,Raizor,,:,,King Blex
,King Blex,,:,,Pokgalaxy,,Blocki,,:,,Barry D. Sin of Speed,,Blocki,,:,,Pokgalaxy
,BlackLink,,:,,OG DNZ,,BlackLink,,:,,King Blex,,OG DNZ,,:,,Barry D. Sin of Speed

,5. Spieltag - Mittwoch der 19.05.2021,,,,,,10. Spieltag - Mittwoch der 30.06.2021
,Barry D. Sin of Speed,,:,,Pokgalaxy,,Barry D. Sin of Speed,,:,,King Blex
,Raizor,,:,,Maxi von Vogel,,Pokgalaxy,,:,,BlackLink
,Blocki,,:,,BlackLink,,Blocki,,:,,Raizor
,OG DNZ,,:,,King Blex,,OG DNZ,,:,,Maxi von Vogel
