,Runde 1,,,,Runde 2,,,,Runde 3,,,,Runde 4
Nr.,Team,Pick,,Tier,Team,Pick,,Tier,Team,Pick,,Tier,Team,Pick,,Tier
1,Scherzkekse,,Demeteros-T,S-Tier,Toon World,,Brockoloss,A-Tier,Fen and Gator,,Togekiss,S-Tier,Royal Bluff,,Branawarz,B-Tier
2,Soul Blaze,,Katapuldra,S-Tier,Akatsuki Amphibianz,,Wulaosu-Fließend,S-Tier,Voltwizards,,Iksbat,B-Tier,Soul Blaze,,Hutsassa,S-Tier
3,Victory Instinct,,Zeraora,S-Tier,Royal Bluff,,Kapu-Riki,S-Tier,Akatsuki Amphibianz,,Primarene,A-Tier,Toon World,,Donarion,C-Tier
4,Voltwizards,,Gortrom,S-Tier,Fen and Gator,,Trikephalo,A-Tier,Victory Instinct,,Scherox,A-Tier,Scherzkekse,,Liberlo,A-Tier
5,Fen and Gator,,Terrakium,S-Tier,Voltwizards,,Mamutel,A-Tier,Scherzkekse,,Milotic,B-Tier,Victory Instinct,,Demeteros-I,A-Tier
6,Royal Bluff,,Fuegro,A-Tier,Victory Instinct,,Kapu-Kime,S-Tier,Toon World,,Grypheldis,B-Tier,Akatsuki Amphibianz,,Wolwerock-Zwielicht,B-Tier
7,Akatsuki Amphibianz,,Elfun,B-Tier,Soul Blaze,,Pelipper,A-Tier,Soul Blaze,,Azumarill,A-Tier,Voltwizards,,Keldeo,A-Tier
8,Toon World,,Stalobor,S-Tier,Scherzkekse,,Kaguron,S-Tier,Royal Bluff,,Durengard,A-Tier,Fen and Gator,,Metagross,A-Tier


,Runde 5,,,,Runde 6,,,,Runde 7,,,,Runde 8
Nr.,Team,Pick,,Tier,Team,Pick,,Tier,Team,Pick,,Tier,Team,Pick,,Tier
1,Royal Bluff,,Fruyal,B-Tier,Akatsuki Amphibianz,,Panzaeron,B-Tier,Soul Blaze,,Lavados,B-Tier,Royal Bluff,,Keifel,C-Tier
2,Fen and Gator,,Gastrodon,B-Tier,Soul Blaze,,Alola-Raichu,B-Tier,Voltwizards,,Raikou,A-Tier,Toon World,,Feelinara,A-Tier
3,Toon World,,Amfira,B-Tier,Voltwizards,,Kangama,C-Tier,Fen and Gator,,Smogmog,B-Tier,Scherzkekse,,Piepi,B-Tier
4,Victory Instinct,,Irokex,B-Tier,Scherzkekse,,Zytomega,A-Tier,Akatsuki Amphibianz,,Raichu,C-Tier,Victory Instinct,,Pantimos,D-Tier
5,Scherzkekse,,Meistagrif,A-Tier,Victory Instinct,,UHaFnir,B-Tier,Victory Instinct,,Bronzong,C-Tier,Akatsuki Amphibianz,,Knakrack,S-Tier
6,Voltwizards,,Zobiris,C-Tier,Toon World,,Amigento-Normal,B-Tier,Scherzkekse,,Porygon-Z,B-Tier,Fen and Gator,,Entei,A-Tier
7,Soul Blaze,,Rabigator,A-Tier,Fen and Gator,,Alola-Snobilikat,C-Tier,Toon World,,Viridium,C-Tier,Voltwizards,,Morbitesse,D-Tier
8,Akatsuki Amphibianz,,Arkani,A-Tier,Royal Bluff,,Kicklee,C-Tier,Royal Bluff,,Schlurplek,D-Tier,Soul Blaze,,Amigento-Stahl,C-Tier


,Runde 9,,,,Runde 10,,,,Runde 11
Nr.,Team,Pick,,Tier,Team,Pick,,Tier,Team,Pick,,Tier
1,Victory Instinct,,Nidoqueen,B-Tier,Scherzkekse,,Togedemaru,C-Tier,Fen and Gator,,Celebi,B-Tier
2,Soul Blaze,,Kappalores,C-Tier,Fen and Gator,,Ohrdoch,D-Tier,Soul Blaze,,Lucario,B-Tier
3,Royal Bluff,,Latias,S-Tier,Voltwizards,,Curelei,B-Tier,Victory Instinct,,Volcanion,A-Tier
4,Toon World,,Trombork,D-Tier,Akatsuki Amphibianz,,Schlaraffel,D-Tier,Toon World,,Lahmus,A-Tier
5,Akatsuki Amphibianz,,Vesprit,C-Tier,Toon World,,Lectragon,S-Tier,Royal Bluff,,Cerapendra,B-Tier
6,Voltwizards,,Tandrak,B-Tier,Royal Bluff,,Mimigma,A-Tier,Akatsuki Amphibianz,,Olangaar,A-Tier
7,Fen and Gator,,Blitza,D-Tier,Soul Blaze,,Britzigel,D-Tier,Voltwizards,,Heatran,S-Tier
8,Scherzkekse,,Piondragi,C-Tier,Victory Instinct,,Rotom,C-Tier,Scherzkekse,,Kabutops,D-Tier
