,Runde 1,,,,,,,Runde 2
Nr.,Team,Out-Pick,,Tier,In-Pick,,Tier,Team,Out-Pick,,,Tier,In-Pick,,Tier
1,Fen and Gator,,Togekiss,S-Tier,,Zapdos,S-Tier,Royal Bluff,,Mimigma,,A-Tier,,Masskito,A-Tier
2,Victory Instinct,,Rotom,C-Tier,,Miltank,C-Tier,Akatsuki Amphibianz,,Schlaraffel,,D-Tier,,Tortunator,D-Tier
3,Toon World,,Lectragon,S-Tier,,Kyurem,S-Tier,Soul Blaze,,Lucario,,B-Tier,,Wie-Shu,B-Tier
4,Scherzkekse,,Kaguron,S-Tier,,Latios,S-Tier,Voltwizards,,Kangama,,C-Tier,,Sniebel,C-Tier
5,Voltwizards,,Tandrak,B-Tier,,Selfe,B-Tier,Scherzkekse,,Kabutops,,D-Tier,,Somnivora,D-Tier
6,Soul Blaze,,Hutsassa,S-Tier,,Boreos-T,S-Tier,Toon World,,Amigento-Normal,,B-Tier,,Quartermak,B-Tier
7,Akatsuki Amphibianz,,Olangaar,A-Tier,,Gengar,A-Tier,Victory Instinct,,Irokex,,B-Tier,,Zarude,B-Tier
8,Royal Bluff,,Keifel,C-Tier,,Voltenso,D-Tier,Fen and Gator,,Celebi,,B-Tier,,Guardevoir,B-Tier

,Runde 3,,,,,,,Runde 4
Nr.,Team,Out-Pick,,Tier,In-Pick,,Tier,Team,Out-Pick,,,Tier,In-Pick,,Tier
1,Scherzkekse,,Zytomega,A-Tier,,Krarmor,A-Tier,Fen and Gator,,Blitza,,D-Tier,,Gorgasonn,C-Tier
2,Voltwizards,,Morbitesse,D-Tier,,Skuntank,D-Tier,Akatsuki Amphibianz
3,Soul Blaze,,Lavados,B-Tier,,Viscogon,B-Tier,Toon World
4,Victory Instinct,,,,,,,Royal Bluff,,Cerapendra,,B-Tier,,Smogmog,B-Tier
5,Royal Bluff,,,,,,,Victory Instinct
6,Toon World,,Viridium,C-Tier,,Bissbark,C-Tier,Soul Blaze,,Alola-Raichu,,B-Tier,,Galar-Lahmus,B-Tier
7,Akatsuki Amphibianz,,Arkani,A-Tier,,Galar-Lavados,A-Tier,Voltwizards,,Mamutel,,A-Tier,,Grebbit,A-Tier
8,Fen and Gator,,Smogmog,B-Tier,,Roserade,B-Tier,Scherzkekse,,Porygon-Z,,B-Tier,,Riffex-Hoch,B-Tier
