


,,,,,Akatsuki Amphibianz,,,,,,,,,,,,,,,Wins:   6,,,,,,,,Soulblaze,,,,,,,,,,,,,,,Wins:   6
,,,,,Minetube,,,,,,,,,,,,,,,,,,,,,,,Raizor
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8
,,,,,,W,L,W,L,W,L,L,W,W,L,L,L,L,W,,,,,,,,,,L,L,L,W,W,L,W,L,W,W,L,L,L,W
,Platz 8,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 5,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,S,Wulaosu-Fließend,,97,,,1,,0,3,1,0,1,,,1,,,1,8,8,"1,00",,S,Katapuldra,,142,,0,1,,2,1,0,1,0,3,0,1,1,0,1,13,11,"0,85"
,S,Knakrack,,102,,0,1,0,0,1,0,,2,2,0,0,0,1,,12,7,"0,58",,S,Boreos-T,,121,,,,,,,,,1,0,,0,0,,,4,1,"0,25"
,A,Primarene,,60,,3,2,,,1,,3,0,0,,0,0,,5,9,14,"1,56",,A,Pelipper,,65,,0,0,0,,1,0,2,0,1,,,,0,,9,4,"0,44"
,A,Galar-Lavados,,90,,,,,,,,,,3,2,,2,,0,4,7,"1,75",,A,Azumarill,,50,,,2,2,0,2,,,,2,1,,,,3,7,12,"1,71"
,A,Gengar,,110,,,,,,,,,,0,0,0,,1,,4,1,"0,25",,A,Rabigator,,92,,0,,,0,0,1,1,,,2,1,1,,1,9,7,"0,78"
,B,Elfun,,116,,,0,,0,0,0,0,2,0,0,0,0,0,0,12,2,"0,17",,B,Galar-Lahmus,,30,,,,,,,,,,,1,2,,2,1,4,6,"1,50"
,B,Wolwerock-Zwielicht,,110,,,,2,,,0,,,,0,,,,0,4,2,"0,50",,B,Viscogon,,80,,,,,,,,,1,,1,0,1,1,0,6,4,"0,67"
,B,Panzaeron,,70,,0,,1,,,1,,0,,,,,0,,5,2,"0,40",,B,Wie-Shu,,105,,,,,,,,,,0,0,1,0,2,0,6,3,"0,50"
,C,Raichu,,110,,2,0,,2,0,,0,,1,,,0,,0,8,5,"0,63",,C,Amigento-Stahl,,95,,,,,,,,,,,,,0,,,1,0,"0,00"
,C,Vesprit,,80,,1,,0,,1,1,,,,,0,,1,,6,4,"0,67",,C,Kappalores,,70,,0,0,0,,2,,1,1,0,,,,0,,8,4,"0,50"
, D ,Tortunator,,36,,,,,,,,,1,,1,,0,0,,4,2,"0,50",, D ,Britzigel,,15,,,1,0,,,,,0,,,,,,,3,1,"0,33"
,Out,Olangaar,,60,,,,1,0,,,0,,,,,,,,3,1,"0,33",,Out,Hutsassa,,30,,0,,0,1,0,0,,,,,,,,,5,1,"0,20"
,Out,Schlaraffel,,20,,0,,2,,,,1,,,,,,,,3,3,"1,00",,Out,Lucario,,90,,0,,,2,,0,1,,,,,,,,4,3,"0,75"
,Out,Arkani,,95,,,0,,0,,,,,,,,,,,2,0,"0,00",,Out,Lavados,,90,,,,2,1,,0,,,,,,,,,3,3,"1,00"
,Out,,,,,,,,,,,,,,,,,,,0,0,,,Out,Alola-Raichu,,110,,,0,,,,,,,,,,,,,1,0,"0,00"

,,,,,Fen and Gator,,,,,,,,,,,,,,,Wins:   7,,,,,,,,Toon World,,,,,,,,,,,,,,,Wins:   6
,,,,,Pokgalaxy,,,,,,,,,,,,,,,,,,,,,,,OG DNZ
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8
,,,,,,L,W,L,W,L,W,L,L,W,W,L,W,W,L,,,,,,,,,,L,L,W,L,L,W,W,L,L,L,W,W,W,L
,Platz 6,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 4,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,S,Terrakium,,108,,1,,,,1,,,0,0,,,,,,4,2,"0,50",,S,Stalobor,,88,,,1,0,1,,,1,1,1,2,0,2,2,0,11,11,"1,00"
,S,Zapdos,,100,,,,,,,,,0,3,0,0,0,0,1,7,4,"0,57",,S,Kyurem,,95,,,,,,,,,0,1,0,2,1,,0,6,4,"0,67"
,A,Trikephalo,,98,,,,,2,,,3,,,3,0,,,0,5,8,"1,60",,A,Brockoloss,,25,,,,,1,,,,,1,,,,,,2,2,"1,00"
,A,Metagross,,70,,,2,1,1,0,0,1,,2,0,0,3,,2,11,12,"1,09",,A,Feelinara,,60,,0,,2,,,,,0,,0,1,1,,,6,4,"0,67"
,A,Entei,,100,,0,1,0,2,,1,,0,0,2,,,3,,9,9,"1,00",,A,Lahmus,,30,,1,1,1,1,1,2,0,0,,,,,2,0,10,9,"0,90"
,B,Gastrodon,,39,,0,1,0,0,1,5,,1,,0,2,1,2,,11,13,"1,18",,B,Grypheldis,,80,,,,,,0,,,,,,,0,2,,3,2,"0,67"
,B,Roserade,,90,,,,,,,,,,,,,,,,0,0,,,B,Amfira,,117,,1,0,2,,0,1,,,,0,,,0,0,8,4,"0,50"
,B,Guardevoir,,80,,,,,,,,,0,,1,0,2,0,1,6,4,"0,67",,B,Quartermak,,80,,,,,,,,,,0,0,0,,,,3,0,"0,00"
,C,Alola-Snobilikat,,115,,0,0,0,0,,,,0,1,,0,,,,7,1,"0,14",,C,Donarion,,43,,1,0,0,0,0,3,0,0,,1,2,2,0,2,13,11,"0,85"
, D ,Ohrdoch,,50,,,,,,0,0,,,,,,0,0,0,5,0,"0,00",,C,Bissbark,,80,,,,,,,,,1,0,,,,0,0,4,1,"0,25"
, D ,Gorgasonn,,30,,,,,,,,,,0,,,0,1,0,4,1,"0,25",, D ,Trombork,,56,,,,,,,0,2,,1,,1,0,,,5,4,"0,80"
,Out,Togekiss,,80,,,,,1,1,0,0,,,,,,,,4,2,"0,50",,Out,Lectragon,,75,,1,,,0,0,0,3,,,,,,,,5,4,"0,80"
,Out,Celebi,,100,,1,2,0,,,0,0,,,,,,,,5,3,"0,60",,Out,Amigento-Normal,,95,,,1,,,3,0,0,,,,,,,,4,4,"1,00"
,Out,Smogmog,,60,,1,0,0,,1,,0,,,,,,,,5,2,"0,40",,Out,Viridium,,108,,0,1,1,0,,,,,,,,,,,4,2,"0,50"
,Out,Blitza,,130,,,,,,,,1,,,,,,,,1,1,"1,00",,Out,,,,,,,,,,,,,,,,,,,0,0

,,,,,Royal Bluff,,,,,,,,,,,,,,,Wins:   6,,,,,,,,Victory Instinct,,,,,,,,,,,,,,,Wins:   11
,,,,,ElektechN9ne,,,,,,,,,,,,,,,,,,,,,,,Bene
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 3
,,,,,,L,W,L,L,L,L,L,W,L,W,W,W,L,W,,,,,,,,,,W,W,L,W,W,W,L,W,W,W,W,L,W,W
,Platz 7,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 1,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,S,Kapu-Riki,,130,,0,1,,3,0,1,,0,1,4,2,,0,1,11,13,"1,18",,S,Zeraora,,143,,3,0,1,0,0,1,2,0,0,0,0,0,1,1,14,9,"0,64"
,S,Latias,,110,,,1,,1,0,1,0,1,0,1,1,1,1,0,12,8,"0,67",,S,Kapu-Kime,,85,,0,0,0,0,0,1,0,0,0,2,3,1,2,2,14,11,"0,79"
,A,Fuegro,,60,,0,,1,,1,0,0,0,0,0,,1,0,0,11,3,"0,27",,A,Scherox,,65,,0,2,,,1,,,,,,,,,,3,3,"1,00"
,A,Durengard,,60,,1,,,,,,1,3,,0,0,0,1,,7,6,"0,86",,A,Demeteros-I,,101,,2,,,,1,0,1,0,,,,2,,,6,6,"1,00"
,A,Masskito,,79,,,,,,,,,,1,1,0,1,,,4,3,"0,75",,A,Volcanion,,70,,0,3,1,0,1,2,,,,,2,,1,0,9,10,"1,11"
,B,Branawarz,,74,,0,1,0,,1,0,,,,,,,0,3,7,5,"0,71",,B,Zarude,,105,,,,,,,,,4,,4,,1,0,1,5,10,"2,00"
,B,Fruyal,,72,,,0,0,,,0,1,2,,,,2,,1,7,6,"0,86",,B,UHaFnir,,123,,,0,0,,,2,0,0,,0,0,,1,,8,3,"0,38"
,B,Smogmog,,60,,,,,,,,,,0,,2,,0,1,4,3,"0,75",,B,Nidoqueen,,76,,1,,,6,3,,0,,4,0,,0,,,7,14,"2,00"
