


,,,,,Akatsuki Amphibianz,,,,,,,,,,,,,,,Wins:   3,,,,,,,,Soulblaze,,,,,,,,,,,,,,,Wins:   7
,,,,,Barry D. Sin of Speed,,,,,,,,,,,,,,,,,,,,,,,Present
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 11,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,,,W,L,L,L,L,L,L,L,W,L,L,W,L,L,,,,,,,,,,L,L,W,W,W,W,W,W,L,W,L,L,L,L
,Platz 8,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 5,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,S,Wulaosu-Fließend,,97,,,2,0,2,,0,2,1,,0,0,2,,,9,9,"1,00",,S,Katapuldra,,142,,0,1,2,1,1,1,1,2,2,1,0,0,2,1,14,15,"1,07"
,S,Knakrack,,102,,2,1,1,1,0,0,1,0,1,,0,2,1,2,13,12,"0,92",,S,Boreos-T,,121,,,,,,,,,1,1,0,1,,,,4,3,"0,75"
,A,Primarene,,60,,1,,0,,2,0,2,,,1,0,0,0,,9,6,"0,67",,A,Pelipper,,65,,0,0,0,,1,0,0,0,0,,0,,0,1,11,2,"0,18"
,A,Galar-Lavados,,90,,,,,,,,,,1,1,,,1,0,4,3,"0,75",,A,Azumarill,,50,,1,0,1,2,1,,2,1,1,2,1,2,,,11,14,"1,27"
,A,Gengar,,110,,,,,,,,,0,1,,,,0,1,4,2,"0,50",,A,Rabigator,,92,,0,,,0,1,,1,,0,0,,0,1,0,9,3,"0,33"
,B,Elfun,,116,,0,,,,,,,,,,,0,,,2,0,"0,00",,B,Galar-Lahmus,,30,,,,,,,,,,,1,1,,0,,3,2,"0,67"
,B,Wolwerock-Zwielicht,,110,,1,1,4,1,1,0,0,1,2,1,2,2,0,1,14,17,"1,21",,B,Viscogon,,80,,,,,,,,,0,,,,,1,0,3,1,"0,33"
,B,Panzaeron,,70,,2,0,0,,0,0,,0,0,0,0,,0,0,11,2,"0,18",,B,Wie-Shu,,105,,,,,,,,,,,2,,2,,1,3,5,"1,67"
,C,Raichu,,110,,,,,0,0,,0,,,1,,,,,4,1,"0,25",,C,Amigento-Stahl,,95,,,,,,,,,,,,,1,,,1,1,"1,00"
,C,Vesprit,,80,,,,0,0,0,,0,1,,,,0,,0,7,1,"0,14",,C,Kappalores,,70,,0,1,3,,,2,2,2,0,,2,,0,1,10,13,"1,30"
, D ,Tortunator,,36,,,,,,,,,,1,,0,,,,2,1,"0,50",, D ,Britzigel,,15,,,0,0,,,0,,,,,,0,,,4,0,"0,00"
,Out,Olangaar,,60,,,0,,,,,,,,,,,,,1,0,"0,00",,Out,Hutsassa,,30,,0,,,2,,,,,,,,,,,2,2,"1,00"
,Out,Schlaraffel,,20,,,,,,,,,,,,,,,,0,0,,,Out,Lucario,,90,,,,,1,2,1,0,,,,,,,,4,4,"1,00"
,Out,Arkani,,95,,0,0,,0,,2,,,,,,,,,4,2,"0,50",,Out,Lavados,,90,,,,,0,,,,,,,,,,,1,0,"0,00"
,Out,,,,,,,,,,,,,,,,,,,0,0,,,Out,Alola-Raichu,,110,,,0,0,,0,2,,,,,,,,,4,2,"0,50"

,,,,,Fen and Gator,,,,,,,,,,,,,,,Wins:   6,,,,,,,,Toon World,,,,,,,,,,,,,,,Wins:   7
,,,,,Maxi von Vogel,,,,,,,,,,,,,,,,,,,,,,,King Blex
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,,,L,L,L,L,W,L,L,L,W,W,W,L,W,W,,,,,,,,,,L,W,W,W,L,L,L,W,L,W,W,W,L,L
,Platz 6,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 4,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,S,Terrakium,,108,,2,0,,0,2,,,0,2,2,,1,,1,9,10,"1,11",,S,Stalobor,,88,,1,5,3,2,,,1,,0,5,2,3,,0,10,22,"2,20"
,S,Zapdos,,100,,,,,,,,,1,0,1,0,0,0,3,7,5,"0,71",,S,Kyurem,,95,,,,,,,,,,1,1,1,1,0,0,6,4,"0,67"
,A,Trikephalo,,98,,0,,0,0,,2,0,,0,,,0,1,0,9,3,"0,33",,A,Brockoloss,,25,,0,0,1,1,0,1,,,0,,2,,0,,9,5,"0,56"
,A,Metagross,,70,,0,0,1,,,2,1,,2,1,0,1,1,2,11,11,"1,00",,A,Feelinara,,60,,0,0,0,0,1,,,2,,,,0,,0,8,3,"0,38"
,A,Entei,,100,,0,,0,2,0,0,1,,,,2,,3,,8,8,"1,00",,A,Lahmus,,30,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,14,3,"0,21"
,B,Gastrodon,,39,,0,0,0,,1,1,,0,,,,,,,6,2,"0,33",,B,Grypheldis,,80,,,,1,0,0,1,0,0,,0,0,2,0,,10,4,"0,40"
,B,Roserade,,90,,,,,,,,,0,,,1,0,0,,4,1,"0,25",,B,Amfira,,117,,,,,,,1,1,,1,0,,,0,,5,3,"0,60"
,B,Guardevoir,,80,,,,,,,,,1,0,1,2,2,1,,6,7,"1,17",,B,Quartermak,,80,,,,,,,,,0,,,,,,,1,0,"0,00"
,C,Alola-Snobilikat,,115,,,0,,,,,0,,2,0,,,,0,5,2,"0,40",,C,Donarion,,43,,,1,0,,,,1,2,,0,0,0,,0,8,4,"0,50"
,   D,Ohrdoch,,50,,0,,,0,,,,,,,,,,0,3,0,"0,00",,C,Bissbark,,80,,,,,,,,,,0,,,,0,,2,0,"0,00"
, D ,Gorgasonn,,30,,,,,,,,,0,,1,1,,,,3,2,"0,67",, D ,Trombork,,56,,,,,,,,,1,,,,,,0,2,1,"0,50"
,Out,Togekiss,,80,,,,0,,1,0,1,,,,,,,,4,2,"0,50",,Out,Lectragon,,75,,3,0,,3,2,1,,,,,,,,,5,9,"1,80"
