

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team
1,Keldeo,,7,15,"2,14",,,2,,3,2,4,,,,0,4,,0,,Voltwizards
2,Nidoqueen,,7,14,"2,00",1,,,6,3,,0,,4,0,,0,,,,Victory Instinct
3,Primarene,,9,14,"1,56",3,2,,,1,,3,0,0,,0,0,,5,,Akatsuki Amphibianz
4,Gastrodon,,11,13,"1,18",0,1,0,0,1,5,,1,,0,2,1,2,,,Fen and Gator
4,Kapu-Riki,,11,13,"1,18",0,1,,3,0,1,,0,1,4,2,,0,1,,Royal Bluff
6,Azumarill,,7,12,"1,71",,2,2,0,2,,,,2,1,,,,3,,Soulblaze
7,Metagross,,11,12,"1,09",,2,1,1,0,0,1,,2,0,0,3,,2,,Fen and Gator
8,Milotic,,11,11,"1,00",1,0,2,1,0,,0,3,1,,2,,0,1,,Scherzkekse
8,Stalobor,,11,11,"1,00",,1,0,1,,,1,1,1,2,0,2,2,0,,Toon World
10,Donarion,,13,11,"0,85",1,0,0,0,0,3,0,0,,1,2,2,0,2,,Toon World
10,Katapuldra,,13,11,"0,85",0,1,,2,1,0,1,0,3,0,1,1,0,1,,Soulblaze
12,Kapu-Kime,,14,11,"0,79",0,0,0,0,0,1,0,0,0,2,3,1,2,2,,Victory Instinct
13,Zarude,,5,10,"2,00",,,,,,,,4,,4,,1,0,1,,Victory Instinct
14,Volcanion,,9,10,"1,11",0,3,1,0,1,2,,,,,2,,1,0,,Victory Instinct
15,Iksbat,,13,10,"0,77",1,2,0,0,2,0,0,0,1,1,,0,1,2,,Voltwizards
16,Entei,,9,9,"1,00",0,1,0,2,,1,,0,0,2,,,3,,,Fen and Gator
17,Lahmus,,10,9,"0,90",1,1,1,1,1,2,0,0,,,,,2,0,,Toon World
18,Zeraora,,14,9,"0,64",3,0,1,0,0,1,2,0,0,0,0,0,1,1,,Victory Instinct
19,Trikephalo,,5,8,"1,60",,,,2,,,3,,,3,0,,,0,,Fen and Gator
20,Wulaosu-Fließend,,8,8,"1,00",,1,,0,3,1,0,1,,,1,,,1,,Akatsuki Amphibianz
21,Raikou,,9,8,"0,89",,0,0,,0,2,,1,,0,1,2,2,,,Voltwizards
22,Latias,,12,8,"0,67",,1,,1,0,1,0,1,0,1,1,1,1,0,,Royal Bluff
23,Galar-Lavados,,4,7,"1,75",,,,,,,,,3,2,,2,,0,,Akatsuki Amphibianz
23,Mimigma,,4,7,"1,75",3,2,2,0,,,,,,,,,,,,Royal Bluff
25,Meistagrif,,6,7,"1,17",,3,0,1,,,,,2,1,,,0,,,Scherzkekse
26,Heatran,,9,7,"0,78",0,0,4,1,0,,0,,0,1,,,,1,,Voltwizards
26,Rabigator,,9,7,"0,78",0,,,0,0,1,1,,,2,1,1,,1,,Soulblaze
28,Demeteros-T,,10,7,"0,70",1,0,2,2,1,0,,0,,0,0,1,,,,Scherzkekse
29,Knakrack,,12,7,"0,58",0,1,0,0,1,0,,2,2,0,0,0,1,,,Akatsuki Amphibianz
29,Togedemaru,,12,7,"0,58",1,1,1,,0,1,1,1,1,0,,0,0,0,,Scherzkekse
31,Galar-Lahmus,,4,6,"1,50",,,,,,,,,,1,2,,2,1,,Soulblaze
32,Demeteros-I,,6,6,"1,00",2,,,,1,0,1,0,,,,2,,,,Victory Instinct
33,Curelei,,7,6,"0,86",1,,,,,0,0,3,,0,2,,0,,,Voltwizards
33,Durengard,,7,6,"0,86",1,,,,,,1,3,,0,0,0,1,,,Royal Bluff
33,Fruyal,,7,6,"0,86",,0,0,,,0,1,2,,,,2,,1,,Royal Bluff
36,Gortrom,,8,6,"0,75",2,0,,1,,1,,0,1,1,,,,0,,Voltwizards
37,Somnivora,,3,5,"1,67",,,,,,,,,0,0,,,5,,,Scherzkekse
38,Grebbit,,5,5,"1,00",,,,,,,,2,0,,,0,3,0,,Voltwizards
39,Bronzong,,6,5,"0,83",,,,0,,,,2,0,,0,,1,2,,Victory Instinct
40,Branawarz,,7,5,"0,71",0,1,0,,1,0,,,,,,,0,3,,Royal Bluff
41,Raichu,,8,5,"0,63",2,0,,2,0,,0,,1,,,0,,0,,Akatsuki Amphibianz
42,Liberlo,,10,5,"0,50",2,,1,1,0,0,,0,,,1,0,0,0,,Scherzkekse
43,Tandrak,,3,4,"1,33",,1,,2,,1,,,,,,,,,,Voltwizards
44,Amigento-Normal,,4,4,"1,00",,1,,,3,0,0,,,,,,,,,Toon World
44,Mamutel,,4,4,"1,00",2,,0,0,,,2,,,,,,,,,Voltwizards
44,Piondragi,,4,4,"1,00",,,,,0,,3,,,,1,0,,,,Scherzkekse
47,Cerapendra,,5,4,"0,80",,1,,0,1,0,2,,,,,,,,,Royal Bluff
47,Lectragon,,5,4,"0,80",1,,,0,0,0,3,,,,,,,,,Toon World
47,Trombork,,5,4,"0,80",,,,,,0,2,,1,,1,0,,,,Toon World
50,Feelinara,,6,4,"0,67",0,,2,,,,,0,,0,1,1,,,,Toon World
50,Guardevoir,,6,4,"0,67",,,,,,,,0,,1,0,2,0,1,,Fen and Gator
50,Kyurem,,6,4,"0,67",,,,,,,,0,1,0,2,1,,0,,Toon World
50,Vesprit,,6,4,"0,67",1,,0,,1,1,,,,,0,,1,,,Akatsuki Amphibianz
50,Viscogon,,6,4,"0,67",,,,,,,,1,,1,0,1,1,0,,Soulblaze
55,Zapdos,,7,4,"0,57",,,,,,,,0,3,0,0,0,0,1,,Fen and Gator
56,Amfira,,8,4,"0,50",1,0,2,,0,1,,,,0,,,0,0,,Toon World
56,Kappalores,,8,4,"0,50",0,0,0,,2,,1,1,0,,,,0,,,Soulblaze
58,Pelipper,,9,4,"0,44",0,0,0,,1,0,2,0,1,,,,0,,,Soulblaze
59,Lavados,,3,3,"1,00",,,2,1,,0,,,,,,,,,,Soulblaze
59,Scherox,,3,3,"1,00",0,2,,,1,,,,,,,,,,,Victory Instinct
59,Schlaraffel,,3,3,"1,00",0,,2,,,,1,,,,,,,,,Akatsuki Amphibianz
62,Kaguron,,4,3,"0,75",1,2,,0,,,0,,,,,,,,,Scherzkekse
62,Lucario,,4,3,"0,75",0,,,2,,0,1,,,,,,,,,Soulblaze
62,Masskito,,4,3,"0,75",,,,,,,,,1,1,0,1,,,,Royal Bluff
62,Smogmog,,4,3,"0,75",,,,,,,,,0,,2,,0,1,,Royal Bluff
66,Celebi,,5,3,"0,60",1,2,0,,,0,0,,,,,,,,,Fen and Gator
67,Wie-Shu,,6,3,"0,50",,,,,,,,,0,0,1,0,2,0,,Soulblaze
68,Pantimos,,7,3,"0,43",,1,,,,0,,,1,0,1,0,,0,,Victory Instinct
69,UHaFnir,,8,3,"0,38",,0,0,,,2,0,0,,0,0,,1,,,Victory Instinct
70,Fuegro,,11,3,"0,27",0,,1,,1,0,0,0,0,0,,1,0,0,,Royal Bluff
71,Porygon-Z,,1,2,"2,00",,,,,,,2,,,,,,,,,Scherzkekse
71,Riffex-Hoch,,1,2,"2,00",,,,,,,,,,,,2,,,,Scherzkekse
73,Brockoloss,,2,2,"1,00",,,,1,,,,,1,,,,,,,Toon World
74,Grypheldis,,3,2,"0,67",,,,,0,,,,,,,0,2,,,Toon World
74,Zytomega,,3,2,"0,67",,0,0,,,2,,,,,,,,,,Scherzkekse
76,Terrakium,,4,2,"0,50",1,,,,1,,,0,0,,,,,,,Fen and Gator
76,Togekiss,,4,2,"0,50",,,,1,1,0,0,,,,,,,,,Fen and Gator
76,Tortunator,,4,2,"0,50",,,,,,,,1,,1,,0,0,,,Akatsuki Amphibianz
76,Viridium,,4,2,"0,50",0,1,1,0,,,,,,,,,,,,Toon World
76,Wolwerock-Zwielicht,,4,2,"0,50",,,2,,,0,,,,0,,,,0,,Akatsuki Amphibianz
81,Panzaeron,,5,2,"0,40",0,,1,,,1,,0,,,,,0,,,Akatsuki Amphibianz
81,Smogmog,,5,2,"0,40",1,0,0,,1,,0,,,,,,,,,Fen and Gator
83,Zobiris,,6,2,"0,33",0,0,,2,,,,,,,0,0,0,,,Voltwizards
84,Piepi,,10,2,"0,20",0,,,0,0,0,0,0,0,,2,,0,0,,Scherzkekse
85,Elfun,,12,2,"0,17",,0,,0,0,0,0,2,0,0,0,0,0,0,,Akatsuki Amphibianz
86,Blitza,,1,1,"1,00",,,,,,,1,,,,,,,,,Fen and Gator
86,Miltank,,1,1,"1,00",,,,,,,,,1,,,,,,,Victory Instinct
86,Morbitesse,,1,1,"1,00",,,,,1,,,,,,,,,,,Voltwizards
89,Krarmor,,2,1,"0,50",,,,,,,,,,1,,,,0,,Scherzkekse
89,Voltenso,,2,1,"0,50",,,,,,,,,0,,1,,,,,Royal Bluff
91,Britzigel,,3,1,"0,33",,1,0,,,,,0,,,,,,,,Soulblaze
91,Irokex,,3,1,"0,33",,,1,0,,,0,,,,,,,,,Victory Instinct
91,Olangaar,,3,1,"0,33",,,1,0,,,0,,,,,,,,,Akatsuki Amphibianz
91,Schlurplek,,3,1,"0,33",,,0,0,,,,,,,,1,,,,Royal Bluff
91,Selfe,,3,1,"0,33",,,,,,,,,0,,1,,,0,,Voltwizards
96,Bissbark,,4,1,"0,25",,,,,,,,1,0,,,,0,0,,Toon World
96,Boreos-T,,4,1,"0,25",,,,,,,,1,0,,0,0,,,,Soulblaze
96,Gengar,,4,1,"0,25",,,,,,,,,0,0,0,,1,,,Akatsuki Amphibianz
96,Gorgasonn,,4,1,"0,25",,,,,,,,,0,,,0,1,0,,Fen and Gator
100,Hutsassa,,5,1,"0,20",0,,0,1,0,0,,,,,,,,,,Soulblaze
101,Alola-Snobilikat,,7,1,"0,14",0,0,0,0,,,,0,1,,0,,,,,Fen and Gator
102,Alola-Raichu,,1,0,"0,00",,0,,,,,,,,,,,,,,Soulblaze
102,Amigento-Stahl,,1,0,"0,00",,,,,,,,,,,,0,,,,Soulblaze
102,Arkani,,2,0,"0,00",,0,,0,,,,,,,,,,,,Akatsuki Amphibianz
102,Kabutops,,1,0,"0,00",,,,,,0,,,,,,,,,,Scherzkekse
102,Kangama,,3,0,"0,00",,,0,,0,,0,,,,,,,,,Voltwizards
102,Keifel,,1,0,"0,00",,,,,0,,,,,,,,,,,Royal Bluff
102,Kicklee,,6,0,"0,00",0,,0,0,,,0,0,,0,,,,,,Royal Bluff
102,Latios,,6,0,"0,00",,,,,,,,0,0,0,0,0,,0,,Scherzkekse
102,Ohrdoch,,5,0,"0,00",,,,,0,0,,,,,,0,0,0,,Fen and Gator
102,Quartermak,,3,0,"0,00",,,,,,,,,0,0,0,,,,,Toon World
102,Roserade,,0,0,,,,,,,,,,,,,,,,,Fen and Gator
102,Rotom,,1,0,"0,00",,,0,,,,,,,,,,,,,Victory Instinct
102,Skuntank,,5,0,"0,00",,,,,,,,0,0,0,0,0,,,,Voltwizards
102,Sniebel,,1,0,"0,00",,,,,,,,,,,,,0,,,Voltwizards
102,,,0,0,,,,,,,,,,,,,,,,,Akatsuki Amphibianz
102,,,0,0,,,,,,,,,,,,,,,,,Royal Bluff
102,,,0,0,,,,,,,,,,,,,,,,,Toon World
102,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct
102,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct

,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Logo,Team,Rating
20,Wulaosu-Fließend,,8,8,"1,00",,1,,0,3,1,0,1,,,1,,,1,,Akatsuki Amphibianz,"8,001"
29,Knakrack,,12,7,"0,58",0,1,0,0,1,0,,2,2,0,0,0,1,,,Akatsuki Amphibianz,"7,000583333"
3,Primarene,,9,14,"1,56",3,2,,,1,,3,0,0,,0,0,,5,,Akatsuki Amphibianz,"14,00155556"
23,Galar-Lavados,,4,7,"1,75",,,,,,,,,3,2,,2,,0,,Akatsuki Amphibianz,"7,00175"
96,Gengar,,4,1,"0,25",,,,,,,,,0,0,0,,1,,,Akatsuki Amphibianz,"1,00025"
85,Elfun,,12,2,"0,17",,0,,0,0,0,0,2,0,0,0,0,0,0,,Akatsuki Amphibianz,"2,000166667"
76,Wolwerock-Zwielicht,,4,2,"0,50",,,2,,,0,,,,0,,,,0,,Akatsuki Amphibianz,"2,0005"
81,Panzaeron,,5,2,"0,40",0,,1,,,1,,0,,,,,0,,,Akatsuki Amphibianz,"2,0004"
41,Raichu,,8,5,"0,63",2,0,,2,0,,0,,1,,,0,,0,,Akatsuki Amphibianz,"5,000625"
50,Vesprit,,6,4,"0,67",1,,0,,1,1,,,,,0,,1,,,Akatsuki Amphibianz,"4,000666667"
76,Tortunator,,4,2,"0,50",,,,,,,,1,,1,,0,0,,,Akatsuki Amphibianz,"2,0005"
91,Olangaar,,3,1,"0,33",,,1,0,,,0,,,,,,,,,Akatsuki Amphibianz,"1,000333333"
59,Schlaraffel,,3,3,"1,00",0,,2,,,,1,,,,,,,,,Akatsuki Amphibianz,"3,001"
102,Arkani,,2,0,"0,00",,0,,0,,,,,,,,,,,,Akatsuki Amphibianz,0
102,,,0,0,,,,,,,,,,,,,,,,,Akatsuki Amphibianz,0
76,Terrakium,,4,2,"0,50",1,,,,1,,,0,0,,,,,,,Fen and Gator,"2,0005"
55,Zapdos,,7,4,"0,57",,,,,,,,0,3,0,0,0,0,1,,Fen and Gator,"4,000571429"
19,Trikephalo,,5,8,"1,60",,,,2,,,3,,,3,0,,,0,,Fen and Gator,"8,0016"
7,Metagross,,11,12,"1,09",,2,1,1,0,0,1,,2,0,0,3,,2,,Fen and Gator,"12,00109091"
16,Entei,,9,9,"1,00",0,1,0,2,,1,,0,0,2,,,3,,,Fen and Gator,"9,001"
4,Gastrodon,,11,13,"1,18",0,1,0,0,1,5,,1,,0,2,1,2,,,Fen and Gator,"13,00118182"
102,Roserade,,0,0,,,,,,,,,,,,,,,,,Fen and Gator,0
50,Guardevoir,,6,4,"0,67",,,,,,,,0,,1,0,2,0,1,,Fen and Gator,"4,000666667"
101,Alola-Snobilikat,,7,1,"0,14",0,0,0,0,,,,0,1,,0,,,,,Fen and Gator,"1,000142857"
102,Ohrdoch,,5,0,"0,00",,,,,0,0,,,,,,0,0,0,,Fen and Gator,0
96,Gorgasonn,,4,1,"0,25",,,,,,,,,0,,,0,1,0,,Fen and Gator,"1,00025"
76,Togekiss,,4,2,"0,50",,,,1,1,0,0,,,,,,,,,Fen and Gator,"2,0005"
66,Celebi,,5,3,"0,60",1,2,0,,,0,0,,,,,,,,,Fen and Gator,"3,0006"
81,Smogmog,,5,2,"0,40",1,0,0,,1,,0,,,,,,,,,Fen and Gator,"2,0004"
86,Blitza,,1,1,"1,00",,,,,,,1,,,,,,,,,Fen and Gator,"1,001"
4,Kapu-Riki,,11,13,"1,18",0,1,,3,0,1,,0,1,4,2,,0,1,,Royal Bluff,"13,00118182"
22,Latias,,12,8,"0,67",,1,,1,0,1,0,1,0,1,1,1,1,0,,Royal Bluff,"8,000666667"
70,Fuegro,,11,3,"0,27",0,,1,,1,0,0,0,0,0,,1,0,0,,Royal Bluff,"3,000272727"
33,Durengard,,7,6,"0,86",1,,,,,,1,3,,0,0,0,1,,,Royal Bluff,"6,000857143"
62,Masskito,,4,3,"0,75",,,,,,,,,1,1,0,1,,,,Royal Bluff,"3,00075"
40,Branawarz,,7,5,"0,71",0,1,0,,1,0,,,,,,,0,3,,Royal Bluff,"5,000714286"
33,Fruyal,,7,6,"0,86",,0,0,,,0,1,2,,,,2,,1,,Royal Bluff,"6,000857143"
62,Smogmog,,4,3,"0,75",,,,,,,,,0,,2,,0,1,,Royal Bluff,"3,00075"
102,Kicklee,,6,0,"0,00",0,,0,0,,,0,0,,0,,,,,,Royal Bluff,0
91,Schlurplek,,3,1,"0,33",,,0,0,,,,,,,,1,,,,Royal Bluff,"1,000333333"
89,Voltenso,,2,1,"0,50",,,,,,,,,0,,1,,,,,Royal Bluff,"1,0005"
102,Keifel,,1,0,"0,00",,,,,0,,,,,,,,,,,Royal Bluff,0
23,Mimigma,,4,7,"1,75",3,2,2,0,,,,,,,,,,,,Royal Bluff,"7,00175"
102,,,0,0,,,,,,,,,,,,,,,,,Royal Bluff,0
47,Cerapendra,,5,4,"0,80",,1,,0,1,0,2,,,,,,,,,Royal Bluff,"4,0008"
28,Demeteros-T,,10,7,"0,70",1,0,2,2,1,0,,0,,0,0,1,,,,Scherzkekse,"7,0007"
102,Latios,,6,0,"0,00",,,,,,,,0,0,0,0,0,,0,,Scherzkekse,0
42,Liberlo,,10,5,"0,50",2,,1,1,0,0,,0,,,1,0,0,0,,Scherzkekse,"5,0005"
