

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team
1,Stalobor,,21,33,"1,57",1,6,3,3,,,2,1,1,7,2,5,2,0,,Toon World
2,Azumarill,,18,26,"1,44",1,2,3,2,3,,2,1,3,3,1,2,,3,,Soulblaze
3,Katapuldra,,27,26,"0,96",0,2,2,3,2,1,2,2,5,1,1,1,2,2,,Soulblaze
3,Zeraora,,27,26,"0,96",3,1,4,2,0,2,3,0,5,2,1,1,1,1,,Victory Instinct
5,Keldeo,,18,24,"1,33",0,,7,0,3,2,4,,0,1,0,5,1,1,,Voltwizards
6,Kapu-Riki,,25,24,"0,96",0,1,0,3,0,2,0,3,2,4,4,1,2,2,,Royal Bluff
6,Latias,,25,24,"0,96",0,3,,4,0,2,3,1,2,2,2,3,2,0,,Royal Bluff
8,Metagross,,22,23,"1,05",0,2,2,1,0,2,2,,4,1,0,4,1,4,,Fen and Gator
9,Nidoqueen,,15,21,"1,40",2,1,,7,4,,1,1,4,0,1,0,,,,Victory Instinct
10,Demeteros-I,,17,21,"1,24",3,,0,,4,1,3,5,0,1,,3,1,0,,Victory Instinct
11,Kapu-Kime,,28,21,"0,75",0,0,1,1,0,3,1,0,0,3,4,2,4,2,,Victory Instinct
12,Zarude,,10,20,"2,00",,,,,,,,4,1,4,2,1,2,6,,Victory Instinct
13,Primarene,,18,20,"1,11",4,2,0,,3,0,5,0,0,1,0,0,0,5,,Akatsuki Amphibianz
14,Liberlo,,20,20,"1,00",3,0,3,4,2,2,,1,,,3,1,1,0,,Scherzkekse
15,Wolwerock-Zwielicht,,18,19,"1,06",1,1,6,1,1,0,0,1,2,1,2,2,0,1,,Akatsuki Amphibianz
16,Demeteros-T,,23,19,"0,83",3,2,2,2,1,1,4,0,,1,0,1,1,1,,Scherzkekse
17,Milotic,,24,19,"0,79",3,0,2,1,1,,0,3,2,2,2,0,0,3,,Scherzkekse
18,Knakrack,,25,19,"0,76",2,2,1,1,1,0,1,2,3,0,0,2,2,2,,Akatsuki Amphibianz
19,Curelei,,12,18,"1,50",6,,,,,5,0,3,,0,2,,0,2,,Voltwizards
20,Entei,,17,17,"1,00",0,1,0,4,0,1,1,0,0,2,2,,6,,,Fen and Gator
20,Wulaosu-Fließend,,17,17,"1,00",,3,0,2,3,1,2,2,,0,1,2,,1,,Akatsuki Amphibianz
22,Kappalores,,18,17,"0,94",0,1,3,,2,2,3,3,0,,2,,0,1,,Soulblaze
23,Meistagrif,,12,16,"1,33",,3,2,3,3,0,,,3,2,,,0,,,Scherzkekse
24,Gortrom,,19,16,"0,84",3,0,0,3,1,1,2,0,1,1,,,4,0,,Voltwizards
25,Bronzong,,14,15,"1,07",4,0,,2,,,1,2,0,2,0,,1,3,,Victory Instinct
26,Durengard,,17,15,"0,88",1,1,,1,1,0,1,3,,2,2,0,1,2,,Royal Bluff
26,Gastrodon,,17,15,"0,88",0,1,0,0,2,6,,1,,0,2,1,2,,,Fen and Gator
28,Raikou,,20,15,"0,75",0,0,1,,1,2,,1,0,0,1,4,3,2,,Voltwizards
29,Donarion,,21,15,"0,71",1,1,0,0,0,3,1,2,,1,2,2,0,2,,Toon World
30,Lectragon,,10,13,"1,30",4,0,,3,2,1,3,,,,,,,,,Toon World
31,Heatran,,22,13,"0,59",0,1,4,1,1,1,1,,0,2,0,0,0,2,,Voltwizards
32,Terrakium,,13,12,"0,92",3,0,,0,3,,,0,2,2,,1,,1,,Fen and Gator
33,Lahmus,,24,12,"0,50",1,1,2,1,1,2,0,1,0,0,1,0,2,0,,Toon World
34,Guardevoir,,12,11,"0,92",,,,,,,,1,0,2,2,4,1,1,,Fen and Gator
34,Latios,,12,11,"0,92",,,,,,,,2,2,0,3,3,0,1,,Scherzkekse
36,Trikephalo,,14,11,"0,79",0,,0,2,,2,3,,0,3,0,0,1,0,,Fen and Gator
37,Volcanion,,15,11,"0,73",0,3,1,0,2,2,,,,,2,,1,0,,Victory Instinct
38,Iksbat,,21,11,"0,52",1,3,0,0,2,0,0,0,1,1,,0,1,2,,Voltwizards
39,Galar-Lavados,,8,10,"1,25",,,,,,,,,4,3,,2,1,0,,Akatsuki Amphibianz
40,Grebbit,,11,10,"0,91",,,,,,,,3,0,1,1,2,3,0,,Voltwizards
41,Rabigator,,18,10,"0,56",0,,,0,1,1,2,,0,2,1,1,1,1,,Soulblaze
42,Riffex-Hoch,,6,9,"1,50",,,,,,,,,1,1,,2,4,1,,Scherzkekse
43,Piondragi,,9,9,"1,00",1,,1,,0,,4,1,,,1,0,,1,,Scherzkekse
44,Fruyal,,13,9,"0,69",,1,1,0,,0,2,2,,,,2,,1,,Royal Bluff
45,Zapdos,,14,9,"0,64",,,,,,,,1,3,1,0,0,0,4,,Fen and Gator
46,Branawarz,,18,9,"0,50",1,2,0,0,1,1,,0,0,,0,0,1,3,,Royal Bluff
47,Tandrak,,6,8,"1,33",,5,,2,,1,,,,,,,,,,Voltwizards
48,Galar-Lahmus,,7,8,"1,14",,,,,,,,,,2,3,,2,1,,Soulblaze
48,Zytomega,,7,8,"1,14",,3,0,,0,5,0,,,,,,,,,Scherzkekse
50,Wie-Shu,,9,8,"0,89",,,,,,,,,0,2,1,2,2,1,,Soulblaze
51,Kyurem,,12,8,"0,67",,,,,,,,0,2,1,3,2,0,0,,Toon World
52,Mimigma,,4,7,"1,75",3,2,2,0,,,,,,,,,,,,Royal Bluff
53,Lucario,,8,7,"0,88",0,,,3,2,1,1,,,,,,,,,Soulblaze
54,Brockoloss,,11,7,"0,64",0,0,1,2,0,1,,,1,,2,,0,,,Toon World
55,Amfira,,13,7,"0,54",1,0,2,,0,2,1,,1,0,,,0,0,,Toon World
55,Togedemaru,,13,7,"0,54",1,1,1,,0,1,1,1,1,0,,0,0,0,,Scherzkekse
57,Feelinara,,14,7,"0,50",0,0,2,0,1,,,2,,0,1,1,,0,,Toon World
58,Fuegro,,20,7,"0,35",0,1,2,,1,0,1,0,1,0,,1,0,0,,Royal Bluff
59,Cerapendra,,7,6,"0,86",,1,1,0,1,0,3,,,,,,,,,Royal Bluff
59,Masskito,,7,6,"0,86",,,,,,,,3,1,1,0,1,,,,Royal Bluff
61,Raichu,,12,6,"0,50",2,0,,2,0,,0,,1,1,,0,,0,,Akatsuki Amphibianz
62,Grypheldis,,13,6,"0,46",,,1,0,0,1,0,0,,0,0,2,2,,,Toon World
63,UHaFnir,,14,6,"0,43",,1,0,,,3,0,0,0,0,1,,1,,,Victory Instinct
64,Pelipper,,20,6,"0,30",0,0,0,,2,0,2,0,1,,0,,0,1,,Soulblaze
65,Somnivora,,4,5,"1,25",,,,,,,,,0,0,,,5,,,Scherzkekse
66,Trombork,,7,5,"0,71",,,,,,0,2,1,1,,1,0,,0,,Toon World
