

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team
1,Stalobor,,10,22,"2,20",1,5,3,2,,,1,,0,5,2,3,,0,,Toon World
2,Zeraora,,13,17,"1,31",0,1,3,2,,1,1,0,5,2,1,1,0,0,,Victory Instinct
3,Wolwerock-Zwielicht,,14,17,"1,21",1,1,4,1,1,0,0,1,2,1,2,2,0,1,,Akatsuki Amphibianz
4,Latias,,13,16,"1,23",0,2,,3,0,1,3,0,2,1,1,2,1,0,,Royal Bluff
5,Liberlo,,10,15,"1,50",1,0,2,3,2,2,,1,,,2,1,1,,,Scherzkekse
6,Demeteros-I,,11,15,"1,36",1,,0,,3,1,2,5,0,1,,1,1,0,,Victory Instinct
7,Katapuldra,,14,15,"1,07",0,1,2,1,1,1,1,2,2,1,0,0,2,1,,Soulblaze
8,Azumarill,,11,14,"1,27",1,0,1,2,1,,2,1,1,2,1,2,,,,Soulblaze
9,Kappalores,,10,13,"1,30",0,1,3,,,2,2,2,0,,2,,0,1,,Soulblaze
10,Curelei,,5,12,"2,40",5,,,,,5,0,,,,0,,,2,,Voltwizards
11,Demeteros-T,,13,12,"0,92",2,2,0,0,0,1,4,0,,1,0,0,1,1,,Scherzkekse
11,Knakrack,,13,12,"0,92",2,1,1,1,0,0,1,0,1,,0,2,1,2,,Akatsuki Amphibianz
13,Latios,,6,11,"1,83",,,,,,,,2,2,,3,3,0,1,,Scherzkekse
14,Metagross,,11,11,"1,00",0,0,1,,,2,1,,2,1,0,1,1,2,,Fen and Gator
15,Kapu-Riki,,14,11,"0,79",0,0,0,0,0,1,0,3,1,0,2,1,2,1,,Royal Bluff
16,Zarude,,5,10,"2,00",,,,,,,,,1,,2,0,2,5,,Victory Instinct
17,Bronzong,,8,10,"1,25",4,0,,2,,,1,0,0,2,,,,1,,Victory Instinct
18,Terrakium,,9,10,"1,11",2,0,,0,2,,,0,2,2,,1,,1,,Fen and Gator
19,Gortrom,,11,10,"0,91",1,0,0,2,1,0,2,0,0,,,,4,0,,Voltwizards
20,Kapu-Kime,,14,10,"0,71",0,0,1,1,0,2,1,0,0,1,1,1,2,0,,Victory Instinct
21,Lectragon,,5,9,"1,80",3,0,,3,2,1,,,,,,,,,,Toon World
22,Meistagrif,,6,9,"1,50",,,2,2,3,0,,,1,1,,,,,,Scherzkekse
23,Wulaosu-Fließend,,9,9,"1,00",,2,0,2,,0,2,1,,0,0,2,,,,Akatsuki Amphibianz
24,Durengard,,10,9,"0,90",0,1,,1,1,0,,0,,2,2,,0,2,,Royal Bluff
25,Keldeo,,11,9,"0,82",0,,5,0,0,,0,,0,1,0,1,1,1,,Voltwizards
26,Entei,,8,8,"1,00",0,,0,2,0,0,1,,,,2,,3,,,Fen and Gator
27,Milotic,,13,8,"0,62",2,0,0,0,1,,0,0,1,2,0,0,0,2,,Scherzkekse
28,Riffex-Hoch,,5,7,"1,40",,,,,,,,,1,1,,0,4,1,,Scherzkekse
29,Guardevoir,,6,7,"1,17",,,,,,,,1,0,1,2,2,1,,,Fen and Gator
30,Nidoqueen,,8,7,"0,88",1,1,,1,1,,1,1,,,1,0,,,,Victory Instinct
31,Raikou,,11,7,"0,64",0,0,1,,1,0,,,0,0,0,2,1,2,,Voltwizards
32,Zytomega,,4,6,"1,50",,3,,,0,3,0,,,,,,,,,Scherzkekse
33,Primarene,,9,6,"0,67",1,,0,,2,0,2,,,1,0,0,0,,,Akatsuki Amphibianz
34,Heatran,,13,6,"0,46",0,1,0,0,1,1,1,,0,1,0,0,0,1,,Voltwizards
35,Kicklee,,3,5,"1,67",,,2,,,3,,,,0,,,,,,Royal Bluff
35,Wie-Shu,,3,5,"1,67",,,,,,,,,,2,,2,,1,,Soulblaze
37,Piondragi,,5,5,"1,00",1,,1,,,,1,1,,,,,,1,,Scherzkekse
38,Grebbit,,6,5,"0,83",,,,,,,,1,0,1,1,2,,0,,Voltwizards
39,Zapdos,,7,5,"0,71",,,,,,,,1,0,1,0,0,0,3,,Fen and Gator
40,Brockoloss,,9,5,"0,56",0,0,1,1,0,1,,,0,,2,,0,,,Toon World
41,Tandrak,,3,4,"1,33",,4,,0,,0,,,,,,,,,,Voltwizards
42,Lucario,,4,4,"1,00",,,,1,2,1,0,,,,,,,,,Soulblaze
43,Kyurem,,6,4,"0,67",,,,,,,,,1,1,1,1,0,0,,Toon World
44,Donarion,,8,4,"0,50",,1,0,,,,1,2,,0,0,0,,0,,Toon World
45,Fuegro,,9,4,"0,44",0,1,1,,0,,1,0,1,,,,0,0,,Royal Bluff
46,Grypheldis,,10,4,"0,40",,,1,0,0,1,0,0,,0,0,2,0,,,Toon World
47,Branawarz,,11,4,"0,36",1,1,0,0,0,1,,0,0,,0,0,1,,,Royal Bluff
48,Masskito,,3,3,"1,00",,,,,,,,3,0,0,,,,,,Royal Bluff
49,Boreos-T,,4,3,"0,75",,,,,,,,1,1,0,1,,,,,Soulblaze
49,Galar-Lavados,,4,3,"0,75",,,,,,,,,1,1,,,1,0,,Akatsuki Amphibianz
51,Amfira,,5,3,"0,60",,,,,,1,1,,1,0,,,0,,,Toon World
52,Fruyal,,6,3,"0,50",,1,1,0,,0,1,,,,,,,0,,Royal Bluff
52,UHaFnir,,6,3,"0,50",,1,0,,,1,,,0,0,1,,,,,Victory Instinct
54,Feelinara,,8,3,"0,38",0,0,0,0,1,,,2,,,,0,,0,,Toon World
55,Rabigator,,9,3,"0,33",0,,,0,1,,1,,0,0,,0,1,0,,Soulblaze
55,Trikephalo,,9,3,"0,33",0,,0,0,,2,0,,0,,,0,1,0,,Fen and Gator
57,Lahmus,,14,3,"0,21",0,0,1,0,0,0,0,1,0,0,1,0,0,0,,Toon World
58,Cerapendra,,2,2,"1,00",,,1,,,,1,,,,,,,,,Royal Bluff
58,Hutsassa,,2,2,"1,00",0,,,2,,,,,,,,,,,,Soulblaze
58,Voltenso,,2,2,"1,00",,,,,,,,,,,,2,0,,,Royal Bluff
61,Galar-Lahmus,,3,2,"0,67",,,,,,,,,,1,1,,0,,,Soulblaze
61,Gorgasonn,,3,2,"0,67",,,,,,,,0,,1,1,,,,,Fen and Gator
63,Alola-Raichu,,4,2,"0,50",,0,0,,0,2,,,,,,,,,,Soulblaze
63,Arkani,,4,2,"0,50",0,0,,0,,2,,,,,,,,,,Akatsuki Amphibianz
63,Gengar,,4,2,"0,50",,,,,,,,0,1,,,,0,1,,Akatsuki Amphibianz
63,Togekiss,,4,2,"0,50",,,0,,1,0,1,,,,,,,,,Fen and Gator
67,Alola-Snobilikat,,5,2,"0,40",,0,,,,,0,,2,0,,,,0,,Fen and Gator
67,Smogmog,,5,2,"0,40",,0,0,0,2,0,,,,,,,,,,Fen and Gator
69,Gastrodon,,6,2,"0,33",0,0,0,,1,1,,0,,,,,,,,Fen and Gator
69,Kaguron,,6,2,"0,33",0,1,,0,0,0,1,,,,,,,,,Scherzkekse
71,Scherox,,9,2,"0,22",0,0,2,0,0,0,,0,,,,0,,0,,Victory Instinct
72,Panzaeron,,11,2,"0,18",2,0,0,,0,0,,0,0,0,0,,0,0,,Akatsuki Amphibianz
72,Pelipper,,11,2,"0,18",0,0,0,,1,0,0,0,0,,0,,0,1,,Soulblaze
74,Amigento-Stahl,,1,1,"1,00",,,,,,,,,,,,1,,,,Soulblaze
74,Irokex,,1,1,"1,00",,,,,1,,,,,,,,,,,Victory Instinct
76,Miltank,,2,1,"0,50",,,,,,,,,,0,,,1,,,Victory Instinct
76,Piepi,,2,1,"0,50",,,,1,,,,,,,0,,,,,Scherzkekse
76,Sniebel,,2,1,"0,50",,,,,,,,1,,0,,,,,,Voltwizards
76,Tortunator,,2,1,"0,50",,,,,,,,,1,,0,,,,,Akatsuki Amphibianz
76,Trombork,,2,1,"0,50",,,,,,,,1,,,,,,0,,Toon World
76,Viridium,,2,1,"0,50",0,,,,1,,,,,,,,,,,Toon World
82,Viscogon,,3,1,"0,33",,,,,,,,0,,,,,1,0,,Soulblaze
83,Celebi,,4,1,"0,25",,1,,0,0,,0,,,,,,,,,Fen and Gator
83,Raichu,,4,1,"0,25",,,,0,0,,0,,,1,,,,,,Akatsuki Amphibianz
83,Roserade,,4,1,"0,25",,,,,,,,0,,,1,0,0,,,Fen and Gator
86,Mamutel,,5,1,"0,20",,,0,0,0,0,1,,,,,,,,,Voltwizards
86,Schlurplek,,5,1,"0,20",0,,,0,0,,,,,,1,0,,,,Royal Bluff
86,Smogmog,,5,1,"0,20",,,,,,,,,0,0,0,1,,0,,Royal Bluff
89,Krarmor,,6,1,"0,17",,,,,,,,0,1,,0,0,0,0,,Scherzkekse
89,Selfe,,6,1,"0,17",,,,,,,,0,0,0,0,1,0,,,Voltwizards
89,Volcanion,,6,1,"0,17",,,0,0,1,0,,,,,0,,0,,,Victory Instinct
92,Vesprit,,7,1,"0,14",,,0,0,0,,0,1,,,,0,,0,,Akatsuki Amphibianz
93,Iksbat,,8,1,"0,13",0,1,0,0,,,0,0,,,,0,0,,,Voltwizards
94,Amigento-Normal,,2,0,"0,00",,,,,,0,0,,,,,,,,,Toon World
94,Bissbark,,2,0,"0,00",,,,,,,,,0,,,,0,,,Toon World
94,Blitza,,0,0,,,,,,,,,,,,,,,,,Fen and Gator
94,Britzigel,,4,0,"0,00",,0,0,,,0,,,,,,0,,,,Soulblaze
94,Elfun,,2,0,"0,00",0,,,,,,,,,,,0,,,,Akatsuki Amphibianz
94,Kabutops,,1,0,"0,00",,,,,,0,,,,,,,,,,Scherzkekse
94,Kangama,,1,0,"0,00",,0,,,,,,,,,,,,,,Voltwizards
94,Keifel,,1,0,"0,00",,,,,,,0,,,,,,,,,Royal Bluff
94,Lavados,,1,0,"0,00",,,,0,,,,,,,,,,,,Soulblaze
