,Spieltag 1-14 - Singles Division,,,,,,,Spieltag 1-14 - Doubles Division

,Kämpfe kommen von 12:00 - 15:00 Uhr!,,,,,,,Kämpfe kommen von 14:00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 17.04.2022,,,,,,,1. Spieltag - Mittwoch der 20.04.2022
,King Blex,0,:,2,Barry D. Sin of Speed,,,OG DNZ,0,:,2,Minetube
,Present,0,:,5,Blocki,,,Raizor,0,:,6,Nestfloh
,BlackLink,0,:,5,Dauni Daunstar,,,ElektechN9ne,0,:,2,Hydronic
,El Scizor,4,:,0,Maxi von Vogel,,,Bene,3,:,0,Pokgalaxy

,2. Spieltag - Sonntag der 24.04.2022,,,,,,,2. Spieltag - Mittwoch der 27.04.2022
,Dauni Daunstar,4,:,0,Present,,,Hydronic,2,:,0,Raizor
,Blocki,3,:,0,El Scizor,,,Nestfloh,0,:,3,Bene
,Maxi von Vogel,0,:,5,King Blex,,,Pokgalaxy,2,:,0,OG DNZ
,Barry D. Sin of Speed,0,:,2,BlackLink,,,Minetube,0,:,2,ElektechN9ne

,3. Spieltag - Sonntag der 01.05.2022,,,,,,,3. Spieltag - Mittwoch der 04.05.2022
,King Blex,1,:,0,BlackLink,,,OG DNZ,3,:,0,ElektechN9ne
,Present,1,:,0,Barry D. Sin of Speed,,,Raizor,0,:,2,Minetube
,Maxi von Vogel,0,:,5,Blocki,,,Pokgalaxy,0,:,5,Nestfloh
,El Scizor,1,:,0,Dauni Daunstar,,,Bene,0,:,3,Hydronic

,4. Spieltag - Sonntag der 08.05.2022,,,,,,,4. Spieltag - Mittwoch der 11.05.2022
,Dauni Daunstar,4,:,0,Maxi von Vogel,,,Hydronic,0,:,1,Pokgalaxy
,Blocki,0,:,4,King Blex,,,Nestfloh,3,:,0,OG DNZ
,BlackLink,0,:,2,Present,,,ElektechN9ne,0,:,2,Raizor
,Barry D. Sin of Speed,0,:,2,El Scizor,,,Minetube,0,:,4,Bene

,5. Spieltag - Sonntag der 15.05.2022,,,,,,,5. Spieltag - Mittwoch der 18.05.2022
,King Blex,0,:,2,Present,,,OG DNZ,0,:,2,Raizor
,Blocki,0,:,3,Dauni Daunstar,,,Nestfloh,5,:,0,Hydronic
,Maxi von Vogel,3,:,0,Barry D. Sin of Speed,,,Pokgalaxy,0,:,2,Minetube
,El Scizor,5,:,0,BlackLink,,,Bene,3,:,0,ElektechN9ne

,6. Spieltag - Sonntag der 22.05.2022,,,,,,,6. Spieltag - Mittwoch der 25.05.2022
,King Blex,0,:,2,Dauni Daunstar,,,OG DNZ,3,:,0,Hydronic
,Present,1,:,0,El Scizor,,,Raizor,0,:,5,Bene
,BlackLink,1,:,0,Maxi von Vogel,,,ElektechN9ne,0,:,4,Pokgalaxy
,Barry D. Sin of Speed,0,:,4,Blocki,,,Minetube,0,:,3,Nestfloh

,7. Spieltag - Sonntag der 29.05.2022,,,,,,,7. Spieltag - Mittwoch der 01.06.2022
,Dauni Daunstar,1,:,0,Barry D. Sin of Speed,,,Hydronic,2,:,0,Minetube
,Blocki,0,:,2,BlackLink,,,Nestfloh,2,:,0,ElektechN9ne
,Maxi von Vogel,0,:,2,Present,,,Pokgalaxy,0,:,1,Raizor
,El Scizor,3,:,0,King Blex,,,Bene,0,:,3,OG DNZ

,Halbzeit Draft - Sonntag der 05.06.2022


,8. Spieltag - Sonntag der 12.06.2022,,,,,,,8. Spieltag - Mittwoch der 15.06.2022
,Barry D. Sin of Speed,0,:,3,King Blex,,,Minetube,4,:,0,OG DNZ
,Blocki,0,:,4,Present,,,Nestfloh,3,:,0,Raizor
,Dauni Daunstar,0,:,2,BlackLink,,,Hydronic,0,:,2,ElektechN9ne
,Maxi von Vogel,0,:,4,El Scizor,,,Pokgalaxy,0,:,5,Bene

,9. Spieltag - Sonntag der 19.06.2022,,,,,,,9. Spieltag - Mittwoch der 22.06.2022
,Present,0,:,2,Dauni Daunstar,,,Raizor,2,:,0,Hydronic
,El Scizor,6,:,0,Blocki,,,Bene,4,:,0,Nestfloh
,King Blex,0,:,4,Maxi von Vogel,,,OG DNZ,0,:,2,Pokgalaxy
,BlackLink,0,:,2,Barry D. Sin of Speed,,,ElektechN9ne,0,:,4,Minetube

,10. Spieltag - Sonntag der 26.06.2022,,,,,,,10. Spieltag - Mittwoch der 29.06.2022
,BlackLink,0,:,3,King Blex,,,ElektechN9ne,3,:,0,OG DNZ
,Barry D. Sin of Speed,0,:,2,Present,,,Minetube,0,:,3,Raizor
,Blocki,0,:,3,Maxi von Vogel,,,Nestfloh,0,:,3,Pokgalaxy
,Dauni Daunstar,0,:,1,El Scizor,,,Hydronic,0,:,4,Bene

,11. Spieltag - Sonntag der 03.07.2022,,,,,,,11. Spieltag - Mittwoch der 06.07.2022
,Maxi von Vogel,1,:,0,Dauni Daunstar,,,Pokgalaxy,0,:,4,Hydronic
,King Blex,5,:,0,Blocki,,,OG DNZ,2,:,0,Nestfloh
,Present,0,:,1,BlackLink,,,Raizor,0,:,1,ElektechN9ne
,El Scizor,4,:,0,Barry D. Sin of Speed,,,Bene,5,:,0,Minetube

,12. Spieltag - Sonntag der 10.07.2022,,,,,,,12. Spieltag - Mittwoch der 13.07.2022
,Present,0,:,1,King Blex,,,Raizor,0,:,2,OG DNZ
,Dauni Daunstar,0,:,2,Blocki,,,Hydronic,0,:,3,Nestfloh
,Barry D. Sin of Speed,2,:,0,Maxi von Vogel,,,Minetube,0,:,4,Pokgalaxy
,BlackLink,2,:,0,El Scizor,,,ElektechN9ne,2,:,0,Bene

,13. Spieltag - Sonntag der 17.07.2022,,,,,,,13. Spieltag - Mittwoch der 20.07.2022
,Dauni Daunstar,6,:,0,King Blex,,,Hydronic,0,:,1,OG DNZ
,El Scizor,2,:,0,Present,,,Bene,1,:,0,Raizor
,Maxi von Vogel,2,:,0,BlackLink,,,Pokgalaxy,4,:,0,ElektechN9ne
,Blocki,4,:,0,Barry D. Sin of Speed,,,Nestfloh,3,:,0,Minetube

,14. Spieltag - Sonntag der 24.07.2022,,,,,,,14. Spieltag - Mittwoch der 27.07.2022
,Barry D. Sin of Speed,0,:,2,Dauni Daunstar,,,Minetube,5,:,0,Hydronic
,BlackLink,0,:,3,Blocki,,,ElektechN9ne,3,:,0,Nestfloh
,Present,0,:,2,Maxi von Vogel,,,Raizor,2,:,0,Pokgalaxy
,King Blex,0,:,6,El Scizor,,,OG DNZ,0,:,4,Bene
