,Spieltag 1-14 - Singles Division,,,,,,,Spieltag 1-14 - Doubles Division

,Kämpfe kommen von 12:00 - 15:00 Uhr!,,,,,,,Kämpfe kommen von 14:00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 17.04.2022,,,,,,,1. Spieltag - Mittwoch der 20.04.2022
,King Blex,,:,,Barry D. Sin of Speed,,,OG DNZ,,:,,Minetube
,Present,,:,,Blocki,,,Raizor,,:,,Nestfloh
,BlackLink,,:,,Dauni Daunstar,,,ElektechN9ne,,:,,Hydronic
,El Scizor,,:,,Maxi von Vogel,,,Bene,,:,,Pokgalaxy

,2. Spieltag - Sonntag der 24.04.2022,,,,,,,2. Spieltag - Mittwoch der 27.04.2022
,Dauni Daunstar,,:,,Present,,,Hydronic,,:,,Raizor
,Blocki,,:,,El Scizor,,,Nestfloh,,:,,Bene
,Maxi von Vogel,,:,,King Blex,,,Pokgalaxy,,:,,OG DNZ
,Barry D. Sin of Speed,,:,,BlackLink,,,Minetube,,:,,ElektechN9ne

,3. Spieltag - Sonntag der 01.05.2022,,,,,,,3. Spieltag - Mittwoch der 04.05.2022
,King Blex,,:,,BlackLink,,,OG DNZ,,:,,ElektechN9ne
,Present,,:,,Barry D. Sin of Speed,,,Raizor,,:,,Minetube
,Maxi von Vogel,,:,,Blocki,,,Pokgalaxy,,:,,Nestfloh
,El Scizor,,:,,Dauni Daunstar,,,Bene,,:,,Hydronic

,4. Spieltag - Sonntag der 08.05.2022,,,,,,,4. Spieltag - Mittwoch der 11.05.2022
,Dauni Daunstar,,:,,Maxi von Vogel,,,Hydronic,,:,,Pokgalaxy
,Blocki,,:,,King Blex,,,Nestfloh,,:,,OG DNZ
,BlackLink,,:,,Present,,,ElektechN9ne,,:,,Raizor
,Barry D. Sin of Speed,,:,,El Scizor,,,Minetube,,:,,Bene

,5. Spieltag - Sonntag der 15.05.2022,,,,,,,5. Spieltag - Mittwoch der 18.05.2022
,King Blex,,:,,Present,,,OG DNZ,,:,,Raizor
,Blocki,,:,,Dauni Daunstar,,,Nestfloh,,:,,Hydronic
,Maxi von Vogel,,:,,Barry D. Sin of Speed,,,Pokgalaxy,,:,,Minetube
,El Scizor,,:,,BlackLink,,,Bene,,:,,ElektechN9ne

,6. Spieltag - Sonntag der 22.05.2022,,,,,,,6. Spieltag - Mittwoch der 25.05.2022
,King Blex,,:,,Dauni Daunstar,,,OG DNZ,,:,,Hydronic
,Present,,:,,El Scizor,,,Raizor,,:,,Bene
,BlackLink,,:,,Maxi von Vogel,,,ElektechN9ne,,:,,Pokgalaxy
,Barry D. Sin of Speed,,:,,Blocki,,,Minetube,,:,,Nestfloh

,7. Spieltag - Sonntag der 29.05.2022,,,,,,,7. Spieltag - Mittwoch der 01.06.2022
,Dauni Daunstar,,:,,Barry D. Sin of Speed,,,Hydronic,,:,,Minetube
,Blocki,,:,,BlackLink,,,Nestfloh,,:,,ElektechN9ne
,Maxi von Vogel,,:,,Present,,,Pokgalaxy,,:,,Raizor
,El Scizor,,:,,King Blex,,,Bene,,:,,OG DNZ

,Halbzeit Draft - Sonntag der 05.06.2022


,8. Spieltag - Sonntag der 12.06.2022,,,,,,,8. Spieltag - Mittwoch der 15.06.2022
,Barry D. Sin of Speed,,:,,King Blex,,,Minetube,,:,,OG DNZ
,Blocki,,:,,Present,,,Nestfloh,,:,,Raizor
,Dauni Daunstar,,:,,BlackLink,,,Hydronic,,:,,ElektechN9ne
,Maxi von Vogel,,:,,El Scizor,,,Pokgalaxy,,:,,Bene

,9. Spieltag - Sonntag der 19.06.2022,,,,,,,9. Spieltag - Mittwoch der 22.06.2022
,Present,,:,,Dauni Daunstar,,,Raizor,,:,,Hydronic
,El Scizor,,:,,Blocki,,,Bene,,:,,Nestfloh
,King Blex,,:,,Maxi von Vogel,,,OG DNZ,,:,,Pokgalaxy
,BlackLink,,:,,Barry D. Sin of Speed,,,ElektechN9ne,,:,,Minetube

,10. Spieltag - Sonntag der 26.06.2022,,,,,,,10. Spieltag - Mittwoch der 29.06.2022
,BlackLink,,:,,King Blex,,,ElektechN9ne,,:,,OG DNZ
,Barry D. Sin of Speed,,:,,Present,,,Minetube,,:,,Raizor
,Blocki,,:,,Maxi von Vogel,,,Nestfloh,,:,,Pokgalaxy
,Dauni Daunstar,,:,,El Scizor,,,Hydronic,,:,,Bene

,11. Spieltag - Sonntag der 03.07.2022,,,,,,,11. Spieltag - Mittwoch der 06.07.2022
,Maxi von Vogel,,:,,Dauni Daunstar,,,Pokgalaxy,,:,,Hydronic
,King Blex,,:,,Blocki,,,OG DNZ,,:,,Nestfloh
,Present,,:,,BlackLink,,,Raizor,,:,,ElektechN9ne
,El Scizor,,:,,Barry D. Sin of Speed,,,Bene,,:,,Minetube

,12. Spieltag - Sonntag der 10.07.2022,,,,,,,12. Spieltag - Mittwoch der 13.07.2022
,Present,,:,,King Blex,,,Raizor,,:,,OG DNZ
,Dauni Daunstar,,:,,Blocki,,,Hydronic,,:,,Nestfloh
,Barry D. Sin of Speed,,:,,Maxi von Vogel,,,Minetube,,:,,Pokgalaxy
,BlackLink,,:,,El Scizor,,,ElektechN9ne,,:,,Bene

