,2 Pokémon,,,3 Pokémon,,,3 Pokémon,,,1/2 Pokémon,,,1/2 Pokémon,,,,,,,,,,Pick,Tier,,Sortiert nach Alphabet,,,Gepickte Mons,Alphabetisch
,S-Tier,,,A-Tier,,,B-Tier,,,C-Tier,,,D-Tier,,,Trash,,,Gebannte Pokémon,,,,Alola-Vulnona,S-Tier,,Abra,Trash,Team 1,Wulaosu-Fließend,Alola-Snobilikat
,,Alola-Vulnona,,,Aggrostella,,,Aerodactyl,,,Aeropteryx,,,Absol,,,Abra,,,Agoyon,,,Boreos-T,S-Tier,,Absol,D-Tier,,Knakrack,Amfira
,,Boreos-T,,,Alola-Knogga,,,Alola-Raichu,,,Alola-Kokowei,,,Alola-Digdri,,,Akkup,,,Coronospa (Rappenreiter),,,Demeteros-T,S-Tier,,Aerodactyl,B-Tier,,Primarene,Amigento-Stahl
,,Demeteros-T,,,Anego,,,Amfira,,,Alola-Sandamer,,,Alola-Vulpix,,,Algitt,,,Coronospa (Schimmelreiter),,,Despotar,S-Tier,,Aeropteryx,C-Tier,,Galar-Lavados,Azumarill
,,Despotar,,,Arkani,,,Amigento-Normal,,,Alola-Snobilikat,,,Alpollo,,,Alola-Digda,,,Dialga,,,Galar-Flampivian,S-Tier,,Aggrostella,A-Tier,,Gengar,Bissbark
,,Galar-Flampivian,,,Azumarill,,,Aranestro,,,Amigento-Disc,,,Altaria,,,Alola-Mauzi,,,Endynalos,,,Galar-Zapdos,S-Tier,,Agoyon,Ban,,Elfun,Boreos-T
,,Galar-Zapdos,,,Bisaflor,,,Austos,,,Amoroso,,,Amagarga,,,Alola-Sandan,,,Genesect,,,Gortrom,S-Tier,,Akkup,Trash,,Wolwerock-Zwielicht,Branawarz
,,Gortrom,,,Boreos-I,,,Bandelby,,,Apoquallyp,,,Arboretoss,,,Amarino,,,Giratina,,,Heatran,S-Tier,,Algitt,Trash,,Panzaeron,Britzigel
,,Heatran,,,Brockoloss,,,Barrakiefa,,,Aquana,,,Arktilas,,,Amonitas,,,Giratina-Ursprung,,,Hutsassa,S-Tier,,Alola-Digda,Trash,,Raichu,Brockoloss
,,Hutsassa,,,Brutalanda,,,Barrikadax,,,Baldorfish,,,Arktos,,,Anorith,,,Groudon,,,Kaguron,S-Tier,,Alola-Digdri,D-Tier,,Vesprit,Bronzong
,,Kaguron,,,Cresselia,,,Branawarz,,,Bissbark,,,Armaldo,,,Araqua,,,Ho-Oh,,,Kapu-Kime,S-Tier,,Alola-Knogga,A-Tier,,Tortunator,Curelei
,,Kapu-Kime,,,Demeteros-I,,,Caesurio,,,Bronzong,,,Bähmon,,,Arktip,,,Jirachi,,,Kapu-Riki,S-Tier,,Alola-Kokowei,C-Tier,Team 2,Katapuldra,Demeteros-I
,,Kapu-Riki,,,Diancie,,,Cavalanzas,,,Chillabell,,,Barschuft,,,Azurill,,,Katagami,,,Katapuldra,S-Tier,,Alola-Mauzi,Trash,,Boreos-T,Demeteros-T
,,Katapuldra,,,Dragoran,,,Celebi,,,Chimstix,,,Bellektro,,,Balgoras,,,Kyogre,,,Knakrack,S-Tier,,Alola-Raichu,B-Tier,,Pelipper,Donarion
,,Knakrack,,,Durengard,,,Cerapendra,,,Donarion,,,Bisofank,,,Barschwa,,,Kyurem-Schwarz,,,Kyurem,S-Tier,,Alola-Sandamer,C-Tier,,Azumarill,Durengard
,,Kyurem,,,Entei,,,Chaneira,,,Dressella,,,Blitza,,,Bauz,,,Kyurem-Weiß,,,Latias,S-Tier,,Alola-Sandan,Trash,,Rabigator,Elfun
,,Latias,,,Feelinara,,,Clavion,,,Drifzepeli,,,Blubella,,,Bisaknosp,,,Lugia,,,Latios,S-Tier,,Alola-Snobilikat,C-Tier,,Galar-Lahmus,Entei
,,Latios,,,Fuegro,,,Curelei,,,Duokles,,,Botogel,,,Bisasam,,,Lunala,,,Lectragon,S-Tier,,Alola-Vulnona,S-Tier,,Viscogon,Feelinara
,,Lectragon,,,Galar-Laschoking,,,Ditto,,,Duraludon,,,Britzigel,,,Bithora,,,Magearna,,,Necrozma,S-Tier,,Alola-Vulpix,D-Tier,,Wie-Shu,Fruyal
,,Necrozma,,,Galar-Lavados,,,Echnatoll,,,Elezard,,,Calamanero,,,Blanas,,,Marshadow,,,Pixi,S-Tier,,Alpollo,D-Tier,,Amigento-Stahl,Fuegro
,,Pixi,,,Galar-Smogmog,,,Elfun,,,Elevoltek,,,Castellith,,,Brimano,,,Melmetal,,,Porygon2,S-Tier,,Altaria,D-Tier,,Kappalores,Galar-Lahmus
,,Porygon2,,,Garados,,,Fermicula,,,Fiaro,,,Colossand,,,Brimova,,,Mew,,,Qurtel,S-Tier,,Amagarga,D-Tier,,Britzigel,Galar-Lavados
,,Qurtel,,,Gengar,,,Flampivian,,,Frosdedje,,,Corasonn,,,Bronzel,,,Mewtu,,,Ramoth,S-Tier,,Amarino,Trash,Team 3,Terrakium,Gastrodon
,,Ramoth,,,Grandiras,,,Fruyal,,,Galagladi,,,Coronospa,,,Bubungus,,,Palkia,,,Resladero,S-Tier,,Amfira,B-Tier,,Zapdos,Gengar,Alola-Snobilikat
,,Resladero,,,Grebbit,,,Galar-Lahmus,,,Galar-Arktos,,,Cottomi,,,Chimpep,,,Pescragon,,,Snibunna,S-Tier,,Amigento-Boden,C-Tier,,Trikephalo,Gorgasonn,Amfira
,,Snibunna,,,Hippoterus,,,Gastrodon,,,Geradaks,,,Dedenne,,,Cosmog,,,Phantoross,,,Stalobor,S-Tier,,Amigento-Disc,C-Tier,,Metagross,Gortrom,Amigento-Disc
,,Stalobor,,,Kapu-Fala,,,Gelatwino,,,Giflor,,,Deponitox,,,Cosmovum,,,Rayquaza,,,Tentantel,S-Tier,,Amigento-Drache,C-Tier,,Entei,Grebbit,Amigento-Stahl
,,Tentantel,,,Kapu-Toro,,,Grypheldis,,,Glaziola,,,Digdri,,,Cottini,,,Reshiram,,,Terrakium,S-Tier,,Amigento-Eis,C-Tier,,Gastrodon,Grypheldis,Azumarill
,,Terrakium,,,Keldeo,,,Guardevoir,,,Glurak,,,Drapfel,,,Dakuma,,,Schabelle,,,Togekiss,S-Tier,,Amigento-Elektro,C-Tier,,Roserade,Guardevoir,Bissbark
,,Togekiss,,,Kobalium,,,Heiteira,,,Golgantes,,,Draschel,,,Dartignis,,,Solgaleo,,,Victini,S-Tier,,Amigento-Fee,C-Tier,,Guardevoir,Heatran,Boreos-T
,,Victini,,,Kopplosio,,,Iksbat,,,Gorgasonn,,,Duflor,,,Dartiri,,,Wulaosu-Fokussiert,,,Voltolos-I,S-Tier,,Amigento-Feuer,C-Tier,,Alola-Snobilikat,Iksbat,Branawarz
,,Voltolos-I,,,Krarmor,,,Intelleon,,,Hydragil,,,Dummisel,,,Digda,,,Xerneas,,,Wulaosu-Fließend,S-Tier,,Amigento-Flug,C-Tier,,Ohrdoch,Kappalores,Britzigel
,,Wulaosu-Fließend,,,Lahmus,,,Irokex,,,Infernopod,,,Duodino,,,Dragonir,,,Yveltal,,,Zapdos,S-Tier,,Amigento-Geist,C-Tier,,Gorgasonn,Kapu-Kime,Brockoloss
,,Zapdos,,,Laschoking,,,Kapoera,,,Kamalm,,,Elektek,,,Dratini,,,Zacian,,,Zeraora,S-Tier,,Amigento-Gestein,C-Tier,Team 4,Stalobor,Kapu-Riki,Bronzong
,,Zeraora,,,Liberlo,,,Kosturso,,,Kangama,,,Emolga,,,Driftlon,,,Zamazenta,,,Aggrostella,A-Tier,,Amigento-Gift,C-Tier,,Kyurem,Katapuldra,Curelei
,,,,,Mamutel,,,Krebutack,,,Kappalores,,,Entoron,,,Dusselgurr,,,Zekrom,,,Alola-Knogga,A-Tier,,Amigento-Käfer,C-Tier,,Brockoloss,Keldeo,Demeteros-I
,,,,,Masskito,,,Lauchzelot,,,Karadonis,,,Fasasnob,,,eF-eM,,,Zygarde,,,Anego,A-Tier,,Amigento-Kampf,C-Tier,,Feelinara,Kicklee,Demeteros-T
,,,,,Maxax,,,Lavados,,,Keifel,,,Firnontor,,,Eguana,,,Zygarde-Komplett,,,Arkani,A-Tier,,Amigento-Normal,B-Tier,,Lahmus,Knakrack,Donarion
,,,,,Meistagrif,,,Lecryodon,,,Kicklee,,,Flamara,,,Elekid,,,Gebannte Fähigkeiten,,,Azumarill,A-Tier,,Amigento-Pflanze,C-Tier,,Grypheldis,Krarmor,Durengard
,,,,,Metagross,,,Libelldra,,,Kleoparda,,,Fletiamo,,,Enton,,,Auswegslos,,,Bisaflor,A-Tier,,Amigento-Psycho,C-Tier,,Amfira,Kyurem,Elfun
,,,,,Mimigma,,,Lohgock,,,Kommandutan,,,Flunkifer,,,Evoli,,,Gefühlswippe,,,Boreos-I,A-Tier,,Amigento-Stahl,C-Tier,,Quartermak,Lahmus,Entei
,,,,,Muramura,,,Lucario,,,Krawumms,,,Flunschlik,,,Fatalitee,,,Wegsperre,,,Brockoloss,A-Tier,,Amigento-Unlicht,C-Tier,,Donarion,Latias,Feelinara
,,,,,Nidoking,,,Machomei,,,Lanturn,,,Folipurba,,,Felilou,,,,,,Brutalanda,A-Tier,,Amigento-Wasser,C-Tier,,Bissbark,Latios,Fruyal
,,,,,Olangaar,,,Magnezone,,,Magbrant,,,Frigometri,,,Felino,,,,,,Cresselia,A-Tier,,Amonitas,Trash,,Trombork,Liberlo,Fuegro
,,,,,Pelipper,,,Milotic,,,Magneton,,,Furnifraß,,,Flamiau,,,,,,Demeteros-I,A-Tier,,Amoroso,C-Tier,Team 5,Kapu-Riki,Masskito,Galar-Lahmus
,,,,,Primarene,,,Monargoras,,,Mantax,,,Galar-Corasonn,,,Flampion,,,,,,Diancie,A-Tier,,Anego,A-Tier,,Latias,Meistagrif,Galar-Lavados
,,,,,Quaxo,,,Mortipot,,,Miezunder,,,Galar-Flunschlik,,,Flapteryx,,,,,,Dragoran,A-Tier,,Anorith,Trash,,Fuegro,Metagross,Gastrodon
,,,,,Rabigator,,,Nachtara,,,Miltank,,,Galar-Gallopa,,,Flauschling,,,,,,Durengard,A-Tier,,Apoquallyp,C-Tier,,Durengard,Milotic,Gengar
,,,,,Raikou,,,Nidoqueen,,,Morlord,,,Galar-Geradaks,,,Flegmon,,,,,,Entei,A-Tier,,Aquana,C-Tier,,Masskito,Miltank,Gorgasonn
,,,,,Regieleki,,,Pampross,,,Moruda,,,Galar-Pantimos,,,Fleknoil,,,,,,Feelinara,A-Tier,,Aranestro,B-Tier,,Branawarz,Nidoqueen,Gortrom
,,,,,Relaxo,,,Pandagro,,,Parfinesse,,,Gallopa,,,Flemmli,,,,,,Fuegro,A-Tier,,Araqua,Trash,,Fruyal,Ohrdoch,Grebbit
