
,Teilnehmer- feld,Liga,,Runde 1,,Runde 2,,Runde 3,,Runde 4,,Runde 5,,Runde 6,,Runde 7,,Runde 8,,Runde 9,,Runde 10,,Runde 11,,Runde 12,,,Liga,Admin Doc,Sheet,Spieler,Teamname,Logo,,GPL,GPL
,Bene,GPL,1,Snomnie,Ogerpon-Wasser,Present,Arkani,Raizor,Turtok,Bene,Bronzong,Minetube,Traunfugil,RobinVGC,Cupidos,OGDeniz96,Piepi,Present,Rizeros,Bene,Bailonda,RobinVGC,Raikou,Pokgalaxy,Rameidon,,,,GPL,https://docs.google.com/spreadsheets/d/1PvCp_Vt5B-p-G5gNRpIBmVJqden55JxPUG1kIL8YI6A/edit?gid=0#gid=0,GPL Season 10,A25:A39,B25:B39,C25:C39,,Ogerpon-Gestein,Riesenzahn
,Blocki,GPL,2,Minetube,Despotar,Raizor,Servol-w,Domji,Pixi,Snomnie,Liberlo,King Blex,Pokusan,Raizor,Ursaluna,Minetube,Curelei,Domji,Skelabra,Nestfloh,Irokex,OGDeniz96,Polaross,Blocki,Calamanero,,,,,,,,,,,S-Tier,S-Tier
,Dauni,GPL,3,Domji,Gladimperio,Dauni,Scherox,King Blex,Tentoxa,Sirazoa,Chimstix,Nestfloh,Arktilas,Present,Mopex,Raizor,Silvarro,Sirazoa,Aquana,Minetube,Mew,Dauni,Crimanzo,RobinVGC,Kronjuwild,,,,,,,,,,,UHaFnir,Alola-Vulnona
,Domji,GPL,4,Blocki,Boreos-Therian,Bene,UHaFnir,Present,Rotom-Wash,Dauni,Myriador,Sirazoa,Volcanion,Bene,Demeteros,Bene,Giflor,RobinVGC,Wie-Shu,Blocki,Diancie,Pokgalaxy,Rotom-Heat,Snomnie,Arktos,,,,,,,,,,,B-Tier,A-Tier
,King Blex,GPL,5,Nestfloh,Katapuldra,Pokgalaxy,Knakrack,OGDeniz96,Laschoking,Pokgalaxy,Galar-Laschoking,Domji,Gortrom,Blocki,Panferno,Dauni,Tenterra,Nestfloh,Pampross,Raizor,Alola-Snobilikat,King Blex,Mimigma,Domji,Gewaldro,,,,,,,,,,,Caesurio,Brutalanda
,Minetube,GPL,6,RobinVGC,Latios,OGDeniz96,Grypheldis,Minetube,Stalobor,Nestfloh,Lumiflora,Pokgalaxy,Horrerba,Dauni,Terrakium,King Blex,Hisui-Arkani,Snomnie,Nockchan,Snomnie,Golgantes,Domji,Psiana,Present,Dragoran,,,,,,,,,,,C-Tier,A-Tier
,Nestfloh,GPL,7,King Blex,Eisenrad,Sirazoa,Alola-Vulnona,RobinVGC,Montecarbo,Blocki,Galar-Lahmus,Snomnie,Florges,OGDeniz96,Hisui-Admurai,Pokgalaxy,Snibunna,Blocki,Ogerpon,Present,Tengulist,Sirazoa,Kolowal,Sirazoa,Jirachi,,,,,,,,,,,Bronzong,Chimstix
,OGDeniz96,GPL,8,Sirazoa,Riesenzahn,King Blex,Eisenhals,Blocki,Suicune,RobinVGC,Rabigator,OGDeniz96,Sandfell,Snomnie,Schlurm,Blocki,Donphan,Pokgalaxy,Wampitz,Sirazoa,Riffex,Present,Zytomega,King Blex,Britzigel,,,,,,,,,,,B-Tier,C-Tier
,Pokgalaxy,GPL,9,OGDeniz96,Eisenkrieger,RobinVGC,Fatalitcha,Nestfloh,Pamomamo,Minetube,Milotic,Dauni,Ambidiffel,Pokgalaxy,Feelinara,Snomnie,Meloetta,King Blex,Porygon-Z,Domji,Voltolos-Therian,Snomnie,Regieleki,Minetube,Maskagato,,,,,,,,,,,Deoxys-Geschwindigkeit,Volcanion
